,KIRC Tumor,KIRC Normal,BRCA Tumor,BRCA Normal,BRCATang Tumor,OV Tumor,OV Metastasis,combined.p,adjusted.combined.p,combined.p.TUMOR.ONLY,adjusted.combined.p.TUMOR.ONLY
1-Methyladenosine,0.502,0.0368,0.055,0.495,0.1014,0.5852,0.146,0.075565164,0.20119214,0.235803623,0.43618135
Myristate (14:0),1,0.7716,0.4116,0.8148,0.6244,0.597,0.419,0.090274417,0.23007993,0.241942196,0.444633316
Stearoylcarnitine,0.1896,0.6028,0.204,0.696,0.1144,0.388,1,0.83038378,0.921581999,0.242629855,0.444633316
7-Alpha-Hydroxycholesterol,0.031,0.856,NA,NA,NA,0.8686,0.857142857,0.89680448,0.960147547,0.248513165,0.448613183
Cytidine,0.0078,0.9992,0.9092,0.812,0.9096,0.279,0.571428571,0.873134489,0.938424482,0.249684561,0.448613183
Malonylcarnitine,0.032,0.6688,NA,NA,0.8336,NA,NA,0.468552498,0.701003218,0.246693369,0.448613183
Maltotetraose,0.9326,1,0.076,0.457,0.7928,0.0322,0.2864,0.545433422,0.751469353,0.250494671,0.448613183
Phenyllactate (Pla),NA,NA,NA,NA,0.197,0.1364,0.7196,0.492313679,0.719078052,0.248109655,0.448613183
Adenylosuccinate,0.895,1,NA,NA,0.605,NA,NA,0.048931317,0.154013324,0.252705246,0.449946795
Maltose,0.1778,0.476,0.1042,0.26,0.8712,0.1152,0.146,0.224542949,0.438429623,0.254665318,0.449946795
Undecanedioate,0.469,0.314,NA,NA,0.9292,0.67,0.2796,0.611611952,0.800655646,0.25463516,0.449946795
2-Oleoylglycerophosphocholine,0.1756,0.9964,0.08,0.813,0.5716,0.239,0.4194,0.802031288,0.918429467,0.259577929,0.453469025
2-Stearoyl-Gpc* (18:0)*,0.7294,0.9996,NA,NA,0.736,NA,NA,0.0507839,0.156425276,0.258433784,0.453469025
Myristoleate (14:1N5),0.9976,0.645,0.1842,0.5084,0.9826,0.8058,0.417,0.204466606,0.410358067,0.260111674,0.453469025
Hypotaurine,0.4416,0.037,NA,NA,0.315,0.052,0.5656,0.12451601,0.283245807,0.261513555,0.453904584
Urate,0.9358,0.0026,0.818,0.6474,0.2106,0.8614,0.4218,0.374179376,0.615792344,0.276515914,0.477838904
Indolelactate,0.169,0.003,NA,NA,NA,0.1842,0.4236,0.01868573,0.080327447,0.278274868,0.478778594
5-Aminovalerate,0.298,0.952,NA,NA,NA,0.106,0.8524,0.996559449,0.999714277,0.281447689,0.480044976
Sarcosine,0.1274,0.0954,0.36,NA,NA,0.175,0.4126,0.19249709,0.396668822,0.280364305,0.480044976
Citrate,1,0.005,0.7436,0.4,0.192,0.9488,0.2788,0.331285871,0.572698507,0.28541723,0.482636861
4-Hydroxyphenylpyruvate,NA,NA,0.522,NA,0.05,0.315,1,0.588155719,0.783923712,0.284888386,0.482636861
1-Arachidonoyl-Gpc* (20:4)*,0.1498,0.997,NA,NA,0.2194,NA,NA,0.672439648,0.84939745,0.29022841,0.488660703
Adrenate,0.1554,0.9626,0.098,0.8156,0.3752,0.4076,0.4346,0.85883723,0.935924048,0.291460064,0.488660703
N-Acetylisoleucine,0.044,0.292,0.777,0.404,NA,NA,NA,0.400410584,0.643468895,0.29920521,0.499520563
3-Dehydrocarnitine,0.0186,0.5344,0.5522,0.4902,0.9402,0.2554,0.4304,0.582000071,0.77780056,0.301511959,0.501247729
Methylcysteine,0.1124,0.9356,NA,NA,0.3218,NA,NA,0.684864024,0.855708629,0.31247658,0.517293162
Agmatine,0.0462,0.9986,NA,NA,0.8134,NA,NA,0.725821741,0.882851706,0.321775214,0.530457884
1-Myristoyl-Gpc (14:0),0.043,0.9898,0.153,NA,0.568,0.75,1,0.927848945,0.971710895,0.325008045,0.533554873
Quebrachitol,0.571,0.524,NA,NA,0.836,NA,NA,0.326141338,0.572698507,0.339285412,0.554682374
Androsterone Sulfate,0.789,0.1844,0.86,0.251,0.3298,0.519,0.714285714,0.647575155,0.828896198,0.342946161,0.558350361
7-Hoca,0.0182,0.002,0.525,0.301,0.3832,0.8646,0.146,0.01437207,0.068280984,0.348807233,0.561630817
D-Gluconate,0.7002,0.431,0.0962,0.229,0.49,0.0968,0.146,0.262053029,0.490073196,0.350662896,0.561630817
Glycolate,0.9992,0.984,NA,NA,0.9122,0.2628,1,0.032225252,0.117479399,0.34713509,0.561630817
Methyl-Alpha-Glucopyranoside,0.226,1,NA,NA,0.6496,0.0768,0.2948,0.65248083,0.831632757,0.35050616,0.561630817
Docosatrienoate,0.0888,0.7146,0.089,0.309,0.7092,0.5838,0.2956,0.522768542,0.730860874,0.355513943,0.564808442
Glycerol-3-Phosphate (G3P),0.7698,0.999,0.271,0.871,0.5682,0.0276,0.5802,0.917238124,0.970170885,0.355477106,0.564808442
Octanoylcarnitine,0.347,0.147,0.834,0.412,NA,0.8078,0.714285714,0.626383649,0.810779734,0.35909608,0.568208255
Linoleate (18:2N6),0.9356,0.9578,0.0666,0.7396,0.1124,0.506,0.4208,0.943706476,0.981182185,0.372129441,0.583801227
2-Palmitoleoylglycerophosphoethanolamine*,NA,NA,0.136,NA,NA,0.335,1,0.807217194,0.919051307,0.372564635,0.583801227
Heptanoate (7:0),NA,NA,NA,NA,0.777,0.5856,0.2864,0.667106956,0.846373583,0.373395709,0.583801227
Carnitine,0.474,1,0.4954,0.8826,0.5868,0.0264,0.4312,0.972840595,0.988282509,0.377708192,0.588209596
Guanosine,0.8454,0.997,0.046,0.8952,0.704,0.1358,0.4446,0.952901602,0.983459033,0.382413419,0.59319247
Quinolinate,0.045,0.003,0.528,NA,NA,0.547,0.859,0.047992197,0.151918856,0.384030612,0.593364946
4-Methyl-2-Oxopentanoate,0.603,0.407,0.778,0.522,0.483,0.455,0.1422,0.714134468,0.87893473,0.389995378,0.59897699
Eicosapentaenoate,0.7684,0.9954,0.0476,0.5182,0.2634,0.4008,0.28,0.758577539,0.895370209,0.390703265,0.59897699
1-Linoleoylglycerophosphocholine,0.4072,1,0.224,0.772,0.1684,0.273,0.428571429,0.972170658,0.988282509,0.409267207,0.614049474
1-Palmitoylglycerophosphoinositol,0.1284,0.9674,NA,NA,0.342,0.32,0.4126,0.817845123,0.921581999,0.403576949,0.614049474
Glycerophosphoethanolamine,0.5104,0.957,NA,NA,0.495,0.057,0.571428571,0.936547699,0.975499955,0.409885817,0.614049474
Heptadecanoate (Margarate; 17:0),0.8908,0.909,0.0688,0.9508,0.168,0.405,0.57,0.847675001,0.932207832,0.407987078,0.614049474
N-Acetylneuraminate,0.8308,0.0214,0.3404,0.945,0.8816,0.3976,0.566,0.965521333,0.988282509,0.40591901,0.614049474
Pregnen-Diol Disulfate*,0.114,0.001,NA,NA,NA,0.45,0.714285714,0.017661321,0.077607872,0.40732862,0.614049474
2-Oleoylglycerol (2-Monoolein),0.307,0.507,NA,NA,NA,0.17,0.5602,0.786529079,0.911550804,0.412599983,0.61471156
Caproate (6:0),1,0.4488,0.977,0.491,0.514,0.1938,0.4266,0.389191659,0.633261005,0.413448131,0.61471156
Pyrophosphate (Ppi),0.645,0.824,0.76,0.772,0.47,0.4168,0.2816,0.2346256,0.453504516,0.418948862,0.620548315
1-Arachidonoylglycerophosphoinositol,0.4326,0.988,0.275,0.773,0.1522,0.2492,0.5822,0.855247252,0.934767395,0.426348513,0.623396897
"Isobar: Fructose 1,6-Diphosphate, Glucose 1,6-Diphosphate, Myo-Inositol 1,4 Or 1,3-Diphosphate",0.975,0.75,NA,NA,0.4332,NA,NA,0.21952372,0.431555731,0.427200919,0.623396897
Myristoylcarnitine,0.6392,0.9394,NA,NA,NA,0.6646,0.285714286,0.350100699,0.594861365,0.423005072,0.623396897
Nonadecanoate,NA,NA,NA,NA,0.7132,0.5932,0.4212,0.498708875,0.721749527,0.425995042,0.623396897
Fad,0.31,0.8778,0.193,NA,0.56,0.1394,0.7268,0.951364326,0.983459033,0.434589191,0.63183816
Isovalerylcarnitine,0.255,0.904,0.7548,0.987,0.813,0.0302,1,0.618120231,0.803695831,0.437421919,0.633618514
Arachidonate (20:4N6),0.7324,0.993,0.0702,0.732,0.2348,0.4082,0.146,0.741082492,0.886904955,0.447643764,0.646049975
Threitol,0.233,0.9634,NA,NA,NA,0.255,0.1306,0.559826315,0.764123122,0.454311873,0.653280577
Cholesterol,0.3942,0.9956,0.0224,0.2692,0.893,0.681,0.7152,0.935826755,0.975499955,0.4692018,0.671626069
Phytosphingosine,0.507,0.904,0.056,NA,0.6336,NA,NA,0.821181228,0.921581999,0.470959677,0.671626069
Hydroxyisovaleroyl Carnitine,NA,NA,0.5062,0.245,0.7846,NA,NA,0.823749543,0.921581999,0.47218381,0.671626069
Kynurenine,0.139,0.0072,0.273,0.6518,0.2962,0.5066,0.8516,0.184505777,0.387578896,0.484377418,0.686491737
1-Stearoylglycerol,0.971,1,0.019,0.505,0.79,0.3968,0.5794,0.909550461,0.966443584,0.48845962,0.689796023
3-Methyl-2-Oxovalerate,0.383,0.212,0.7372,0.426,0.562,0.506,1,0.454321279,0.697837484,0.494311613,0.693091728
Ornithine,0.4388,2.00E-04,0.2634,0.4352,0.9346,0.7454,0.8532,0.090269429,0.23007993,0.493099229,0.693091728
1-Heptadecanoylglycerophosphocholine,0.108,0.999,NA,NA,0.629,NA,NA,0.992032504,0.998969794,0.501236,0.695427625
Cystathionine,NA,NA,0.139,NA,0.488,NA,NA,0.500698003,0.722393792,0.500698003,0.695427625
N-Ethylglycinexylidide,NA,NA,0.757,0.153,0.908,0.258,0.571428571,0.807361044,0.919051307,0.501272704,0.695427625
1-Oleoyl-Gpc (18:1),0.1718,1,0.108,0.568,0.6856,0.4882,0.5758,0.851307165,0.9322299,0.507532077,0.699470855
Docosapentaenoate (N6 Dpa; 22:5N6),0.2944,0.948,NA,NA,0.807,0.7374,0.428571429,0.257330837,0.485975614,0.507737727,0.699470855
Pyridoxate,0.205,0.0716,NA,NA,0.346,NA,NA,0.20554364,0.411087279,0.517230327,0.710065328
Dihomo-Linoleate,0.2692,0.8796,0.0782,0.938,0.6254,0.493,0.4352,0.807193715,0.919051307,0.519631339,0.71088454
13-Hode + 9-Hode,0.9156,0.9866,NA,NA,0.4368,0.0534,0.4184,0.977702387,0.991472843,0.522968802,0.712755733
Cis-Vaccenate,0.444,0.9738,0.0408,0.7296,0.4906,0.7484,0.5818,0.754118337,0.894174049,0.526426189,0.712755733
Dehydroisoandrosterone Sulfate (Dhea-S),NA,NA,0.954,0.424,0.387,NA,NA,0.567995899,0.77161707,0.525849838,0.712755733
Guanine,0.923,0.98,0.0966,0.818,0.7308,0.105,0.7148,0.641011936,0.822322662,0.53435676,0.719410308
Xylulose,0.139,0.889,0.374,NA,0.916,0.144,0.5626,0.998267969,0.999714277,0.534992945,0.719410308
2-Palmitoylglycerophosphocholine,0.1944,0.9994,0.21,0.477,0.567,0.302,0.571428571,0.871935764,0.938424482,0.54045681,0.721830451
Azelate (Nonanedioate),0.3692,0.708,NA,NA,0.7604,0.5888,0.2812,0.516844849,0.727879299,0.53875577,0.721830451
1-Arachidonoyl-Gpe* (20:4)*,0.408,0.985,0.6488,0.6838,0.332,0.816,0.2806,0.288684234,0.529497859,0.543301498,0.723178345
Choline,1,1,0.4956,0.9848,0.7856,0.1826,0.8578,0.049842048,0.155183891,0.547096215,0.725777471
Gamma-Glutamylglutamate,0.9842,0.549,0.9794,0.476,0.9584,0.0758,0.4402,0.424392553,0.662466424,0.553731509,0.732114814
Maltohexaose,0.966,NA,NA,NA,NA,0.365,NA,0.559705553,0.764123122,0.559705553,0.733916791
Myo-Inositol,0.327,0.9038,0.2802,0.8342,0.587,0.1394,0.2866,0.923354527,0.970170885,0.560682624,0.733916791
Scyllo-Inositol,0.2502,0.8622,0.2126,0.7334,0.7348,0.1914,0.4352,0.8469827,0.932207832,0.560038966,0.733916791
2-Phosphoglycerate,0.209,0.138,NA,NA,NA,0.3834,0.5698,0.511474357,0.727813981,0.56477609,0.736095187
5-Methyluridine (Ribothymidine),NA,NA,NA,NA,0.481,0.726,0.857142857,0.243739547,0.468610993,0.566793433,0.736095187
3'-Amp,0.1466,0.5886,0.107,NA,0.6804,0.7384,0.8672,0.947579085,0.981664663,0.575424664,0.736095187
Betaine,0.537,0.3566,0.5756,0.6046,0.4364,0.4978,1,0.273176288,0.507579168,0.572191521,0.736095187
Glutamate,0.7306,0.9998,0.265,0.9398,0.8106,0.0494,0.4234,0.717273206,0.880915494,0.570550557,0.736095187
Palmitoylcarnitine,0.8292,0.9118,0.2244,0.399,0.0992,0.4244,0.7152,0.850176301,0.9322299,0.573636804,0.736095187
Piperine,0.5188,0.6302,NA,NA,0.1568,NA,NA,0.859555245,0.935924048,0.570902557,0.736095187
Dihydrocholesterol,0.096,1,NA,NA,0.87,NA,NA,0.903467219,0.96191704,0.581745056,0.741772013
6-Phosphogluconate,0.0906,0.1726,0.406,NA,0.6602,0.3424,0.8672,0.684362316,0.855708629,0.591593353,0.749478395
P-Cresol Sulfate,0.3422,0.0136,0.5304,0.8364,0.7074,0.5022,0.428571429,0.610992422,0.800655646,0.590110106,0.749478395
4-Guanidinobutanoate,0.219,0.1596,NA,NA,NA,0.4076,0.2988,0.412727412,0.657562379,0.609881611,0.767710399
Ethanolamine,0.1448,0.994,0.1672,0.9698,0.712,0.5088,0.7128,0.508615209,0.727397583,0.608002479,0.767710399
Linolenate (18:3N3 Or 3N6),0.9398,0.8348,0.051,0.4812,0.375,0.4974,0.4088,0.954433333,0.983459033,0.613967558,0.769255882
Methylphosphate,0.9216,1,0.1838,0.71,0.623,0.085,0.5808,0.659390306,0.838430058,0.61501422,0.769255882
2-Docosapentaenoylglycerophosphoethanolamine,0.9,1,0.066,NA,NA,0.4758,0.285714286,0.945618064,0.981398207,0.617546053,0.769978307
2-Myristoylglycerophosphocholine*,0.52,0.95,0.092,NA,0.598,NA,NA,0.971840604,0.988282509,0.621928899,0.772996801
3-Phosphoglycerate,0.698,0.1754,0.4924,0.556,NA,0.3962,0.5758,0.723710921,0.882851706,0.643310463,0.795153013
Laurylcarnitine,0.496,0.265,0.291,0.049,NA,0.9426,0.285714286,0.463172943,0.698276341,0.643791399,0.795153013
1-Stearoyl-Gpe (18:0),0.876,0.9992,0.0662,0.745,0.4248,0.405,0.2956,0.826374242,0.921581999,0.648979819,0.796376281
4-Hydroxyphenylacetate,0.37,0.7882,NA,NA,NA,0.84,NA,0.336203393,0.576348673,0.651994721,0.796376281
Palmitate (16:0),0.89,0.597,0.1348,0.9254,0.2078,0.405,0.4304,0.797658589,0.917068558,0.65286685,0.796376281
Pipecolate,0.122,0.233,0.265,NA,0.7712,0.399,0.7176,0.767808235,0.901289934,0.648039542,0.796376281
Glutaroyl Carnitine,0.582,0.291,NA,NA,0.066,0.821,0.571428571,0.795326349,0.917068558,0.657891625,0.797567078
Maltotriose,0.765,0.981,0.108,0.924,0.7182,0.172,0.2912,0.760653453,0.895984436,0.656392266,0.797567078
Arachidate (20:0),0.7292,0.313,NA,NA,NA,0.4122,0.8538,0.494129507,0.719078052,0.676229869,0.817283952
1-Palmitoleoylglycerophosphocholine*,0.1644,0.9974,NA,NA,0.5994,0.343,0.714285714,0.635757753,0.818269148,0.684390728,0.824617575
1-Methylimidazoleacetate,0.965,0.1784,0.303,NA,NA,NA,NA,0.86743276,0.938424482,0.696123181,0.825608188
1-Stearoyl-Gpc (18:0),0.8038,0.9994,0.0708,0.786,0.6282,0.3178,0.7204,0.489405636,0.719078052,0.692202195,0.825608188
3-Aminoisobutyrate,0.5966,0.4502,0.558,NA,0.5568,0.062,0.418,0.84805018,0.932207832,0.696104134,0.825608188
Argininosuccinate,0.218,0.593,NA,NA,NA,0.503,0.285714286,0.872518413,0.938424482,0.704071957,0.825608188
Catechol,0.381,0.43,0.372,NA,0.0862,0.961,NA,0.782765775,0.90950947,0.703429458,0.825608188
Maltopentaose,0.869,NA,NA,NA,0.729,0.193,0.714285714,0.458526048,0.698276341,0.701579063,0.825608188
Nicotinamide Ribonucleotide (Nmn),0.968,1,NA,NA,0.305,NA,NA,0.249742843,0.476330721,0.689154066,0.825608188
Tryptophan Betaine,0.1016,0.504,0.7168,0.697,0.495,0.3248,0.8526,0.676313376,0.852421235,0.702491729,0.825608188
Glycocholate (Gca),NA,NA,NA,NA,0.293,1,0.714285714,0.414790981,0.657562379,0.694636555,0.825608188
10-Nonadecenoate,0.5464,0.9478,0.0582,0.9142,0.6304,0.5952,0.1344,0.971688682,0.988282509,0.708994048,0.827706935
Docosadienoate,0.6732,0.2104,0.191,0.683,0.653,0.587,0.2956,0.841596647,0.932207832,0.710063309,0.827706935
1-Palmitoylplasmenylethanolamine*,0.313,0.9994,NA,NA,0.3732,NA,NA,0.726513383,0.882851706,0.735257276,0.852033432
Sphingosine,0.6916,0.9824,0.078,0.695,0.789,0.302,0.7204,0.494366161,0.719078052,0.735009361,0.852033432
Creatinine,0.1256,0.3788,0.513,0.2036,0.304,0.6688,0.2748,0.581635156,0.77780056,0.741742335,0.8570278
Choline Phosphate,0.9024,0.9036,0.4288,0.573,0.3714,0.3142,0.301,0.462981255,0.698276341,0.749274717,0.863199528
4-Acetaminophen Sulfate,NA,NA,0.339,NA,0.236,0.503,NA,0.754459354,0.894174049,0.754459354,0.866638441
"N2,N2-Dimethylguanosine",0.365,0.0704,0.386,0.566,NA,0.783,0.714285714,0.968716743,0.988282509,0.756930841,0.866949859
3-Methylhistidine (1-Methylhistidine),0.654,0.225,0.428,NA,0.389,NA,NA,0.984506551,0.995140597,0.763926283,0.872425958
3-Carboxy-4-Methyl-5-Propyl-2-Furanpropanoate,0.993,0.841,0.099,NA,0.523,0.28,NA,0.902983429,0.96191704,0.775785843,0.883409313
Ac-Ser-Asp-Lys-Pro-Oh,0.832,0.9742,NA,NA,0.1536,NA,NA,0.691804497,0.858762905,0.781423251,0.887264441
Phosphoenolpyruvate (Pep,0.278,0.3514,0.383,NA,NA,0.4072,0.4326,0.873256115,0.938424482,0.785856092,0.889733621
Gamma-Glutamylisoleucine*,0.997,0.9988,0.028,NA,0.9296,0.58,NA,0.819367585,0.921581999,0.792183861,0.894327912
G-Glutamylglutamine,0.193,0.414,0.7222,0.8814,0.9804,0.1122,0.8594,0.577266117,0.77780056,0.799059621,0.89951283
Arabitol,0.8836,0.0194,NA,NA,0.617,0.177,1,0.498470304,0.721749527,0.828152704,0.929607309
2-Docosahexaenoylglycerophosphoethanolamine,0.868,0.996,0.161,0.822,0.396,0.6756,0.562,0.234614784,0.453504516,0.833315405,0.930102747
N-Acetyl-L-Ornithine,0.9452,0.6436,0.126,0.698,0.8048,NA,NA,0.419395592,0.659762492,0.831712676,0.930102747
Pentadecanoate (15:0),0.4402,0.8688,NA,NA,0.4314,0.4984,0.5714,0.389117755,0.633261005,0.838349806,0.932923544
Theobromine,0.545,0.625,NA,NA,0.2616,NA,NA,0.869927913,0.938424482,0.84057832,0.932923544
Histamine,0.253,0.055,0.9036,0.851,0.4086,NA,NA,0.736258453,0.886904955,0.845263307,0.935488042
2-Palmitoylglycerophosphoethanolamine,0.318,0.9688,NA,NA,0.728,0.386,0.714285714,0.299448013,0.543386306,0.868450278,0.956508855
Aspartate,0.5688,0.3508,0.2226,0.764,0.5604,0.2618,0.5804,0.738163382,0.886904955,0.872465495,0.956508855
Eicosenoate,0.8042,0.681,0.065,0.9212,0.7056,0.5006,0.4312,0.565543204,0.770101384,0.87009665,0.956508855
Stearate,0.9436,0.8894,0.1132,0.9498,0.2936,0.5946,0.286,0.597444813,0.789609164,0.873967481,0.956508855
2-Oxoglutarate(2Og),NA,NA,0.496,0.782,NA,0.453,0.571428571,0.400720024,0.643468895,0.879686531,0.960101089
3-Hydroxybutyrate,0.2358,0.077,0.9128,0.73,0.2598,0.5928,0.8658,0.924694125,0.970170885,0.886236547,0.964577899
Spermine,0.259,0.024,0.811,0.868,NA,0.4082,0.8536,0.742166994,0.886904955,0.889916551,0.965914935
2-Linoleoylglycerol (2-Monolinolein),0.805,0.673,NA,NA,NA,0.273,0.428571429,0.59769027,0.789609164,0.894495689,0.968217861
Cmp,0.3108,0.0486,0.121,NA,0.9008,0.5892,0.2906,0.351628574,0.595700172,0.900886422,0.972195283
Glutamine,0.3376,0.0092,0.972,0.7842,0.6204,0.0992,0.4246,0.301784049,0.543386306,0.905572764,0.972195283
Phenylacetylglutamine,0.169,0.0408,0.593,0.789,0.5684,0.557,0.428571429,0.693885263,0.858762905,0.90531459,0.972195283
P-Acetamidophenylglucuronide,NA,NA,NA,NA,0.181,0.891,NA,0.911074421,0.966443584,0.911074421,0.975443809
Docosahexaenoate,0.5036,0.999,0.179,0.8272,0.6798,0.4948,0.2812,0.462619803,0.698276341,0.924965022,0.987632028
1-Palmitoyl-Gpe (16:0),0.6228,0.9908,NA,NA,0.5338,0.1802,0.4328,0.610786376,0.800655646,0.931794347,0.992235062
Oleoylcarnitine,0.8828,0.9278,0.463,0.232,0.1306,0.4066,0.7162,0.691260456,0.858762905,0.934641468,0.992584201
1-Linoleoylglycerol,0.689,0.8872,NA,NA,0.2454,NA,NA,0.590974468,0.784334777,0.939202071,0.992840525
Glycolithocholate Sulfate*,NA,0.005,NA,NA,0.257,0.667,NA,0.05656418,0.163723455,0.947482328,0.992840525
Hippurate (Benzoylglycine),0.6122,0.4994,0.494,0.935,0.2714,0.2684,0.571428571,0.516079901,0.727879299,0.940697216,0.992840525
Palmitoleate (16:1N7),0.8504,0.496,0.1076,0.6342,0.751,0.3244,0.1454,0.932953273,0.975283276,0.945533736,0.992840525
Gamma-Glutamyltyrosine,NA,NA,0.195,0.499,0.8358,0.474,0.571428571,0.670314861,0.848574418,0.943305115,0.992840525
10-Heptadecenoate,0.6448,0.7352,0.1282,0.7592,0.5988,0.4938,0.1396,0.871885883,0.938424482,0.983539845,0.9928885
1-Palmitoyl-Gpc (16:0),0.8068,0.9994,0.0998,0.654,0.5694,0.5664,0.5758,0.371416761,0.61299729,0.991100755,0.9928885
2-Aminoadipate,0.7116,0.251,0.9688,0.9076,0.6914,0.0556,0.57,0.682322454,0.855708629,0.982514181,0.9928885
2-Aminobutylate,0.7976,0.3384,0.6598,0.9324,0.8352,0.056,0.7228,0.529947998,0.738216173,0.986447898,0.9928885
3-(Cystein-S-Yl)Acetaminophen,NA,NA,NA,NA,0.326,0.605,NA,0.965179664,0.988282509,0.965179664,0.9928885
7-Beta-Hydroxycholesterol,0.116,0.94,0.756,0.309,NA,0.7414,1,0.420205873,0.659762492,0.971105468,0.9928885
A-Tocopherol,0.9316,0.9942,0.4758,0.9154,0.883,0.0594,0.2812,0.512447217,0.727813981,0.962785945,0.9928885
_-Alanine,0.5832,0.0012,0.5,0.401,0.6236,0.1422,0.5688,0.099110879,0.24396524,0.9928885,0.9928885
Cytidine-3'-Monophosphate (3'-Cmp),0.377,0.421,NA,NA,0.389,0.4292,0.2864,0.923230123,0.970170885,0.955426953,0.9928885
4-Aminobutylate,0.31,0.8946,0.547,NA,0.7034,0.1976,0.8526,0.435589661,0.676279365,0.968432233,0.9928885
Glucose 1-Phosphate,0.9998,NA,NA,NA,NA,0.179,0.1422,0.580716238,0.77780056,0.973769086,0.9928885
"Glutamate, Gamma-Methyl Ester",0.375,0.9964,NA,NA,0.4874,NA,NA,0.487193803,0.719078052,0.986802002,0.9928885
Imp,1,1,0.2062,0.216,0.72,0.1912,0.2906,0.893136561,0.958001228,0.953304813,0.9928885
Oleate (18:1N9),0.8566,0.9986,0.0552,0.5444,0.7078,0.7362,0.4386,0.516240729,0.727879299,0.986877758,0.9928885
2-Hydroxystearate,NA,NA,0.3422,0.453,0.2382,0.9178,0.146,0.776153825,0.906824753,0.95951291,0.9928885
Udp-D-Glucuronate,NA,NA,0.222,NA,0.7894,NA,NA,0.960899239,0.988282509,0.960899239,0.9928885
1-Octadecanol,NA,NA,NA,NA,0.7136,0.2584,0.5696,0.78318871,0.90950947,0.992291494,0.9928885
Beta-Hydroxyisovalerate,NA,NA,NA,NA,0.6752,0.258,0.714285714,0.692101356,0.858762905,0.957252435,0.9928885
16-Hydroxypalmitate,0.9884,0.9646,NA,NA,NA,NA,NA,0.002205085,0.022952993,NA,NA
1-Arachidonylglycerol,0.357,0.328,NA,NA,NA,NA,NA,0.736477907,0.886904955,NA,NA
1-Docosahexaenoylglycerophosphocholine*,0.339,0.999,NA,NA,NA,NA,NA,0.589303763,0.783923712,NA,NA
1-Heptadecanoylglycerophosphoethanolamine,0.141,0.9836,NA,NA,NA,NA,NA,0.825338605,0.921581999,NA,NA
1-Myristoylglycerophosphoethanolamine,NA,0.988,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Oleoylglycerophosphoinositol,0.3972,0.9036,NA,NA,NA,NA,NA,0.546641769,0.751469353,NA,NA
1-Oleoylglycerophosphoserine,0.7444,0.9984,NA,NA,NA,NA,NA,0.07244589,0.195910011,NA,NA
1-Palmitoleoylglycerophosphoethanolamine*,NA,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-Pentadecanoylglycerophosphocholine*,0.036,0.9998,NA,NA,NA,NA,NA,0.311297146,0.555130514,NA,NA
2'-Deoxyadenosine 3'-Monophosphate,0.029,0.326,NA,NA,NA,NA,NA,0.107044188,0.254701904,NA,NA
2'-Deoxycytidine 3'-Monophosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Docosahexaenoylglycerophosphocholine*,0.376,0.9992,NA,NA,NA,NA,NA,0.513007771,0.727813981,NA,NA
2-Docosapentaenoylglycerophosphocholine*,0.023,1,NA,NA,NA,NA,NA,0.219524009,0.431555731,NA,NA
2-Eicosatrienoylglycerophosphocholine*,0.012,1,NA,NA,NA,NA,NA,0.130148367,0.291694395,NA,NA
2-Hydroxyacetaminophen Sulfate*,NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA
2-Hydroxyhippurate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Hydroxyisobutyrate,0.85,0.7046,NA,NA,NA,NA,NA,0.188124833,0.391190988,NA,NA
2-Isopropylmalate,0.005,0.0596,NA,NA,NA,NA,NA,0.005434577,0.036399024,NA,NA
2-Methoxyacetaminophen Sulfate*,NA,NA,NA,NA,NA,0.516,NA,NA,NA,NA,NA
2-Oleoylglycerophosphoserine*,0.0242,0.7666,NA,NA,NA,NA,NA,0.185042008,0.387578896,NA,NA
2-Stearoylglycerophosphoethanolamine*,NA,0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA
3-(N-Acetyl-L-Cystein-S-Yl) Acetaminophen*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-Dihydroxyphenethyleneglycol",NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA
3'-Dephosphocoenzyme A,NA,0.675,NA,NA,0.112,NA,NA,0.541643608,0.748169588,NA,NA
3-Hydroxydecanoate,0.498,0.423,NA,NA,NA,NA,NA,0.922488653,0.970170885,NA,NA
3-Hydroxyhippurate,NA,0.13,NA,NA,0.062,NA,NA,0.093831969,0.234987886,NA,NA
3-Hydroxyoctanoate,0.082,0.104,NA,NA,NA,NA,NA,0.098317613,0.243051268,NA,NA
3-Ureidopropionate,0.028,0.002,NA,NA,NA,NA,NA,0.001208498,0.016644741,NA,NA
4-Acetamidophenol,NA,NA,NA,NA,NA,0.736,NA,NA,NA,NA,NA
4-Hydroxyglutamate,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4-Hydroxyhippurate,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-Hete,0.846,0.9342,NA,NA,NA,NA,NA,0.047401768,0.151685658,NA,NA
5-Methyltetrahydrofolate (5Methf),NA,0.9878,NA,NA,0.262,NA,NA,0.782750495,0.90950947,NA,NA
