,RCC1,RCC2,RCC3,RCC4,RCC5,RCC6,RCC7,RCC8,RCC9,RCC10,RCC11,RCC12,RCC13,RCC14,RCC15,RCC16,RCC17,RCC18,RCC19,RCC20,RCC21,RCC22
aspartylleucine,1.8652,0.3544,0.5311,0.1906,1,0.7559,1.9795,0.5013,2.2604,0.2648,2.4744,0.5126,1.5542,0.1906,1.6934,0.1906,1.2232,0.1906,0.6005,0.1906,4.7921,0.1906
azelate (nonanedioate),1.3175,1.0187,0.586,0.586,1.4011,2.34,0.586,0.7725,0.8037,0.6012,0.9813,1.2046,0.586,0.9552,0.586,0.8474,1.4126,1.2639,0.586,0.8588,0.586,1.0729
beta-alanine,0.2357,1.6078,0.4576,1.8347,0.3982,1.0391,0.2205,2.3373,0.4286,1.9893,0.3181,2.9926,0.4543,1.3893,0.901,1.5298,0.2318,2.4247,0.2995,0.9609,2.2096,3.8375
beta-hydroxyisovaleroylcarnitine,0.7703,1.182,0.5027,2.0414,0.4184,0.6842,0.6675,2.3734,0.4051,0.8418,0.3193,0.7709,0.3193,0.8542,1.9953,1.1458,2.2467,1.4027,0.3193,1.353,1.837,1.9621
betaine,0.5382,0.7821,0.7301,1.4235,0.5382,0.5382,0.5382,1,0.5382,0.5382,0.5382,3.3027,0.5382,0.5382,0.5382,0.5382,0.5382,0.7809,0.5382,0.5382,2.2829,7.8785
"bilirubin (Z,Z)",0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,4.2545,0.391,0.391,0.391,1,0.391
butyrylcarnitine,1.1614,0.5154,0.9157,0.531,1.0242,1.0608,0.3954,1.3637,1.7984,0.805,1.9095,1.1343,2.4349,0.8449,2.7605,1.0044,0.9331,0.8543,0.9046,0.3246,0.9956,2.1374
C-glycosyltryptophan*,0.8162,1.4965,0.9918,1.315,0.3366,0.7159,0.6488,1.0705,0.9495,1.2475,2.0717,0.8054,5.6812,1.1917,3.3709,1.0082,1.1469,0.87,1.6686,0.8947,0.8451,0.814
caprate (10:0),0.9406,1.0159,0.868,1.6392,0.8783,1.7008,0.9841,0.8745,0.7105,0.9321,1.0234,1.3663,0.8316,1.7259,0.7027,1.101,0.8547,1.2487,0.7601,1.3964,1.0464,1.1862
caproate (6:0),0.6231,1.0416,1.0421,1.3275,0.6231,0.7279,0.6356,0.6231,0.9976,0.8088,0.669,1.5039,0.6231,1.7831,0.6231,1.0062,0.8253,0.705,0.8447,1.0325,1.0024,1.0878
caprylate (8:0),1.3046,1.332,0.6204,1.5789,0.9528,1.5022,0.9012,0.6831,1.0105,0.9348,0.2181,0.2181,0.2181,0.8723,0.2181,0.9895,0.5569,1.2546,1.0408,1.132,0.2181,1.3736
carnitine,0.9656,0.7881,0.6381,0.8553,1.0094,1.5163,0.7755,1.8061,0.7834,0.9309,2.4846,1.407,1.0686,1.0889,1,1.0615,0.7159,1.5356,0.6578,1,0.8478,2.049
catechol sulfate,0.6268,0.6268,0.7292,0.9559,0.6268,0.6268,2.5679,6.532,2.2869,3.4566,0.6268,1.0441,0.6268,0.6268,0.6268,0.6268,0.9261,0.6268,0.6569,0.6268,0.7444,2.0002
cholesterol,0.9104,0.7124,0.8874,1.2919,1.1572,1.2207,1.2422,0.5644,0.7809,0.9017,0.9331,1.0092,1.4091,0.8475,0.9908,0.5532,1.2811,1.1817,1.2174,1.2346,1.1681,0.9656
choline,0.6468,1.3115,0.9741,1.3723,0.5502,1.7703,0.3033,1.4497,0.5563,1.1646,0.5836,2.8056,0.4818,1.0076,0.5816,1.7834,0.4738,1.6779,0.6378,1.2577,0.9924,1.5081
choline phosphate,2.876,0.9926,1.0665,0.9037,1.4778,1.3029,0.5988,0.839,2.7118,0.8687,1.6793,0.5445,2.7623,0.7422,1.5739,0.6359,1.8204,0.7662,2.7089,1.0071,0.9929,0.2912
cis-vaccenate (18:1n7),0.9887,1.4382,0.7886,0.6268,1.0608,1.5283,1.8628,0.3393,0.3393,0.5919,2.9746,1.3332,1.0402,0.5295,1,0.5918,1.5036,1.1469,0.5525,1.0863,0.6868,0.958
citrate,1.8453,0.9134,1.3626,10.9198,0.457,0.7279,0.1871,1.0569,0.4076,1.7863,0.147,1.3651,0.215,8.4465,0.9047,1.3113,4.6305,2.517,0.9431,1.173,0.2243,0.6778
citrulline,2.0556,0.5947,0.9794,0.3244,0.8342,1.5605,2.1865,0.5945,0.8156,0.4695,1.1875,1.0206,1.7239,0.446,1.9771,1.3198,1.0959,0.5249,1.9882,0.347,0.5145,1.5112
coenzyme A,1.2843,1.0237,0.3526,0.786,0.3526,0.6569,0.3526,0.9076,0.8171,1.187,1.6316,0.3526,2.3314,1.7003,0.3526,0.3526,1,1.4192,0.6869,1.003,0.531,0.4845
cortisone,0.5584,1.1944,0.3523,0.9906,0.9338,1.6727,1.0094,1.1061,0.761,1.2762,0.5503,0.4418,1.5623,2.2908,0.8955,0.6993,1.3582,1.2429,1.0803,1.0978,0.2126,0.8971
creatine,3.7677,1.0038,1.3206,0.6811,0.9962,1.3538,4.781,0.9026,2.2496,0.6874,3.9563,0.744,1.5035,0.754,2.3891,0.4935,1.8644,0.8407,1.9732,0.8319,0.8592,0.5466
creatinine,0.5137,1.9738,1.0802,1.1186,0.4437,1.0195,0.9805,1.8946,0.511,2.4136,0.4496,1.0311,0.3002,3.5871,0.2806,1.24,0.6678,1.9925,0.6462,1.2913,0.3904,0.9674
cysteine,0.2703,1.572,0.9548,1.278,0.4058,1.3382,0.2354,1.8867,0.9143,2.3285,0.5702,0.45,0.6404,1.5187,5.032,0.7183,0.3124,2.281,0.8849,1.5671,1.8258,1.0452
cysteine-glutathione disulfide,0.4498,0.7254,2.1069,1.4413,1.1349,0.2445,0.391,0.4932,0.9336,1.0664,1.2251,2.0917,0.7686,1.1988,7.512,0.7761,0.4895,0.9139,0.4834,1.411,2.2075,1.4759
cystine,0.0401,1.1719,0.1587,1.1061,0.3331,1.3732,0.0401,1.3161,0.0826,1,0.0401,0.1541,0.0401,1.0817,1.01,0.9423,0.0401,1.2539,0.0401,2.1079,0.1868,0.3179
cytidine,1.4498,0.9596,0.6586,1.1631,0.5675,1.2271,0.4005,1.3974,0.4005,1.2655,3.5076,1.0404,0.5588,1.601,0.5694,0.6362,1.6105,0.949,0.4005,1.4685,0.9278,0.4915
cytidine 5'-diphosphocholine,2.6119,1.091,1.1827,0.5451,0.7241,0.4557,1.0145,0.7681,0.6571,0.9855,1.4727,1.3027,1.2566,0.4591,1.5146,0.9177,1.3237,0.6529,0.811,0.6694,2.3105,1.0793
cytidine 5'-monophosphate (5'-CMP),0.5408,1.3126,0.6326,1.5216,0.5893,1.1643,0.433,1.3431,0.7201,1.058,1.3074,0.972,2.2817,1.5686,1.0662,0.6169,0.7874,1.0382,1.0131,0.9869,0.746,0.6117
cytidine-3'-monophosphate (3'-CMP),0.9665,1.3661,1.0414,0.8651,1.0407,2.034,0.9827,0.884,1.0123,1.2646,1.097,0.9651,0.793,0.9877,1.1091,1.0151,0.731,1.2303,0.8067,1.1099,0.9207,0.5901
dehydroisoandrosterone sulfate (DHEA-S),1.4896,5.1143,1.2361,2.9349,0.787,1.9946,0.5544,2.006,0.5626,0.966,0.8506,2.4026,0.542,3.7559,0.6494,1.034,0.9574,1.9585,0.469,3.2392,0.5526,0.7145
deoxycarnitine,0.8154,1.0565,0.9594,0.6732,1.1432,1.2947,0.4688,0.6315,1.0406,0.9393,1.8298,1.9376,1.2943,0.7402,1.753,1.2125,0.6892,0.7139,0.7969,0.6526,2.4366,2.7978
desmosterol,0.609,0.609,0.609,0.609,0.609,0.609,1.1456,0.609,0.609,0.609,1.1448,0.609,1.8354,0.609,0.609,0.609,0.7044,0.609,0.8552,0.609,0.609,0.609
diethanolamine,0.9263,0.1827,3.5259,0.5622,0.9067,2.4065,0.1827,0.2258,0.2535,0.4274,2.4945,14.7391,1.4867,0.1827,0.7341,3.1476,0.1827,0.1827,0.1827,1,20.1815,3.9976
dihomo-linoleate (20:2n6),6.3849,1.1262,1.2572,0.8706,0.7715,1.8878,3.9617,0.6359,2.4214,0.6909,14.4806,0.8738,2.3092,0.7643,1.8005,0.3943,2.3341,0.8564,0.6859,0.7033,3.0654,0.5034
dihomo-linolenate (20:3n3 or n6),4.206,1.1952,0.6662,0.9755,1.8818,2.2888,6.4262,0.3848,1.9552,0.463,4.8038,0.4654,1.0823,0.6822,1.7549,0.2272,1.8385,0.8164,0.3911,1.0245,0.5638,0.2602
diltiazem,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,0.4476,1.5524,0.4476
docosadienoate (22:2n6),0.7679,1.7137,0.9475,1.1261,0.4448,2.4948,1.4045,1.1343,0.6661,1.2861,2.1497,1.3194,0.3587,0.6965,0.5498,0.9448,1.0525,2.0096,0.6194,0.3399,10.4949,0.9266
docosahexaenoate (DHA; 22:6n3),1.1623,1.9254,0.2641,1.9888,2.7371,4.5812,0.6442,0.6476,0.476,1.123,2.5862,0.9281,0.5262,2.1815,0.466,0.2977,1.0719,2.7327,0.2859,3.9421,0.9005,0.3597
docosapentaenoate (n3 DPA; 22:5n3),1.2999,1.1497,0.7387,1.7762,1.3984,3.983,0.8399,0.6145,0.3859,0.8503,2.1332,0.8033,0.2906,1.1874,0.7269,0.4526,1.4145,1.6336,0.32,2.4009,1.8232,0.6572
docosapentaenoate (n6 DPA; 22:5n6),2.0194,1.955,0.7857,1.1685,3.4244,6.5644,2.2185,0.2718,1,0.6325,2.3914,0.429,0.3411,0.544,1.0048,0.2191,0.5914,1.0232,0.2191,1.4967,0.7195,0.4902
eicosapentaenoate (EPA; 20:5n3),3.8369,0.8164,0.7637,0.8453,0.8272,1.2049,5.9132,0.2671,1.8793,0.2976,19.263,0.6705,3.3201,0.8793,2.6497,0.1622,3.8341,1.2213,1.1207,1.8082,0.2051,0.2187
eicosenoate (20:1n9 or 11),3.8912,1.2806,1.1339,0.7991,0.7327,1.7359,3.2543,0.8502,1.8805,0.6743,10.2435,1.3451,1.5726,0.7461,2.282,0.779,0.725,0.8661,0.7607,0.6101,2.3631,0.824
ergothioneine,0.8569,1.5091,0.7467,1.02,0.68,0.6731,0.7054,1.1279,0.4888,0.8563,0.98,4.0465,1.9489,1.248,0.5962,0.7053,4.135,2.3811,0.6435,1.2677,1.8906,3.941
erythritol,1.5579,1.013,0.902,0.8503,0.5231,0.6218,0.6892,0.8505,1.0205,1.0419,0.6877,1.3288,0.987,1.039,2.1652,0.9285,1.2305,0.8694,1.6468,0.7521,7.4126,1.3409
erythronate*,0.7442,1.6454,0.6165,0.9932,0.4037,0.5243,0.6142,1.3883,1.0883,1.2434,0.5284,1.0068,0.9871,1.3994,0.745,1.1634,1.0315,1.2065,0.7479,0.7434,1.1495,1.0448
escitalopram,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,1.3365,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635,0.6635
ethanolamine,0.5047,1.1251,0.7044,1.606,0.2421,0.8987,0.1673,2.3029,0.6449,1.1529,1.297,1.1013,0.8304,1.5592,1.4515,0.8207,0.7549,1.6626,1.2883,0.875,1.1106,0.806
flavin adenine dinucleotide (FAD),0.7969,2.1163,0.3731,3.1319,0.2319,2.615,0.4081,2.3718,0.3538,1.9663,0.9264,0.6462,1.0802,3.5906,0.3516,1.0636,0.9476,3.0547,0.3473,1.7526,1.0524,0.8841
fructose,2.5802,0.1557,1.5789,0.0752,1.204,0.796,1.7975,0.0961,1.5191,0.0929,1.9048,0.1234,5.5683,0.1114,3.4987,0.0973,4.6561,0.111,6.0086,0.0791,4.8976,0.2957
fructose-6-phosphate,2.689,0.0639,0.3082,0.0639,0.1642,0.1024,2.0185,0.0639,1.3128,0.0639,2.8583,0.0639,1.4242,0.0639,2.4595,0.0639,1,0.0639,0.5684,0.0639,0.5247,0.0639
fumarate,0.6718,1.9169,0.2919,1.3786,0.3848,1.8609,0.6081,1.8826,0.2132,0.8973,1.1755,0.9548,0.7741,1.1359,0.4559,1.4888,1.7128,2.4238,1.0133,2.3146,0.9867,0.9518
gabapentin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
galactose,1.7935,0.1366,0.571,0.1366,0.1366,0.1366,1.3019,0.4575,3.0585,0.2903,6.3986,0.1975,1,0.1366,2.1023,0.1366,2.6018,0.3362,0.1366,0.1366,0.1366,0.1366
galactosylsphingosine,20.1616,0.5758,1.7943,0.3823,1,0.3823,0.3823,0.3823,0.6189,0.3823,23.6773,0.3823,5.2247,0.3823,4.8575,0.3823,21.9761,0.3823,0.3823,0.4676,0.7688,0.567
gamma-aminobutyrate (GABA),0.3548,1.8978,0.484,0.5355,0.1885,2.9029,0.6042,3.3738,0.9504,2.926,0.2025,2.859,0.3243,1.0496,0.7448,1.241,0.4753,3.8982,1.6835,1.3198,0.757,1.7861
gamma-glutamylalanine,0.2667,1,0.2667,2.1343,0.2667,0.2667,0.2667,0.2667,0.2667,0.9282,0.2667,0.6174,0.2667,1.5749,0.2667,0.5156,0.2667,1.1261,0.2667,1.4506,0.2667,0.2667
gamma-glutamylglutamate,0.1909,2.2071,0.329,6.5873,0.1734,0.9003,0.3694,1.0477,0.0861,3.1349,0.21,2.0611,0.2367,4.7816,0.0861,1.8236,0.2078,3.2073,0.2084,3.895,1,1.4733
gamma-glutamylisoleucine*,0.7445,1.8606,0.7445,1.0209,0.9068,0.7445,0.7445,1.335,0.7445,0.8289,0.7445,0.7445,0.7445,2.2199,0.7445,1.052,0.9641,1.1591,0.7445,0.9791,0.7861,0.7445
gamma-glutamylleucine,0.1637,1.8465,0.1637,2.4636,0.1637,0.5427,0.1637,1.3878,0.1637,1.4006,0.1637,0.4595,0.165,3.3276,0.1637,1,0.6178,1.5422,0.1637,1.6445,0.3775,0.4095
gamma-glutamylmethionine,0.5291,1.3417,0.5291,1.8996,0.5291,0.7992,0.5291,0.679,0.5291,0.9818,0.5291,0.8881,0.5291,1.4145,0.5291,0.7617,0.5291,1.2458,0.5291,1.164,1.0182,0.5291
gamma-glutamylphenylalanine,0.26,1.8541,0.4836,1.6367,0.26,1,0.26,1.3403,0.26,1.521,0.5917,0.6241,0.26,2.9163,0.7572,1.1185,0.5157,2.1884,0.26,1.6578,0.8951,0.6613
gamma-glutamylvaline,0.3007,2.101,0.3007,2.7235,0.3007,0.7387,0.3717,1.6578,0.3007,1.8604,0.3146,0.3007,0.3851,3.893,0.9774,1.0226,0.4018,1.801,0.3007,1.3351,0.5834,0.3007
gamma-tocopherol,0.6486,0.6486,0.6486,0.8943,1.3948,0.6486,1.0907,0.6486,0.6486,0.6486,0.6486,1.2801,1.4169,0.6486,0.91,0.6486,1.6074,0.8089,1,0.6486,0.6486,0.9005
gluconate,1.6189,0.9537,1.253,0.4806,0.7379,0.9413,0.6707,1.3223,1.0463,0.8382,4.5352,0.6696,1.669,0.8408,2.5432,1.6891,1.4367,0.8663,0.8602,0.9055,2.3841,2.3423
glucose,0.68,0.1316,0.9842,0.0513,1.0849,1.1125,2.1064,1.2674,1.1633,0.1712,1.5197,0.0164,2.3755,1.0158,2.5516,0.0282,2.26,0.1492,1.9413,0.195,0.3599,0.0497
glucose-6-phosphate (G6P),5.3318,0.0205,0.3714,0.0205,0.618,0.0356,3.181,0.0205,2.841,0.0205,5.7247,0.0205,2.0624,0.0354,3.7291,0.0205,1.5714,0.0205,1,0.0205,0.4324,0.0468
glucuronate,0.2331,1.3552,0.2331,1.9987,0.2331,0.6671,0.2331,1.4418,0.2331,1.5329,0.2331,0.2331,0.3615,2.4252,0.2331,1.1753,0.2331,0.6257,0.2331,0.8247,0.2331,0.5945
glutamate,1.237,1.0871,0.9942,0.9738,0.5795,1.2023,1.0058,1.2325,0.7749,1.2754,0.5619,1.0066,0.5724,1.1084,0.799,1.151,0.6097,1.2666,0.5373,1.1778,0.5607,0.7466
"glutamate, gamma-methyl ester",0.1847,1.4738,0.2435,0.943,0.4437,1.057,0.1861,1.661,0.186,1.9563,0.3052,1.2128,0.3197,2.2045,0.1617,1.7041,0.2794,1.7731,0.373,2.2147,1.6256,1.3105
glutamine,3.0034,0.5779,2.0644,0.2048,0.8711,0.707,2.9336,0.2945,1.9633,0.2326,1.402,1.3995,0.632,0.2656,2.5704,0.7931,1.1289,0.3847,1.7882,0.4582,1.1617,1.9198
glutamine-leucine,1.1416,0.4488,0.4488,0.4488,0.4488,0.4488,2.0571,0.4488,1.9947,0.4488,1.864,0.4488,1.1842,0.4488,0.8372,0.4488,0.8001,0.4488,0.8584,0.7556,2.6121,0.6438
"glutathione, oxidized (GSSG)",5.096,0.0163,2.9901,0.1025,0.0272,0.0099,2.4416,0.0099,1.0664,0.0393,2.6437,0.8028,4.7482,0.1189,3.2765,0.0353,3.0875,0.0396,1.6239,0.0295,1.9301,1
"glutathione, reduced (GSH)",35.0317,0.3326,3.8657,0.1871,0.3736,0.0791,15.834,0.2567,21.9711,0.9642,30.4485,0.7862,33.084,0.4344,14.8744,0.2263,18.6583,0.7856,32.2547,0.174,7.8763,1.0358
glycerate,0.6775,0.6148,1.6499,1.2508,0.9343,1.4021,1.1523,1.618,0.8084,0.492,0.8543,0.5571,1.3915,0.6117,1.3244,0.685,1.8301,1.5834,0.5816,0.6437,5.0612,1.0657
glycerol,1.1998,1.0386,0.7891,0.4629,0.2491,0.8006,0.8423,1.082,1.0445,1.1205,2.4824,1.1554,1.0302,0.4066,1.1172,0.9698,1.0881,0.9457,0.7745,0.5503,1.6694,0.9325
glycerol 2-phosphate,1.235,0.9435,0.8722,0.436,0.5193,0.7503,1.1211,0.5312,1.8007,0.6164,2.9431,0.896,3.3874,0.7865,2.0516,0.3602,1.8595,0.8941,1.5876,1.2533,4.8107,1.0565
glycerol 3-phosphate (G3P),0.7716,1.3617,0.7583,1.2499,0.2608,0.8315,0.6443,1.1149,0.6702,0.8208,1.0942,0.4643,2.2278,1.6292,0.6496,0.4311,0.9184,1.4887,1.0816,2.2879,2.2647,1.1119
glycerophosphoethanolamine,0.2939,1.9551,0.7333,0.3768,0.2761,0.9019,0.606,0.9163,1.4144,1.2207,8.445,0.2761,16.5739,1.0837,0.8871,0.4421,1.7982,0.7387,0.2761,1.7741,8.6774,1.2712
glycerophosphorylcholine (GPC),1.0818,0.66,0.9019,0.3391,0.8207,0.9182,1.704,0.618,1.4189,0.4152,1.9387,1.1548,2.0291,0.6487,1.0921,0.5454,1.6752,0.8432,1.2975,0.7129,2.7477,1.4541
glycine,0.6808,1.9063,0.9802,1.5592,0.3884,1.2809,0.307,1.5857,0.3699,1.6413,0.5992,0.9183,0.5629,1.3632,0.5928,1.7402,0.5734,1.4649,0.4357,1.4745,1.1583,1.0198
glycolate (hydroxyacetate),0.8678,1.2414,1.0508,1.5113,0.6039,1.9127,0.9459,0.7931,0.8709,0.9835,0.4115,0.6946,1,1.525,1.3637,1.0144,0.8376,1.395,0.4115,1.3124,0.8736,1.4007
glycylisoleucine,2.1565,0.4387,0.446,0.6594,0.2741,1.1335,1.534,0.9604,1.5326,0.7535,2.0609,0.7098,1.4061,0.5013,1.1945,0.418,1.1789,0.9904,1.2129,1.0096,1.6541,0.6079
glycylleucine,2.0389,1.2094,0.4066,0.3442,0.3529,1.1716,2.2127,1.086,1.5601,0.6507,1.657,0.6613,1.4453,0.3346,1.5751,0.6406,2.1594,0.7711,0.914,0.6765,9.0042,0.3923
glycylvaline,1.2614,1,0.5749,1.2577,1.4333,0.9099,0.7867,1.7707,1.2226,0.6787,1.6839,0.5617,0.755,1.0585,0.6708,1.0797,0.5617,1.0439,0.7591,1.0842,0.8455,0.8345
guanidinoacetate,1.6942,0.8861,0.385,1.2082,0.385,0.9965,0.385,1.3227,0.385,0.7719,0.385,0.5923,0.385,1.1153,0.385,1.0035,0.385,2.0175,0.385,0.7256,0.385,0.385
guanine,0.2222,0.2222,0.2222,0.2222,0.702,0.4678,0.4348,0.2222,0.2222,0.2222,14.0943,3.2239,7.617,0.2222,1.9571,1,0.2222,0.6468,0.2222,1.3681,0.6598,2.1595
guanosine,1.1461,0.7443,2.1924,0.8485,0.9988,0.6079,1.1129,0.9079,1.0896,1.1027,3.1134,1.1831,2.2506,1.0012,3.1895,0.8547,0.8401,0.8647,0.8491,0.824,1.2386,0.9683
guanosine 5'- monophosphate (5'-GMP),0.9036,0.9998,0.394,1.5224,0.228,0.8749,1.0002,1.2783,0.791,1.0269,0.382,0.6632,1.2701,2.2978,0.7837,0.7794,1.1392,1.4502,0.5127,1.4582,1.5406,1.3994
"gulono-1,4-lactone",2.4382,1.4684,1.0886,0.5456,0.382,0.3261,0.7366,0.3261,1,0.9798,0.3261,0.3735,3.7885,0.8306,2.6249,0.7581,2.4584,0.3261,2.0464,0.4289,3.8837,1.2062
heme,1.8593,0.5953,3.8983,1,0.5454,0.4416,0.1367,0.9743,0.0828,0.1878,1.2424,2.0965,1.4619,3.6959,0.5931,2.0344,1.6567,1.9527,0.082,0.082,2.697,0.5462
hexadecanedioate,0.5977,3.5703,0.8156,0.7392,1.0035,1.8266,0.5977,1.0781,0.5977,0.9298,0.5977,0.5977,0.9965,1.3976,0.5977,0.9456,0.692,1.2755,0.8651,0.5977,1.1092,1.4867
hexanoylcarnitine,0.9818,0.5906,1.0979,0.5059,0.893,0.9252,0.4312,1.3968,2.1799,0.9191,1.1068,1.1208,3.7254,1.0182,4.0674,1.0766,0.9357,0.6157,1.1266,0.4057,0.9268,2.2902
hippurate,0.0649,1.3875,0.3487,1.4542,0.1918,1.3223,0.2783,6.7253,0.2799,3.9068,1.5706,10.9226,0.0649,1.5444,0.2485,3.0464,0.1036,1.0508,0.0649,0.6206,0.2034,0.9492
histidine,0.6657,1.4104,1.04,0.9663,0.8387,1.5381,1,0.9935,0.7934,1.0683,0.8211,1.4303,0.5961,1.0361,1.1236,1.0287,1.0685,1.2587,0.735,0.9523,1,0.9541
homocitrate,0.4453,2.0359,0.4453,0.9065,0.4453,0.9616,0.6215,2.2694,0.4453,1.1796,1.0382,0.8156,1,1.0722,0.4453,1.2488,0.4453,0.981,0.5199,1.7765,2.004,0.8333
hydrochlorothiazide,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,0.2659,1.7341,0.2659,0.2659
hydroxybutyrylcarnitine*,1.7235,0.5808,0.4866,0.4194,0.4762,1.1148,0.71,1.8868,0.9498,0.7887,0.8686,0.4267,2.6966,1.2191,1.3339,0.3948,1.5624,1.5389,1.0502,0.9014,1.5646,1.1061
hypotaurine,0.4106,0.6854,1.0829,1.0726,0.5374,0.7944,0.2594,1.0999,0.4858,0.675,1.0833,6.3456,0.5048,1.1557,2.4286,1.7505,0.3822,1.0384,0.3134,0.9616,1.7858,4.2304
hypoxanthine,0.9047,1.3451,0.7982,0.7588,0.6167,1.3209,0.6522,1.4792,0.7139,1.2643,1.8128,1.683,0.6897,1.0953,0.8612,1.1568,0.7535,1.5989,0.493,1.4249,0.8492,1.1738
inosine,1.6805,1.0332,1.2677,0.384,0.845,1.1065,1.5633,0.9527,1.2624,0.8573,2.2173,0.9571,1.1195,0.5453,1.781,0.7105,1.0724,0.9281,0.6623,0.9668,1.0489,0.7091
inositol 1-phosphate (I1P),1.1196,0.9176,0.776,1.3373,0.6568,1.1308,0.8437,0.9126,3.2171,0.8859,1.8197,0.9918,1.4091,1.1514,0.9617,0.6243,1.0082,1.3824,0.5862,1.4887,0.9626,1.6454
"Isobar: butyryl CoA, isobutyryl CoA",0.7289,0.7289,0.7289,1.7001,0.7289,1.1544,0.7289,0.7289,0.7289,0.8456,0.7289,0.7289,0.7289,1.9409,0.7289,0.7289,0.7289,0.8333,0.7289,0.7289,0.7289,0.7289
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate",0.6078,0.9932,2.0355,1.5342,1.6433,0.6078,0.6078,0.824,0.6078,0.7046,0.6078,0.6078,0.7637,1.3909,0.6078,0.7792,0.6078,1.0068,0.6078,0.7793,5.8074,1.1574
Isobar: pentulose 5-phosphates,1.1535,0.3902,1.3856,0.2433,0.4677,0.6612,1,0.2433,1.0982,0.2433,2.402,0.2433,2.6226,0.2433,1.7409,0.3572,0.7688,0.2433,0.2433,0.2433,2.0985,0.2977
isobutyrylcarnitine,0.1788,0.8547,0.5694,5.6497,0.576,1.4113,0.6945,2.9064,0.1788,1,0.4319,4.5785,0.3974,4.0021,0.3397,6.5897,0.5436,2.2736,0.4499,1.1057,2.5814,2.6437
isoleucine,1.0197,1.3488,0.9123,0.8277,0.6082,1.472,0.9953,1.2581,0.8945,0.9668,1.2827,0.696,1.0199,1.0047,1.0993,0.8402,1.1273,1.1162,0.7091,0.8849,1.407,0.7271
isoleucylglutamine,1.682,0.4274,0.4932,0.4274,0.4274,0.6261,0.6007,1,2.5037,0.4274,3.7035,0.4274,3.0638,0.4274,2.43,0.4274,0.5932,0.4274,0.4274,0.4274,5.0919,0.4677
isoleucylglycine,1.4284,0.8348,0.7226,0.6044,0.7561,1.2382,1.4696,0.8611,2.6581,0.9895,2.1506,0.7311,1.6327,1.3141,1.4808,0.6998,1,0.8581,1.1217,0.676,3.9094,0.6044
isoleucylthreonine,1.2257,0.6282,0.6373,0.5392,1.0679,0.9321,1.9807,1.4717,4.1196,0.6061,2.7597,0.416,2.7996,0.7529,2.5008,0.3703,1.1626,0.5393,1.277,0.6341,4.2611,0.2702
isovalerylcarnitine,0.3602,1.0447,0.7048,5.6357,0.8373,2.0539,0.6254,2.2852,0.3602,0.7796,0.6184,9.2641,0.6737,5.5202,0.8523,5.2771,0.5269,2.7426,0.3602,1.7592,0.9553,4.1771
kynurenine,1.858,1.3166,0.8499,1.016,0.8013,0.8273,1.1891,2.0239,0.7781,0.984,0.5492,0.695,0.9283,0.5403,0.9586,1.0325,2.5325,1.4326,2.2061,0.8292,1.2975,1.7672
lactate,1.6849,1.0986,1.548,0.901,0.4387,0.871,1.3238,0.8565,1.2666,0.8278,1.6233,0.8801,1.4181,0.7806,2.1007,0.9905,1.5195,0.7958,1.0095,0.5807,1.825,0.9858
laurylcarnitine,0.4005,0.4093,0.8507,1.0297,1.3573,0.4005,0.4005,0.612,0.4005,0.6893,1.1223,0.7272,6.4722,1.2592,1.1136,0.9464,1.396,0.9703,0.4005,0.7764,2.7323,3.7972
leucine,1.1224,1.5066,0.9055,0.7303,0.5318,1.5169,0.9758,1.2435,1.1232,0.9107,1.3184,0.7598,0.9897,1.0103,1.099,0.7934,1.3106,1.076,0.6875,0.9661,1.6967,0.7121
leucylalanine,0.9623,0.239,0.642,0.239,1.1057,0.4043,2.0698,0.3222,1.3171,0.239,2.1571,1.2359,1.858,0.5324,1.0807,0.5545,0.6378,0.3312,1.0377,0.239,2.7278,0.239
leucylglutamate,1.1893,1.0024,0.9976,0.5619,0.9661,1.844,2.2421,0.7197,1.6769,0.6956,2.1937,0.9522,1.7096,0.6282,1.4514,0.6971,1.7737,0.7865,1.2646,0.8848,5.9951,0.5259
leucylglycine,2.17,0.4852,0.6523,0.3926,0.6983,1,3.5039,0.4189,4.2293,0.6661,2.9788,1.0226,2.2795,0.6629,1.7167,0.4778,1.2657,0.3926,1.9665,0.4742,4.8011,0.6466
leucylleucine,0.7787,0.2058,0.3083,0.2058,1.0085,0.2058,1.0217,0.2058,1.276,0.2058,1.4574,0.2058,1.371,0.2058,1,0.2058,0.715,0.2058,0.6244,0.6756,4.2232,0.2058
