"","PubChem.CID","KEGG","Human.Metabolome.Database","ChEBI"
"laurylcarnitine","10427569|168381",NA,"HMDB02250","CHEBI:73054"
"leucine","6106|7045798","C00123|D00030","HMDB00687","CHEBI:15603|CHEBI:57427"
"leucylalanine","259321|44369296",NA,NA,NA
"leucylarginine","3800205",NA,NA,NA
"leucylasparagine","4128305",NA,NA,NA
"leucylglutamate",NA,NA,NA,NA
"leucylglycine","79070|53451352",NA,NA,NA
"leucylhistidine","341684",NA,NA,NA
"leucylleucine","94244","C11332",NA,NA
"leucylmethionine","118276",NA,NA,NA
"leucylphenylalanine","259325",NA,"HMDB13243",NA
"leucylserine","3621685",NA,NA,NA
"leucyltryptophan","329275",NA,NA,NA
"leucyltyrosine","273262",NA,NA,NA
"lidocaine","3676","D00358|C07073",NA,"CHEBI:6456"
"linoleate (18:2n6)","5280450","C01595","HMDB00673","CHEBI:17351"
"linolenate [alpha or gamma; (18:3n3 or 6)]","5280934","C06427","HMDB01388","CHEBI:27432"
"lipitor","60823|60822|15378998","D00887|C06834|D07474","HMDB05006","CHEBI:39548|CHEBI:50686"
"l-urobilin","5280818","C05793","HMDB04159",NA
"lysine","5962","C00047|D02304","HMDB00182","CHEBI:18019"
"lysylleucine","4682588",NA,NA,NA
"lysyllysine","4293571",NA,NA,NA
"lysylmethionine",NA,NA,NA,NA
"lysyltyrosine",NA,NA,NA,NA
"malate","222656","C00149","HMDB00156","CHEBI:30797"
"malonylcarnitine","22833583",NA,"HMDB02095",NA
"maltohexaose","5288409|439606","C01936","HMDB12253","CHEBI:61953"
"maltopentaose","3710145|440949|13489094","C06218","HMDB12254","CHEBI:61952"
"maltose","439341|439186|10991489","C00208|C00897|D00044","HMDB00163","CHEBI:18167|CHEBI:17306|CHEBI:47937"
"maltotetraose","446495|439639","C02052","HMDB01296","CHEBI:61988"
"maltotriose","439586","C01835","HMDB01262",NA
"mannose","161658|18950","C00159","HMDB00169","CHEBI:37675|CHEBI:4208"
"mannose-6-phosphate","65127|439198","C00275","HMDB01078","CHEBI:48066|CHEBI:49728"
"margarate (17:0)","10465",NA,"HMDB02259","CHEBI:32365"
"metformin","4091","C07151|D04966","HMDB01921","CHEBI:6801"
"methionine","6137|6992087","C00073|D00019","HMDB00696","CHEBI:16643|CHEBI:57844"
"methionylalanine",NA,NA,NA,NA
"methionylasparagine","333467",NA,NA,NA
"methionylaspartate",NA,NA,NA,NA
"methionylglutamate",NA,NA,NA,NA
"methionylglycine","259185",NA,NA,NA
"methionylleucine","3425788",NA,NA,NA
"methionylphenylalanine","100048",NA,NA,NA
"methyl-alpha-glucopyranoside","64947","C02603",NA,"CHEBI:320061"
"methylglutaroylcarnitine","128145",NA,"HMDB00552",NA
"methylphosphate","13130",NA,NA,"CHEBI:340824"
"metoprolol","4171","C07202|D02358","HMDB01932","CHEBI:6904"
"metoprolol acid metabolite*","62936",NA,NA,NA
"myo-inositol",NA,"C00137|D08079","HMDB00211","CHEBI:17268"
"myristate (14:0)","11005","C06424","HMDB00806","CHEBI:28875"
"myristoleate (14:1n5)","5281119","C08322","HMDB02000","CHEBI:27781"
"myristoylcarnitine","6426854",NA,NA,"CHEBI:73061"
"n1-methyl-2-pyridone-5-carboxamide","69698","C05842","HMDB04193","CHEBI:27410"
"n1-methyladenosine","5460178|27476","C02494","HMDB03331","CHEBI:72817|CHEBI:16020"
"n1-methylguanosine","96373",NA,"HMDB01563","CHEBI:19062"
"n2,n2-dimethylguanosine","92919",NA,"HMDB04824","CHEBI:19289"
"n2-acetyllysine","6992697|92907|192590","C12989","HMDB00446","CHEBI:35704|CHEBI:61512"
"n2-methylguanosine","3035422",NA,"HMDB05862","CHEBI:19702"
"n6-acetyllysine","6991978|92832","C02727","HMDB00206","CHEBI:17752|CHEBI:58260"
"n6-carbamoylthreonyladenosine",NA,NA,NA,NA
"n-6-trimethyllysine","159659|440120","C03793","HMDB01325",NA
"n-acetylalanine","88064","C02847","HMDB00766","CHEBI:40992"
"n-acetylarginine","1615663|67427","C02562","HMDB04620","CHEBI:40521"
"n-acetylasparagine","99715",NA,"HMDB06028",NA
"n-acetylaspartate (naa)","65065","C01042","HMDB00812","CHEBI:21547"
"n-acetyl-aspartyl-glutamate (naag)","5255|71120","C12270","HMDB01067",NA
"n-acetylglucosamine","24139|439174|11861101","C00140|C03878|C02711","HMDB00215|HMDB00803","CHEBI:17029|CHEBI:28009|CHEBI:61631|CHEBI:28401|CHEBI:506227"
"n-acetylglucosamine 6-phosphate","10040501|440996|439219","C00357","HMDB02817|HMDB01062","CHEBI:50565|CHEBI:15784"
"n-acetylglutamine","182230|25561","C02716|D07063","HMDB06029","CHEBI:21553|CHEBI:73685"
"n-acetylglycine","10972",NA,"HMDB00532","CHEBI:21501|CHEBI:40410"
"n-acetylisoleucine","2802421",NA,NA,NA
"n-acetylleucine","70912","C02710","HMDB11756","CHEBI:17786"
"n-acetylmethionine","448580|6180","C02712","HMDB11745","CHEBI:21557"
"n-acetylneuraminate","439197|445063","C00270|C19910","HMDB00230","CHEBI:17012|CHEBI:45744"
"n-acetylornithine","439232|6992102","C00437","HMDB03357","CHEBI:16543|CHEBI:57805"
"n-acetylphenylalanine","74839","C03519","HMDB00512","CHEBI:16259"
"n-acetylserine","65249",NA,"HMDB02931",NA
"n-acetylthreonine","4651717|439406",NA,NA,"CHEBI:16160"
"n-acetyltryptophan","700653|439917","C03137",NA,"CHEBI:74640|CHEBI:16734"
"n-acetyltyrosine","68310",NA,"HMDB00866","CHEBI:21563"
"n-acetylvaline","66789|227752",NA,"HMDB11757",NA
"naproxen","156391","C01517|D00118","HMDB01923","CHEBI:7476"
"nervonate (24:1n9)","5281120","C08323","HMDB02368","CHEBI:44247"
"nicotinamide","936","C00153|D00036","HMDB01406","CHEBI:17154"
"nicotinamide adenine dinucleotide (nad+)","5893","C00003|D00002","HMDB00902","CHEBI:15846"
"nicotinamide adenine dinucleotide reduced (nadh)","439153|928","C00004","HMDB01487","CHEBI:16908"
"nicotinamide ribonucleotide (nmn)","14180","C00455","HMDB00229","CHEBI:16171"
"nicotinamide riboside*","439924","C03150","HMDB00855","CHEBI:15927"
"nicotinate","938","C00253|D00049","HMDB01488","CHEBI:15940"
"nicotinate adenine dinucleotide (naad+)","165491","C00857","HMDB01179","CHEBI:18304"
"n-methylglutamate","439377","C01046",NA,"CHEBI:16440"
"octanoylcarnitine","123701",NA,NA,"CHEBI:73039"
"oleate (18:1n9)","445639","C00712|D02315","HMDB00207|HMDB00573","CHEBI:16196"
"oleoylcarnitine","53477789",NA,"HMDB05065",NA
"ophthalmate","9817431|7018721",NA,"HMDB05765",NA
"ornithine","6262|71082","C00077|D08302|C00515","HMDB03374|HMDB00214","CHEBI:15729|CHEBI:16176"
"p-acetamidophenylglucuronide","4022661|83944",NA,"HMDB10316","CHEBI:32636"
"palmitate (16:0)","985","C00249|D05341","HMDB00220","CHEBI:15756"
"palmitoleate (16:1n7)","445638","C08362","HMDB03229","CHEBI:28716"
"palmitoyl sphingomyelin","9939941",NA,NA,NA
"palmitoylcarnitine","11953816","C02990","HMDB00222",NA
"pantothenate","6613|988","C00864|D07413","HMDB00210","CHEBI:46905|CHEBI:7916"
"paroxetine","43815","D02362|C07415",NA,"CHEBI:7936"
"p-cresol sulfate","4615422|2879","C01468","HMDB01858","CHEBI:17847"
"pelargonate (9:0)","5461016|8158","C01601","HMDB00847","CHEBI:32361|CHEBI:29019"
"penicillin g","2349|5904","C05551|D02336",NA,"CHEBI:18208"
"pentadecanoate (15:0)","13849","C16537","HMDB00826","CHEBI:42504"
"phenol red","4766","C12600|D01200",NA,"CHEBI:31991"
"phenol sulfate","74426","C02180|C00850",NA,"CHEBI:27905"
"phenylacetylglutamine","306137|92258","C04148","HMDB06344","CHEBI:8087|CHEBI:17884"
"phenylalanine","6925665|6140","C00079|D00021","HMDB00159","CHEBI:17295|CHEBI:58095"
"phenylalanylalanine",NA,NA,NA,NA
"phenylalanylarginine","10268029",NA,NA,NA
"phenylalanylaspartate","335051",NA,NA,NA
"phenylalanylglutamate","4422358",NA,NA,NA
"phenylalanylglycine","98207",NA,NA,NA
"phenylalanylleucine","4078229|44372743",NA,NA,NA
"phenylalanylmethionine",NA,NA,NA,NA
"phenylalanylphenylalanine",NA,NA,NA,NA
"phenylalanylproline","4069131|44369313",NA,"HMDB11177",NA
"phenylalanylserine","9859812",NA,NA,NA
"phenylalanyltryptophan",NA,NA,NA,NA
"phenylalanyltyrosine",NA,NA,NA,NA
"phenylalanylvaline","4096934",NA,NA,NA
"phosphate","1061|1004|22486802","C00009|D05467","HMDB01429|HMDB02142","CHEBI:18367|CHEBI:26078|CHEBI:52641|CHEBI:7794"
"phosphoenolpyruvate (pep)","1005|58114173|59658623","C00074","HMDB00263","CHEBI:44897"
"phosphoethanolamine","1015|5232324","C00346","HMDB00224","CHEBI:17553"
"phytosphingosine","122121","C12144","HMDB04610","CHEBI:46961"
"pipecolate","439227|6931663|25200477|849","C00408","HMDB00070|HMDB00716","CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964"
"piperine","638024","C03882",NA,"CHEBI:28821"
"pivaloylcarnitine","126894",NA,NA,NA
"pregnanediol-3-glucuronide","123796",NA,"HMDB10318",NA
"pregnen-diol disulfate*","219833|3032822","C05484|D00189","HMDB04025",NA
"pro-hydroxy-pro","11673055|11902892|11902893",NA,"HMDB06695","CHEBI:74767"
"proline","145742|6971047","C00148|D00035","HMDB00162","CHEBI:17203|CHEBI:60039"
"prolylglycine",NA,NA,NA,NA
"prolylmethionine",NA,NA,NA,NA
"propionylcarnitine","107738","C03017","HMDB00824","CHEBI:28867"
"prostaglandin a2","5280880|22833602","C05953","HMDB02752","CHEBI:27820"
"prostaglandin e2","5280360","C00584|D00079","HMDB01220","CHEBI:15551"
"pseudouridine","15047","C02067","HMDB00767","CHEBI:17802"
"putrescine","1045","C00134|C02896","HMDB01414","CHEBI:17148"
"pyridoxal","1050","C00250","HMDB01545","CHEBI:17310"
"pyridoxate","6723","C00847","HMDB00017","CHEBI:17405"
"pyroglutamine*","134508",NA,NA,NA
"pyrophosphate (ppi)","644102|1023|21961011","C00013","HMDB00250","CHEBI:16838|CHEBI:18361|CHEBI:29888"
"quebrachitol",NA,"C08257",NA,NA
"quinate",NA,"C00296","HMDB03072","CHEBI:17521"
"quinidine","3036746",NA,NA,NA
"quinolinate","1066","C03722","HMDB00232","CHEBI:16675"
"ranitidine","3001055","D00422","HMDB01930","CHEBI:8776"
"ribitol",NA,"C00474","HMDB00508","CHEBI:15963"
"riboflavin (vitamin b2)","493570","C00255|D00050","HMDB00244","CHEBI:17015"
"ribose","5311110|5779","C00121","HMDB00283","CHEBI:47014|CHEBI:47013"
"ribulose","79021|439203|151261|439204","C00309|C00310","HMDB00621|HMDB03371","CHEBI:17173"
"saccharopine","160556","C00449","HMDB00279","CHEBI:16927"
"s-adenosylhomocysteine (sah)","25246222|439155","C00021","HMDB00939","CHEBI:16680|CHEBI:57856"
"s-adenosylmethionine (sam)","34755","C00019",NA,"CHEBI:67040"
"salicylate","338","C00805|D00097","HMDB01895","CHEBI:16914"
"sarcosine (n-methylglycine)","7311726|1088","C00213","HMDB00271","CHEBI:15611|CHEBI:57433"
"scyllo-inositol",NA,"C06153","HMDB06088","CHEBI:10642|CHEBI:23927"
"sedoheptulose-7-phosphate","165007|22833559","C05382","HMDB01068","CHEBI:15721"
"serine","5951|6857581|6857549|71077","C00065|D00016|C00740","HMDB03406|HMDB00187","CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247"
"serylisoleucine*",NA,NA,NA,NA
"serylleucine",NA,NA,NA,NA
"serylphenyalanine",NA,NA,NA,NA
"serylvaline",NA,NA,NA,NA
"s-methylcysteine","7058174|24417",NA,"HMDB02108","CHEBI:45658"
"sorbitol","107428|5780","C00794|C01452|D00096","HMDB00247","CHEBI:13022|CHEBI:17317|CHEBI:17924"
"sorbitol 6-phosphate","152306|618","C01096","HMDB05831","CHEBI:17044"
"spermidine","1102","C00315","HMDB01257","CHEBI:16610"
"spermine","1103","C00750","HMDB01256","CHEBI:15746"
"sphinganine","3126|91486","C00836","HMDB00269","CHEBI:46968|CHEBI:16566"
"sphingosine","5353955|5280335","C00319","HMDB00252","CHEBI:46964|CHEBI:16393|CHEBI:26743"
"squalene","638072|11975273","C00751","HMDB00256","CHEBI:15440"
"stachydrine","115244","C10172","HMDB04827","CHEBI:35280"
"stearate (18:0)","5281","C01530|D00119","HMDB00827","CHEBI:28842"
"stearidonate (18:4n3)","5312508","C16300","HMDB06547","CHEBI:32389"
"stearoylcarnitine","6426855",NA,"HMDB00848","CHEBI:73074"
"streptomycin","5999",NA,NA,NA
"succinate","1110|21952380","C00042","HMDB00254","CHEBI:15741"
"succinylcarnitine",NA,NA,NA,NA
"tartarate","444305","C00898|D00103","HMDB00956","CHEBI:15671"
"taurine","1123|4068592","C00245|D00047","HMDB00251","CHEBI:15891|CHEBI:507393"
"testosterone","6013","C00535|D00075","HMDB00234","CHEBI:17347"
"theobromine","5429","C07480","HMDB02825","CHEBI:28946"
"threitol","169019","C16884","HMDB04136","CHEBI:48300"
"threonate","151152|5460407","C01620","HMDB00943","CHEBI:49059|CHEBI:15908"
"threonine","6971019|6288","C00188|D00041","HMDB00167","CHEBI:16857|CHEBI:57926"
"threonylglutamate",NA,NA,NA,NA
"threonylleucine","4420322",NA,NA,NA
"threonylmethionine",NA,NA,NA,NA
"threonylphenylalanine",NA,NA,NA,NA
"threonylvaline",NA,NA,NA,NA
"thymidine","5789","C00214","HMDB00273","CHEBI:17748"
"thymine","1135","C00178","HMDB00262","CHEBI:17821"
"trans-4-hydroxyproline","6971053|5810","C01157","HMDB00725","CHEBI:18095|CHEBI:58375"
"trans-urocanate","736715","C00785","HMDB00301","CHEBI:27248|CHEBI:30817"
"triethyleneglycol",NA,NA,NA,NA
"trigonelline (n'-methylnicotinate)","5570","C01004","HMDB00875","CHEBI:18123"
"tryptophan","6923516|6305","C00078|D00020","HMDB00929","CHEBI:16828|CHEBI:57912"
"tryptophan betaine","442106","C09213",NA,NA
"tryptophylasparagine",NA,NA,NA,NA
"tryptophylglutamate","3634442",NA,NA,NA
"tryptophylleucine","323786",NA,NA,NA
"tyrosine","6057|6942100","C00082|D00022","HMDB00158","CHEBI:17895|CHEBI:58315"
"tyrosylalanine",NA,NA,NA,NA
"tyrosylglutamine",NA,NA,NA,NA
"tyrosylglycine","259323",NA,NA,NA
"tyrosylhistidine",NA,NA,NA,NA
"tyrosylleucine",NA,NA,NA,NA
"tyrosyllysine",NA,NA,NA,NA
"tyrosylphenylalanine","3421919|44369253",NA,NA,NA
"tyrosyltyrosine","5057430|23276573",NA,NA,"CHEBI:60987"
"tyrosylvaline",NA,NA,NA,NA
"undecanedioate","15816",NA,"HMDB00888","CHEBI:73713"
"uracil","1174","C00106|D00027","HMDB00300","CHEBI:17568"
"urate","1175","C00366","HMDB00289","CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589"
"urea","1176","C00086|D00023","HMDB00294","CHEBI:16199|CHEBI:48376"
"uridine","6029","C00299","HMDB00296","CHEBI:16704"
"uridine monophosphate (5' or 3')",NA,NA,NA,NA
"valerylcarnitine","6426903|53481619",NA,"HMDB13128",NA
"valine","6971018|6287","C00183|D00039","HMDB00883","CHEBI:16414|CHEBI:57762"
"valylalanine","334517|44369285",NA,NA,NA
"valylarginine","4266827",NA,NA,NA
"valylasparagine",NA,NA,NA,NA
"valylaspartate","9964657",NA,NA,NA
"valylglutamate","7009623",NA,NA,"CHEBI:75011"
"valylglutamine","5253209",NA,NA,NA
"valylglycine","136487",NA,NA,NA
"valylhistidine",NA,NA,NA,NA
"valylisoleucine",NA,NA,NA,NA
"valylleucine","352039",NA,NA,NA
"valyllysine","5253210",NA,NA,NA
"valylmethionine","292427",NA,NA,NA
"valylphenylalanine",NA,NA,NA,NA
"valylserine","139506",NA,NA,NA
"valyltryptophan","3360287",NA,NA,NA
"valyltyrosine","4065033|44369269",NA,NA,NA
"valylvaline",NA,NA,NA,NA
"vanillylmandelate (vma)","1245|736172","C05584","HMDB00291","CHEBI:20106"
"venlafaxine","5656","C07187|D08670","HMDB05016","CHEBI:9943"
"vgahageygaealer*",NA,NA,NA,NA
"xanthine","1188","C00385","HMDB00292","CHEBI:17712|CHEBI:48517"
"xanthosine","64959","C01762","HMDB00299","CHEBI:18107"
"xylitol","6912|827","C00379|D00061","HMDB00568|HMDB02917","CHEBI:17151"
"xylonate","6602431|6971043","C05411|C00502",NA,"CHEBI:48093|CHEBI:48092"
"xylose","95259|135191","C00181|D06346","HMDB00098","CHEBI:17979|CHEBI:53455"
"xylulose","5289590|439204","C00310","HMDB00654|HMDB01644|HMDB03371","CHEBI:17140"
