Name	Super Pathway	SubPathway	Pubchem	KEGG	Human Metabolome Database	ChEBI
"N2,N2-dimethylguanosine"	Nucleotide	"Purine metabolism, guanine containing"	92919	NA	HMDB04824	CHEBI:19289
N6-acetyllysine	Amino acid	Lysine metabolism	6991978|92832	C02727	HMDB00206	CHEBI:17752|CHEBI:58260
naproxen	Xenobiotics	Drug	156391	C01517|D00118	D00118|HMDB01923	CHEBI:7476
nicotinamide	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	936	C00153|D00036	HMDB01406	CHEBI:17154
nicotinamide adenine dinucleotide (NAD+)	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	5893	C00003|D00002	HMDB00902	CHEBI:15846
nicotinate	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	938	C00253|D00049	HMDB01488	CHEBI:15940
octanoylcarnitine	Lipid	Carnitine metabolism	NA	NA	NA	NA
oleate (18:1n9)	Lipid	Long chain fatty acid	445639	C00712|D02315	HMDB00207|HMDB00573	CHEBI:16196
oleoylcarnitine	Lipid	Carnitine metabolism	NA	NA	NA	NA
ophthalmate	Amino acid	Glutathione metabolism	7018721	NA	HMDB05765	NA
ornithine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6262|71082	C00077|D08302|C00515	HMDB03374|HMDB00214	CHEBI:15729|CHEBI:16176
p-acetamidophenylglucuronide	Xenobiotics	Drug	NA	NA	NA	NA
p-cresol sulfate	Amino acid	Phenylalanine & tyrosine metabolism	2879	C01468	HMDB01858	CHEBI:17847
palmitate (16:0)	Lipid	Long chain fatty acid	985	C00249|D05341	HMDB00220	CHEBI:15756
palmitoleate (16:1n7)	Lipid	Long chain fatty acid	445638	C08362	HMDB03229	CHEBI:28716
palmitoylcarnitine	Lipid	Carnitine metabolism	11953816	C02990	HMDB00222	NA
pantothenate	Cofactors and vitamins	Pantothenate and CoA metabolism	6613|988	C00864|D07413	HMDB00210	CHEBI:46905|CHEBI:7916
phenol red	Xenobiotics	Chemical	4766	C12600|D01200	NA	CHEBI:31991
phenol sulfate	Amino acid	Phenylalanine & tyrosine metabolism	74426	C02180|C00850	NA	CHEBI:27905
phenylacetylglutamine	Amino acid	Phenylalanine & tyrosine metabolism	92258	C05597|C04148	HMDB06344	CHEBI:17884
phenylacetylglycine	Amino acid	Phenylalanine & tyrosine metabolism	68144	C05598	HMDB00821	CHEBI:27480
phenylalanine	Amino acid	Phenylalanine & tyrosine metabolism	6925665|6140	C00079|D00021	HMDB00159	CHEBI:17295|CHEBI:58095
phenyllactate (PLA)	Amino acid	Phenylalanine & tyrosine metabolism	643327|3848	C05607	HMDB00779|HMDB00748	CHEBI:32978|CHEBI:25998
phenylpyruvate	Amino acid	Phenylalanine & tyrosine metabolism	997	C00166	HMDB00205	CHEBI:30851
phosphate	Energy	Oxidative phosphorylation	1004|22486802|1061	C00009|D05467	HMDB01429|HMDB02142	CHEBI:26078|CHEBI:52641|CHEBI:7794|CHEBI:18367
phosphoenolpyruvate (PEP)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	58114173|59658623|1005	C00074	HMDB00263	CHEBI:44897
phosphoethanolamine	Lipid	Glycerolipid metabolism	1015|5232324	C00346	HMDB00224	CHEBI:17553
phytosphingosine	Lipid	Sphingolipid	122121	C12144	HMDB04610	CHEBI:46961
pipecolate	Amino acid	Lysine metabolism	439227|6931663|25200477|849	C00408	HMDB00070|HMDB00716	CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
pregn steroid monosulfate*	Lipid	Sterol/Steroid	NA	NA	NA	NA
pregnen-diol disulfate*	Lipid	Sterol/Steroid	NA	NA	NA	NA
proline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	145742|6971047	C00148|D00035	HMDB00162	CHEBI:17203|CHEBI:60039
propionylcarnitine	Lipid	Fatty acid metabolism (also BCAA metabolism)	107738	C03017	HMDB00824	CHEBI:28867
pseudouridine	Nucleotide	"Pyrimidine metabolism, uracil containing"	15047	C02067	HMDB00767	CHEBI:17802
putrescine	Amino acid	Polyamine metabolism	1045	C00134|C02896	HMDB01414	CHEBI:17148
pyridoxate	Cofactors and vitamins	Vitamin B6 metabolism	6723	C00847	HMDB00017	CHEBI:17405
pyridoxine (Vitamin B6)	Cofactors and vitamins	Vitamin B6 metabolism	1054	C00314|D08454	HMDB02075|HMDB00239	CHEBI:16709
pyroglutamine*	Amino acid	Glutamate metabolism	NA	NA	NA	NA
pyroglutamylvaline	Peptide	Dipeptide	NA	NA	NA	NA
pyrophosphate (PPi)	Energy	Oxidative phosphorylation	1023|21961011|644102	C00013	HMDB00250	CHEBI:29888|CHEBI:16838|CHEBI:18361
pyruvate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	1060	C00022	HMDB00243	CHEBI:32816
quinolinate	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	1066	C03722	HMDB00232	CHEBI:16675
ribitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	NA	C00474	HMDB00508	CHEBI:15963
riboflavin (Vitamin B2)	Cofactors and vitamins	Riboflavin metabolism	493570	C00255|D00050	HMDB00244	CHEBI:17015
ribose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	5779	C00121	HMDB00283	CHEBI:47013
ribulose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	441482|439203|439204|439205|439245|151261	C08354|C00309|C00310|C00312|C00508	HMDB00621|HMDB03371	CHEBI:28552|CHEBI:17173
S-adenosylhomocysteine (SAH)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	25246222|439155	C00021	HMDB00939	CHEBI:16680|CHEBI:57856
S-adenosylmethionine (SAM)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	34755|25791610|16757548	C00019	HMDB01185	CHEBI:67040
salicylate	Xenobiotics	Drug	338	C00805|D00097	HMDB01895	CHEBI:16914
sarcosine (N-Methylglycine)	Amino acid	"Glycine, serine and threonine metabolism"	7311726|1088	C00213	HMDB00271	CHEBI:15611|CHEBI:57433
scyllo-inositol	Lipid	Inositol metabolism	NA	C06153	HMDB06088	CHEBI:10642|CHEBI:23927
sebacate (decanedioate)	Lipid	"Fatty acid, dicarboxylate"	5192	C08277	HMDB00792	CHEBI:41865
sedoheptulose-7-phosphate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	165007|22833559	C05382	HMDB01068	CHEBI:15721
serine	Amino acid	"Glycine, serine and threonine metabolism"	5951|6857581|6857549|71077	C00065|D00016|C00740	HMDB03406|HMDB00187	CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
sorbitol	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	5780	C00794|D00096	HMDB00247	CHEBI:17924
spermidine	Amino acid	Polyamine metabolism	1102	C00315	HMDB01257	CHEBI:16610
spermine	Amino acid	Polyamine metabolism	1103	C00750	HMDB01256	CHEBI:15746
sphinganine	Lipid	Sphingolipid	91486	C00836	HMDB00269	CHEBI:16566
sphingosine	Lipid	Sphingolipid	5280335|5353955	C00319	HMDB00252	CHEBI:16393|CHEBI:26743|CHEBI:46964
squalene	Lipid	Sterol/Steroid	638072|11975273	C00751	HMDB00256	CHEBI:15440
stachydrine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	115244	C10172	HMDB04827	CHEBI:35280
stearate (18:0)	Lipid	Long chain fatty acid	5281	C01530|D00119	HMDB00827	CHEBI:28842
stearidonate (18:4n3)	Lipid	Long chain fatty acid	5312508	C16300	HMDB06547	CHEBI:32389
stearoyl sphingomyelin	Lipid	Sphingolipid	5283588	C00550	HMDB01348	NA
stearoylcarnitine	Lipid	Carnitine metabolism	6426855	NA	HMDB00848	CHEBI:73074
suberylglycine	Lipid	"Fatty acid, beta-oxidation"	6453952	NA	HMDB00953	NA
succinate	Energy	Krebs cycle	1110|21952380	C00042	HMDB00254	CHEBI:15741
succinylcarnitine	Energy	Krebs cycle	NA	NA	NA	NA
taurine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	1123|4068592	C00245|D00047	HMDB00251	CHEBI:15891|CHEBI:507393
taurochenodeoxycholate	Lipid	Bile acid metabolism	387316	C05465	HMDB00951	CHEBI:16525
taurocholate	Lipid	Bile acid metabolism	53297338|440567	C05122	HMDB00036	NA
taurolithocholate 3-sulfate	Lipid	Bile acid metabolism	440071	C03642	HMDB02580	CHEBI:17864
threonate	Cofactors and vitamins	Ascorbate and aldarate metabolism	5460407|151152	C01620	HMDB00943	CHEBI:15908|CHEBI:49059
threonine	Amino acid	"Glycine, serine and threonine metabolism"	6971019|6288	C00188|D00041	HMDB00167	CHEBI:16857|CHEBI:57926
thymine	Nucleotide	"Pyrimidine metabolism, thymine containing"	1135	C00178	HMDB00262	CHEBI:17821
thymol sulfate	Xenobiotics	Food component/Plant	6989	C09908|D01039	HMDB01878	CHEBI:27607
trans-4-hydroxyproline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6971053|5810	C01157	HMDB00725	CHEBI:18095|CHEBI:58375
tryptophan	Amino acid	Tryptophan metabolism	6923516|6305	C00078|D00020	HMDB00929	CHEBI:16828|CHEBI:57912
tryptophan betaine	Amino acid	Tryptophan metabolism	442106	C09213	NA	NA
tyrosine	Amino acid	Phenylalanine & tyrosine metabolism	6057|6942100	C00082|D00022	HMDB00158	CHEBI:17895|CHEBI:58315
UDP-glucuronate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	17473	C00167	HMDB00935	CHEBI:17200
uracil	Nucleotide	"Pyrimidine metabolism, uracil containing"	1174	C00106|D00027	HMDB00300	CHEBI:17568
urate	Nucleotide	"Purine metabolism, urate metabolism"	1175	C00366	HMDB00289	CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
urea	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	1176	C00086|D00023	HMDB00294	CHEBI:16199|CHEBI:48376
uridine	Nucleotide	"Pyrimidine metabolism, uracil containing"	6029	C00299	HMDB00296	CHEBI:16704
ursodeoxycholate	Lipid	Bile acid metabolism	31401|13505246	C07880|D00734	HMDB00946	CHEBI:9907
valerylcarnitine	Lipid	Fatty acid metabolism	NA	NA	NA	NA
valine	Amino acid	"Valine, leucine and isoleucine metabolism"	6971018|6287	C00183|D00039	HMDB00883	CHEBI:16414|CHEBI:57762
xanthine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	1188	C00385	HMDB00292	CHEBI:17712|CHEBI:48517
xanthosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	64959	C01762	HMDB00299	CHEBI:18107
xylitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	827	C00379|D00061	HMDB00568	CHEBI:17151
xylulose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	439204|151261	C00310	HMDB00621|HMDB03371	CHEBI:17173
