,P10N.EU,P10N.MCG,P10T.EU,P10T.MCG,P11N.EU,P11N.MCG,P11T.EU,P11T.MCG,P12N.EU,P12T.EU,P12T.MCG,P13N.EU,P13T.EU,P13T.MCG,P14N.EU,P14T.EU,P15N.EU,P15T.EU,P15T.MCG,P16N.EU,P16T.EU,P16T.MCG,P1N.EU,P1N.MCG,P1T.EU,P1T.MCG,P2N.EU,P2N.MCG,P2T.EU,P2T.MCG,P3N.EU,P3N.MCG,P3T.EU,P3T.MCG,P4N.EU,P4N.MCG,P4T.EU,P4T.MCG,P5N.EU,P5N.MCG,P5T.EU,P5T.MCG,P6N.EU,P6N.MCG,P6T.EU,P6T.MCG,P7N.EU,P7N.MCG,P7T.EU,P7T.MCG,P8N.EU,P8N.MCG,P8T.EU,P8T.MCG,P9N.EU,P9N.MCG,P9T.EU,P9T.MCG
glyceraldehyde-3-phosphate,0.520238947,4.158077739,0.508174746,1.461169128,0.534990242,2.543824885,0.58529879,0.566298431,0.520238947,0.480116198,1.461169128,0.930858056,0.604981932,1.400480271,0.865754697,0.897654896,2.283592231,0.713111028,2.071225567,3.668808143,0.754315653,0.754315653,1.587021054,3.668808143,3.00336988,2.16331322,2.543824885,2.16331322,1.79566978,0.814462166,1.163016141,2.071225567,2.690979335,1.297959524,1.587021054,2.837414167,1.883061999,1.297959524,1.077981445,2.283592231,0.64565608,0.865754697,1.3532141,1.79566978,0.58529879,1.527523082,1.297959524,1.0415774,0.534990242,1.651408144,1.005325372,2.283592231,0.566298431,1.461169128,0.3139383,1.005325372,0.450804057,0.604981932
Guanine,0.648222334,0.648222334,1.059264288,0.648222334,0.418943362,0.648222334,1.049174075,0.648222334,3.920811874,1.603331418,0.648222334,0.648222334,0.50549827,0.648222334,0.648222334,1.191463723,0.648222334,0.978729485,0.648222334,9.630335752,0.648222334,2.913979989,0.648222334,0.648222334,1.142124228,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,1.656808832,0.648222334,0.648222334,2.743884254,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,0.648222334,1.603331418,0.648222334,8.280472442,0.648222334,1.104798274,2.237911556
Hippuric acid,0.837216809,2.985286267,0.759534246,0.815684704,0.370191609,1.202864592,1.070717271,2.398416379,0.815684704,1.563820649,2.985286267,0.525738046,1.648149522,3.578290555,0.620764633,0.855949628,0.550981287,0.837216809,2.985286267,0.533135872,1.202864592,5.587953549,0.47904153,0.63361112,0.591002022,0.525738046,2.985286267,1.502226205,1.110600864,1.151993885,0.644656682,1.502226205,0.541062295,6.680118124,0.910800896,0.759534246,0.644656682,1.248099019,1.44286269,1.332390901,0.699428512,0.910800896,1.024700617,1.110600864,0.699428512,5.587953549,1.024700617,1.734308982,0.776697479,1.854207801,0.601057024,2.398416379,0.699428512,3.578290555,0.63361112,1.854207801,1.993235272,1.248099019
Histamine,1.685455688,1.402719468,1.685455688,1.058551759,1.685455688,1.402719468,1.402719468,1.402719468,1.685455688,1.685455688,1.402719468,1.685455688,1.402719468,1.402719468,1.685455688,1.685455688,1.685455688,1.402719468,1.402719468,1.685455688,1.685455688,1.685455688,1.402719468,1.058551759,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.685455688,1.402719468,1.402719468,1.685455688,1.685455688,1.402719468,1.685455688,1.402719468,1.402719468,1.402719468,1.402719468,1.402719468,1.685455688,1.685455688,1.402719468,1.685455688,1.402719468,1.402719468,1.402719468,1.402719468,1.685455688
Histidine,1.367290695,0.725216512,0.637770565,0.637770565,0.648201931,0.637770565,0.637770565,0.637169152,0.695480877,2.154575627,0.637770565,0.637770565,2.265876663,0.637770565,0.637770565,3.244535364,3.844021523,2.265876663,0.637770565,0.637437697,0.637770565,0.587539999,0.637770565,0.637770565,0.637770565,0.637770565,0.637770565,0.636119827,0.637770565,0.637770565,0.637770565,0.636119827,0.637770565,0.637770565,1.045016787,0.637770565,0.637770565,0.637437697,0.637696479,0.520377825,0.637770565,0.637770565,0.637348485,0.637770565,0.637770565,1.48878072,0.6376224,0.637770565,0.637770565,2.820648226,1.175121038,0.637770565,1.271389705,1.271389705,0.528365427,0.636309348,0.637770565,0.546851385
Homocysteine,0.523418201,0.523418201,1.155596279,0.692747697,0.251602065,1.155596279,1.488692012,0.251602065,0.318262048,0.251602065,1.155596279,0.791914472,1.488692012,0.927010945,0.523418201,1.488692012,0.379418224,1.488692012,0.927010945,0.251602065,0.927010945,2.523528383,0.439050053,0.791914472,1.155596279,4.672456242,0.523418201,0.791914472,1.155596279,4.672456242,0.692747697,0.791914472,2.020891725,2.020891725,0.318262048,0.791914472,0.379418224,2.020891725,0.318262048,0.927010945,1.155596279,1.488692012,0.791914472,0.692747697,1.488692012,2.523528383,0.523418201,1.155596279,1.155596279,2.020891725,0.439050053,1.155596279,2.523528383,0.927010945,0.318262048,1.155596279,0.318262048,1.155596279
Homoserine,0.960504575,0.480411453,1.76624626,0.555024238,0.733815228,0.975100766,2.317442445,0.384227973,0.995184445,2.17452985,0.466164027,1.177659554,1.014740347,0.474390441,1.377555617,1.00055733,1.119819669,1.030622911,0.502004372,0.908416464,0.985369023,12.14807959,0.964660865,0.75841708,0.677758066,0.45843466,0.719104334,0.218713132,0.791511892,0.322552742,0.783951381,0.66398688,0.829379876,0.752109493,2.653452344,0.904721979,0.646953412,0.733815228,0.388822179,0.804679644,1.676239897,1.280114283,0.401153892,0.235593384,1.82475647,0.702034256,0.896518232,0.595481459,1.974081879,1.553304227,0.658580495,0.46451005,1.729306175,0.631626154,0.892301439,0.500183272,1.785306364,0.692718638
Hypoxanthine,2.103841791,1.289435903,2.103841791,2.103841791,0.125720517,1.289435903,0.080477342,0.318481986,0.553368821,2.103841791,2.103841791,2.103841791,2.103841791,1.289435903,2.103841791,1.289435903,0.553368821,2.103841791,0.942492482,0.553368821,1.289435903,1.289435903,2.103841791,0.553368821,1.289435903,0.215371391,0.942492482,1.289435903,1.289435903,2.103841791,0.942492482,1.289435903,0.942492482,0.942492482,0.553368821,2.103841791,0.318481986,0.942492482,0.553368821,0.553368821,1.289435903,2.103841791,1.289435903,0.942492482,1.289435903,2.103841791,0.942492482,0.553368821,1.289435903,2.103841791,0.942492482,0.318481986,0.080477342,1.289435903,0.942492482,1.289435903,2.103841791,2.103841791
Isobutyryl carnitine,2.498963172,1.149940661,1.099060893,0.78466899,2.163463228,1.152137156,2.013341079,1.151144827,2.239894728,1.742339361,1.152137156,2.82572394,1.0011484,1.152137156,2.82572394,1.356068818,2.82572394,1.210087816,1.152137156,3.085615893,1.210087816,0.119537758,1.152137156,1.152137156,0.394998878,1.152137156,1.152137156,1.14941325,1.152137156,0.304662027,0.78466899,1.14941325,1.152137156,0.390061948,0.172643878,0.739221969,0.61223503,1.2279801,1.152014918,1.152137156,1.086702534,0.865805259,4.479446181,0.596796685,1.083109629,0.265079699,1.179123799,1.152137156,0.865805259,0.394998878,1.266615791,1.152137156,1.053175968,0.227026602,1.152137156,1.149726012,1.462254415,1.152137156
Ketoleucine,0.792613428,1.528217606,0.610711902,0.897529395,0.862102408,0.5767972,1.177209183,2.927912556,0.933875174,1.087757426,1.087757426,0.929397152,2.620242243,0.443108226,0.848919388,1.958050541,0.909411934,2.463877742,1.046011818,0.80110831,1.754302885,0.263602716,0.897529395,1.88307359,0.512750423,0.558379128,0.960288937,5.596326331,0.573521081,7.144968505,1.128770706,1.369384518,0.773985005,0.750753421,0.528589728,2.484172439,0.811107845,0.455307718,1.008886385,1.785068001,1.369384518,0.441259309,0.439248989,1.53932183,1.386998776,0.515503713,0.207769149,3.257969848,2.463877742,0.424709822,1.916040869,1.315207173,1.170649569,7.926704818,1.061885447,2.030795136,1.53932183,0.762368942
Kynurenic acid,1.494356955,0.832725368,1.016778439,0.832725368,1.016778439,0.832725368,1.016778439,1.016778439,0.832725368,1.016778439,0.832725368,1.494356955,1.016778439,0.832725368,1.016778439,1.016778439,0.832725368,7.989447883,0.470351933,1.016778439,0.832725368,0.832725368,0.832725368,0.624017392,0.832725368,0.470351933,0.832725368,0.624017392,0.832725368,1.016778439,0.470351933,0.470351933,0.832725368,0.832725368,0.355197197,0.470351933,0.832725368,0.832725368,0.355197197,1.016778439,1.016778439,1.866409741,0.832725368,1.016778439,0.832725368,0.832725368,1.016778439,0.624017392,0.832725368,1.243905462,0.832725368,0.470351933,1.016778439,0.832725368,0.832725368,0.624017392,1.016778439,0.624017392
Kynurenine,0.333221385,1.39022675,1.136059267,0.84751002,0.617585603,3.056869064,1.39022675,1.834878239,0.477189851,1.136059267,1.834878239,0.333221385,1.136059267,1.834878239,0.477189851,3.056869064,0.84751002,3.056869064,1.834878239,0.84751002,1.834878239,1.136059267,0.617585603,1.136059267,1.39022675,0.165404254,0.617585603,0.165404254,1.834878239,1.136059267,0.477189851,0.333221385,1.834878239,1.834878239,0.477189851,1.834878239,1.834878239,1.834878239,0.617585603,0.333221385,1.136059267,1.136059267,0.333221385,1.834878239,1.136059267,1.834878239,0.617585603,3.056869064,1.136059267,0.84751002,0.477189851,3.056869064,1.834878239,1.834878239,0.84751002,3.056869064,1.834878239,1.834878239
Lauric acid,1.220964335,1.044203804,0.61913814,0.375599416,0.824142661,0.824142661,0.747979296,0.499559766,0.499559766,0.499559766,1.220964335,1.220964335,0.499559766,1.220964335,1.220964335,0.691149322,0.959088003,0.824142661,1.220964335,1.044203804,0.61913814,0.61913814,1.220964335,0.375599416,1.220964335,0.242626875,1.220964335,0.275278065,0.824142661,0.316503983,0.747979296,0.275278065,1.220964335,1.220964335,0.959088003,0.432785725,1.220964335,0.901555806,0.691149322,0.17927325,0.61913814,0.61913814,1.220964335,0.959088003,0.747979296,0.824142661,2.392197433,0.824142661,0.691149322,0.61913814,0.61913814,0.959088003,0.691149322,0.824142661,0.61913814,0.824142661,0.375599416,0.747979296
Leucine,1.017123941,4.387932419,0.802424933,0.802424933,0.711871912,1.568203013,0.802424933,2.265807736,0.802424933,0.631537728,2.833384501,1.017123941,0.802424933,5.800801367,1.568203013,0.422690745,0.802424933,0.51324793,2.833384501,1.017123941,1.017123941,1.568203013,0.802424933,2.265807736,0.802424933,2.265807736,0.802424933,2.265807736,0.631537728,1.568203013,0.51324793,2.833384501,0.631537728,2.833384501,0.802424933,1.017123941,0.631537728,1.568203013,1.017123941,2.265807736,0.802424933,0.802424933,0.802424933,0.802424933,0.802424933,1.568203013,1.017123941,2.833384501,0.422690745,1.017123941,0.802424933,5.800801367,0.51324793,2.265807736,1.568203013,4.387932419,0.802424933,0.631537728
Lysine,0.509536369,2.370192143,0.80891098,0.158289424,0.591786156,0.71505016,2.375091674,0.290465147,0.600390228,2.375091674,0.32394466,0.725044762,0.768933444,0.758632728,2.375091674,0.577960057,0.899343263,0.899343263,0.899343263,0.899343263,0.972471414,1.036442559,1.036442559,0.643632528,0.858673782,0.478926453,0.608658149,0.643632528,0.522102545,2.375091674,0.768933444,0.577960057,2.375091674,0.441099526,2.375091674,2.375091674,0.681236463,0.643632528,2.374818987,1.055534077,1.130466724,2.375091674,2.373538141,0.910816579,1.002351447,2.375091674,2.374546333,0.570055683,1.240271292,0.758632728,2.375091674,2.375091674,1.259670741,0.563047772,0.941473327,0.699094652,0.472583479,0.632688446
Methionine,1.0256038,4.93794876,0.79204312,1.0256038,1.274791969,1.274791969,0.692060242,1.684349998,1.684349998,0.79204312,1.0256038,1.274791969,1.0256038,1.684349998,1.274791969,0.692060242,1.274791969,0.60406487,1.684349998,1.0256038,0.692060242,0.910517214,1.274791969,2.233223473,0.910517214,4.93794876,1.274791969,7.128226098,0.79204312,2.233223473,1.684349998,7.128226098,0.79204312,0.79204312,1.0256038,2.233223473,0.910517214,0.910517214,1.684349998,7.128226098,1.0256038,0.60406487,1.274791969,0.60406487,1.0256038,0.79204312,1.274791969,1.684349998,0.79204312,0.79204312,1.274791969,2.233223473,1.0256038,1.274791969,1.684349998,1.684349998,0.910517214,0.910517214
N12-Acetylthermospermidine,1.18931843,0.625454989,1.18931843,44.70967957,0.81985681,0.625454989,2.357479517,0.625454989,0.81985681,2.357479517,0.422287495,1.18931843,1.18931843,0.422287495,0.81985681,1.18931843,0.625454989,1.18931843,0.422287495,0.625454989,0.81985681,0.81985681,0.81985681,0.422287495,0.422287495,0.81985681,0.81985681,0.81985681,2.357479517,0.81985681,0.81985681,0.81985681,0.625454989,0.422287495,0.625454989,0.625454989,0.625454989,0.422287495,2.357479517,0.81985681,1.18931843,0.81985681,1.18931843,0.422287495,2.357479517,0.625454989,0.625454989,0.625454989,2.357479517,0.81985681,1.18931843,0.422287495,2.357479517,0.625454989,0.81985681,0.625454989,0.81985681,0.625454989
N1-Acetylspermine,1.171266853,0.361858098,2.272546208,0.588859287,1.171266853,2.272546208,3.356956383,1.171266853,0.185159683,0.361858098,2.272546208,1.171266853,1.171266853,0.588859287,0.588859287,2.272546208,0.361858098,2.272546208,1.171266853,0.185159683,2.272546208,2.272546208,1.171266853,0.588859287,2.272546208,1.171266853,0.588859287,0.588859287,1.171266853,0.361858098,0.361858098,0.361858098,1.171266853,1.171266853,0.361858098,1.171266853,2.272546208,1.171266853,0.361858098,0.588859287,1.171266853,3.356956383,0.588859287,0.361858098,1.171266853,3.356956383,0.588859287,3.356956383,1.171266853,1.171266853,0.361858098,2.272546208,2.272546208,1.171266853,0.361858098,1.171266853,1.171266853,2.272546208
N-Acetyl Valine,0.688573468,2.505487161,1.301356234,1.45789803,0.500445759,2.510266941,0.752258082,2.50810754,0.434756582,0.627503331,0.500445759,0.740444717,0.696151649,0.688573468,0.585734133,0.548854197,0.928927105,1.006320061,0.490561876,0.732405517,0.696151649,0.495640495,0.454850132,0.530773356,0.331681621,0.315993564,2.510266941,0.656845997,2.510266941,1.301356234,0.41786645,2.504339463,2.510266941,2.510266941,2.510266941,0.627503331,2.510266941,0.76297616,2.510000939,1.334978348,1.438192363,0.523358482,2.508751461,2.510266941,1.659423026,2.510266941,0.956729423,0.440120365,1.763109109,0.656845997,1.438192363,0.732405517,1.355340966,0.279992302,1.132208193,0.515962719,0.928927105,0.445955653
Nonanedioic acid,1.428501258,0.886356736,1.448416375,0.297424004,1.285605616,0.289954253,0.397279393,1.447842669,1.153608366,1.448416375,1.448416375,1.448416375,1.448416375,1.448416375,1.448416375,1.448416375,1.448416375,1.448416375,1.448416375,1.44809888,0.58314199,0.408914971,0.655471839,1.078148956,0.874879988,0.275407752,0.85085279,1.446840932,0.77310849,1.448416375,1.448416375,3.298812723,0.807491433,0.577082246,0.749776252,0.656636947,0.856685629,0.420504439,1.448345718,1.448416375,0.620406875,1.448416375,1.050963387,1.448416375,0.564982295,1.448416375,0.875735735,1.448416375,0.564982295,1.448416375,1.448416375,1.448416375,0.480967703,0.898719322,1.448416375,1.447021929,1.448416375,0.611468427
Norepinephrine (noradrenaline),1.026902448,0.569161232,0.827402755,0.827402755,0.692326803,0.827402755,0.827402755,1.272383589,0.692326803,0.827402755,0.692326803,1.026902448,0.827402755,0.827402755,1.026902448,0.827402755,0.827402755,0.569161232,0.692326803,0.827402755,0.692326803,0.827402755,1.026902448,0.692326803,0.692326803,0.569161232,0.827402755,0.692326803,0.692326803,1.272383589,0.468783424,0.468783424,0.569161232,0.692326803,0.468783424,0.468783424,0.692326803,1.272383589,0.827402755,1.026902448,0.827402755,1.272383589,0.827402755,1.587740678,0.569161232,0.827402755,0.827402755,0.468783424,0.569161232,1.587740678,0.827402755,0.354179674,0.692326803,1.272383589,0.827402755,0.468783424,1.026902448,1.026902448
Oleic acid,1.003487187,0.531176436,1.512771934,0.429904241,0.531176436,1.003487187,2.038552817,0.531176436,1.512771934,0.531176436,2.038552817,2.038552817,2.038552817,1.003487187,0.714148154,1.512771934,2.038552817,1.512771934,1.003487187,0.160035521,0.714148154,1.512771934,1.003487187,1.003487187,1.512771934,0.531176436,0.194694759,0.714148154,1.003487187,0.531176436,0.429904241,1.003487187,2.038552817,2.038552817,0.531176436,1.003487187,0.429904241,2.038552817,0.246529314,0.429904241,1.512771934,2.038552817,0.194694759,0.531176436,1.512771934,1.512771934,0.194694759,1.003487187,1.003487187,2.038552817,0.246529314,1.003487187,3.106500951,1.003487187,0.531176436,1.003487187,0.429904241,1.003487187
O-Succinyl-L-homoserine,1.148450178,1.987404699,1.148450178,1.148450178,1.370667283,2.550354019,0.690613601,0.830354949,0.971429026,1.148450178,0.971429026,0.561191601,0.971429026,1.987404699,0.561191601,2.550354019,0.261008733,0.830354949,1.661249337,0.151031107,0.561191601,1.370667283,1.661249337,1.987404699,1.987404699,1.987404699,1.661249337,0.690613601,1.987404699,0.971429026,1.661249337,0.690613601,1.661249337,1.148450178,0.971429026,1.370667283,1.987404699,0.830354949,1.661249337,0.690613601,1.370667283,0.690613601,2.550354019,0.690613601,1.370667283,1.370667283,0.830354949,2.550354019,1.148450178,2.550354019,0.690613601,2.25135194,1.661249337,0.971429026,0.473325086,1.661249337,1.148450178,1.987404699
Palmitic acid,0.45832566,0.886996864,0.45832566,0.45832566,1.364409818,0.45832566,1.364409818,0.886996864,1.364409818,0.45832566,1.740712066,1.364409818,1.364409818,1.364409818,0.45832566,0.45832566,1.740712066,0.886996864,2.258114958,0.45832566,0.886996864,1.740712066,1.740712066,0.45832566,0.45832566,0.45832566,1.740712066,0.45832566,0.45832566,0.45832566,0.45832566,1.364409818,1.740712066,1.364409818,0.45832566,0.45832566,0.45832566,1.364409818,0.45832566,1.740712066,0.45832566,7.069375879,1.740712066,0.45832566,1.364409818,2.258114958,1.740712066,0.45832566,4.106293936,2.258114958,1.364409818,0.45832566,3.049634482,1.740712066,0.45832566,0.45832566,0.45832566,0.886996864
Pantothenic acid,1.740833494,0.846358222,1.740833494,1.740833494,0.518809065,1.740833494,0.254418147,0.941166942,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.740833494,1.735312946,1.740833494,0.778484088,0.221683588,1.740833494,0.587670084,0.326020037,0.240936196,0.799464222,0.51725695,1.740833494,0.21481089,0.240936196,0.569734925,0.554058413,1.740833494,1.740833494,0.451278177,0.442937504,0.247994984,1.740833494,1.740833494,0.533357431,1.454045008,1.740833494,1.740833494,0.520772957,1.067259165,1.740833494,0.505413352,1.180427303,0.917759221,1.740833494,0.380628573,1.227274993,1.740833494,1.740833494
Phenylalanine,1.269399484,1.41806422,0.48769762,0.700171795,0.793660534,1.755900775,0.784155529,1.029364651,1.397841012,0.646034102,1.745274314,0.806915341,1.116109823,3.579997914,0.825139198,0.951250654,0.890477033,0.81826505,4.286030359,1.269399484,0.878203482,0.374074974,2.455019288,1.025361131,1.111226441,0.648580694,0.772153336,0.750786913,0.686477829,0.799843668,1.600421113,0.608054898,1.384590747,1.251295012,0.885991595,1.526386727,0.790399487,1.319236038,0.399399209,1.039275677,0.508319722,6.273804276,0.686477829,0.814703689,0.52750347,2.150152919,0.71148496,2.568406251,0.927152428,2.125580132,0.395430607,2.024847035,0.618857465,0.89799077,1.397841012,1.951254324,0.741181808,0.616012681
Phthalic acid Mono-2-ethylhexyl Ester,0.618599357,0.774783294,1.10151346,1.521948684,1.521948684,2.166214206,1.209200493,1.521948684,1.521948684,1.10151346,1.521948684,0.370684085,0.786107602,1.521948684,0.173536684,0.58742539,1.143631082,0.718293295,1.521948684,1.074905056,0.642055934,0.494757612,0.785476768,1.521948684,2.066790211,1.521948684,0.262839729,0.644856427,1.932537954,1.744990431,0.804843568,1.521948684,0.722755729,1.521948684,0.470981314,1.521948684,1.521948684,1.521948684,1.521948684,1.521948684,0.444080959,1.521948684,1.521948684,1.029643071,0.42371999,1.521948684,1.521948684,1.521948684,0.613536307,1.521948684,0.601785514,1.521948684,1.41361905,1.521948684,0.437171582,1.521948684,0.318513944,0.5688706
pipecolic acid,0.786796738,0.743848397,1.058809282,0.308207851,0.558266974,0.580140587,0.942109904,0.669998566,0.558266974,0.942109904,0.837419519,0.893016872,0.893016872,0.743848397,0.743848397,0.837419519,0.993931828,1.17125396,0.786796738,1.058809282,1.554499131,1.298651002,0.704791666,0.786796738,1.117577954,0.942109904,0.704791666,0.599745465,0.669998566,0.599745465,0.508126978,0.623053207,0.893016872,0.993931828,1.058809282,0.43582501,0.704791666,1.17125396,0.493767648,0.643558237,0.786796738,1.808633439,0.524205625,0.643558237,0.743848397,0.993931828,0.743848397,0.402185344,0.743848397,1.381753686,0.643558237,0.321897818,0.743848397,0.893016872,0.704791666,0.743848397,0.942109904,0.942109904
Proline,0.773326684,0.04318971,0.773326684,0.773326684,0.924432873,0.773326684,0.679155785,0.773326684,1.283630932,0.773326684,0.773326684,0.773326684,0.773326684,0.773326684,0.679155785,0.562504191,0.924432873,0.773326684,0.773326684,0.773326684,0.679155785,1.283630932,0.924432873,0.773326684,0.924432873,0.924432873,0.562504191,0.924432873,0.679155785,0.924432873,0.679155785,0.924432873,0.773326684,0.773326684,0.562504191,0.773326684,0.773326684,0.773326684,0.679155785,0.924432873,0.773326684,0.924432873,0.679155785,0.679155785,0.562504191,1.283630932,0.773326684,0.773326684,0.773326684,0.924432873,0.679155785,0.679155785,0.562504191,0.773326684,0.924432873,0.773326684,0.679155785,1.283630932
Pyroglutamic acid,1.365035479,1.365035479,0.267123782,1.365035479,0.082766647,1.365035479,1.365035479,1.365035479,0.208499341,1.119695291,1.365035479,0.923841005,1.365035479,1.365035479,0.999408431,1.365035479,1.365035479,0.712038652,1.365035479,0.767715007,1.365035479,1.359368975,0.136902713,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,0.216068134,1.365035479,1.365035479,1.365035479,1.078338801,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,0.774045714,1.365035479,0.082766647,1.365035479,1.365035479,0.397043351,1.365035479,1.365035479,1.365035479,1.365035479,1.365035479,0.248335965,0.124820527
S-Adenosylmethionine,0.864223291,0.440008387,1.236423871,0.601894172,2.377909515,0.864223291,2.377909515,1.236423871,1.236423871,2.377909515,0.864223291,0.864223291,1.236423871,0.864223291,1.236423871,2.377909515,1.236423871,2.377909515,0.864223291,2.377909515,4.145853754,0.864223291,1.236423871,0.328181511,1.236423871,0.328181511,1.236423871,0.864223291,1.236423871,0.440008387,1.236423871,0.195418151,1.236423871,0.864223291,11.2512305,0.601894172,1.236423871,1.236423871,2.377909515,1.236423871,1.236423871,1.236423871,1.236423871,1.236423871,1.236423871,0.864223291,2.377909515,1.236423871,0.864223291,2.377909515,1.236423871,0.864223291,1.236423871,0.864223291,0.864223291,0.601894172,2.377909515,0.864223291
Sarcosine,0.454255119,1.361423836,1.361423836,0.532630258,0.498971916,1.361423836,0.471316857,0.443261901,0.507367612,1.361423836,1.361423836,0.495622884,1.361423836,1.361423836,0.460895649,1.361423836,1.264395956,1.361423836,1.361423836,1.121091107,1.361423836,0.44207583,0.497836946,0.521492275,0.602816774,0.700829673,1.361423836,1.361423836,2.768680467,1.361423836,1.361423836,0.345134814,0.602816774,0.448139331,0.496539789,1.361423836,0.525933354,1.361423836,0.460895649,0.591412845,0.440683281,1.361423836,0.466081956,1.361423836,0.375826217,1.361423836,0.345134814,1.361423836,0.371198119,1.361423836,1.711838184,1.361423836,1.361423836,0.670091454,0.674540575,1.361423836,0.421717635,0.570566939
Serine,0.301882904,0.939081755,0.434981369,0.594160138,0.255754208,0.898778932,1.844029276,0.636581706,0.311907472,1.659868992,0.445591213,1.362604554,1.496756103,0.561506686,1.425411143,1.302805231,1.425411143,1.583400502,0.445591213,1.425411143,1.425411143,3.671517987,0.401411272,0.833637565,0.409079196,0.725234822,0.434981369,0.594160138,0.458450501,0.636581706,0.297406843,0.612782244,1.247657832,0.833637565,1.425411143,0.865319007,1.198105057,1.425411143,0.594160138,1.015625539,1.14176454,4.12165188,0.682044822,0.497311852,1.198105057,1.14176454,1.362604554,0.511500133,1.247657832,1.362604554,0.976987915,0.255754208,1.103278909,1.062828439,0.700998102,0.326557427,1.981467438,0.801745627
Spermidine,0.728327141,0.44704451,0.925673952,0.788213008,0.625112692,0.788213008,1.573165543,0.5025891,0.673183028,1.642408783,0.381483385,1.573165543,1.385128788,0.728327141,1.573165543,1.642408783,1.505066878,1.080278218,0.412064132,1.71276619,1.263310282,2.202325943,0.691439455,0.359766965,1.080278218,0.895054907,0.596068366,0.354986454,1.038279827,0.438848492,0.728327141,0.398364702,0.998530136,0.579615216,0.788213008,0.545531405,0.998530136,1.169700737,0.834381249,0.536162012,1.885986322,1.169700737,0.895054907,0.291021395,1.79259923,0.728327141,2.318761299,0.25031225,2.202325943,0.834381249,1.263310282,0.309782288,1.979831493,0.673183028,0.513715939,0.135104231,1.327559843,0.865866203
Spermine,0.736533825,0.456528254,1.442648454,1.482122729,0.773952582,0.7262875,1.529876396,0.360117795,0.839071256,1.902031327,0.704183656,1.10005143,1.085241324,0.397746869,0.994592078,1.281261617,0.994592078,1.037017673,0.492049919,1.007847169,1.244810143,0.563231206,0.589475974,0.393794986,0.695553578,0.541279724,0.589475974,0.380518333,0.534258648,1.037017673,0.534258648,0.371790286,0.511032776,0.877632196,1.037017673,0.498491732,0.606645973,0.704183656,0.411304798,0.472692272,1.524140216,0.865477617,0.445140687,0.541279724,1.47405687,0.64836979,0.621962025,0.570712954,1.520620091,1.142275211,0.736533825,0.450951967,1.541068117,0.621962025,0.889915204,0.498491732,1.482122729,0.486690622
Suberic acid,1.25987663,0.819354348,0.819354348,1.25987663,1.25987663,0.352522715,2.547106959,0.514814529,1.25987663,2.547106959,0.514814529,1.25987663,0.819354348,0.352522715,0.819354348,1.25987663,0.514814529,1.25987663,0.514814529,0.514814529,0.819354348,0.514814529,0.819354348,37.90939057,0.514814529,1.25987663,1.25987663,0.819354348,1.694648251,0.819354348,0.819354348,0.819354348,0.819354348,0.514814529,2.547106959,0.819354348,0.514814529,0.352522715,2.547106959,0.819354348,0.819354348,0.514814529,0.819354348,0.514814529,1.694648251,0.514814529,0.819354348,0.514814529,2.547106959,0.352522715,1.694648251,0.514814529,1.694648251,0.352522715,1.25987663,0.514814529,0.819354348,0.819354348
Taurine,0.890629537,0.192926983,2.372181587,1.213997846,0.744396085,0.744396085,2.372181587,0.744396085,0.744396085,2.372181587,1.549939144,0.890629537,2.052847578,0.622918941,0.890629537,2.372181587,0.890629537,2.052847578,0.890629537,0.549956808,2.052847578,1.213997846,0.622918941,0.357752535,1.784727202,0.24415943,0.622918941,0.298195147,1.784727202,0.744396085,1.379654853,0.192926983,1.784727202,1.213997846,1.549939144,0.419841033,1.784727202,1.784727202,0.549956808,0.298195147,1.379654853,1.213997846,0.622918941,1.379654853,1.549939144,1.213997846,0.622918941,0.549956808,1.784727202,1.213997846,0.622918941,0.298195147,1.549939144,0.890629537,0.622918941,0.24415943,1.379654853,1.213997846
Theophylline,0.337228766,1.743038837,1.743038837,0.353910709,1.743038837,1.743038837,1.743038837,0.442799814,1.743038837,1.743038837,0.407253504,1.743038837,1.743038837,0.452071718,1.743038837,1.743038837,1.743038837,0.480332113,0.487936391,1.743038837,1.743038837,1.738293463,0.407253504,1.743038837,0.447339323,1.743038837,0.477390873,1.743038837,1.743038837,0.32367168,0.39424804,0.399757887,1.743038837,0.461543676,1.743038837,0.544373906,1.743038837,0.447339323,1.743038837,0.433713683,1.743038837,1.743038837,1.743038837,0.367865411,1.743038837,0.450442572,1.743038837,0.372075228,1.743038837,1.743038837,1.743038837,1.743038837,1.743038837,0.463238467,1.743038837,0.370136241,1.743038837,0.461543676
