	MetType	SubMetType	PubChem CID	KEGG	Human Metabolome Database	ChEBI
HISTAMINE	Amino acid	Histidine metabolism	774|156615	C00388|D08040	HMDB00870	CHEBI:18295|CHEBI:73337
HISTIDINE	Amino acid	Histidine metabolism	6274|6971009	C00135|D00032	HMDB00177	CHEBI:15971|CHEBI:57595
HISTIDYLLEUCINE	Peptide	Dipeptide				
HYDROCHLOROTHIAZIDE	Xenobiotics	Drug	3639	C07041|D00340	HMDB01928	
HYDROXYISOVALEROYL CARNITINE						
HYPOTAURINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	107812|25244088	C00519	HMDB00965	CHEBI:16668|CHEBI:57853
HYPOXANTHINE	Nucleotide	Purine metabolism, (hypo)xanthine/inosine containing	790	C00262	HMDB00157	CHEBI:17368
INOSINE	Nucleotide	Purine metabolism, (hypo)xanthine/inosine containing	6021	C00294|D00054	HMDB00195	CHEBI:17596
INOSINE 5'-MONOPHOSPHATE (IMP)						
INOSITOL 1-PHOSPHATE (I1P)	Lipid	Inositol metabolism		C04006	HMDB00213	CHEBI:18169
ISOBAR: FRUCTOSE 1,6-DIPHOSPHATE, GLUCOSE 1,6-DIPHOSPHATE, MYO-INOSITOL 1,4 OR 1,3-DIPHOSPHATE	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism				
ISOBAR: RIBULOSE 5-PHOSPHATE, XYLULOSE 5-PHOSPHATE	Carbohydrate	Nucleotide sugars, pentose metabolism				
ISOBAR: UDP-ACETYLGLUCOSAMINE, UDP-ACETYLGALACTOSAMINE						
ISOBUTYRYLCARNITINE	Amino acid	Valine, leucine and isoleucine metabolism				
ISOLEUCINE	Amino acid	Valine, leucine and isoleucine metabolism	6306|7043901	C00407|D00065	HMDB00172	CHEBI:17191|CHEBI:58045
ISOLEUCYLALANINE	Peptide	Dipeptide				
ISOLEUCYLGLUTAMATE	Peptide	Dipeptide				
ISOLEUCYLGLUTAMINE						
ISOLEUCYLSERINE	Peptide	Dipeptide				
ISOVALERYLCARNITINE	Amino acid	Valine, leucine and isoleucine metabolism	6426851		HMDB00688	
KYNURENINE	Amino acid	Tryptophan metabolism	161166|6971029	C00328	HMDB00684	CHEBI:16946|CHEBI:57959
LACTATE	Carbohydrate	Glycolysis, gluconeogenesis, pyruvate metabolism	107689	C00186	HMDB00190	CHEBI:422
LATHOSTEROL						
LAURATE (12:0)	Lipid	Medium chain fatty acid	3893	C02679	HMDB00638	CHEBI:30805
LEUCINE	Amino acid	Valine, leucine and isoleucine metabolism	6106|7045798	C00123|D00030	HMDB00687	CHEBI:15603|CHEBI:57427
LEUCYLALANINE	Peptide	Dipeptide	259321|44369296			
LEUCYLGLUTAMATE	Peptide	Dipeptide				
LEUCYLGLYCINE	Peptide	Dipeptide	79070|53451352			
LEUCYLSERINE	Peptide	Dipeptide	3621685			
LIDOCAINE	Xenobiotics	Drug	3676	D00358|C07073		CHEBI:6456
LINOLEATE (18:2N6)	Lipid	Essential fatty acid	5280450	C01595	HMDB00673	CHEBI:17351
LINOLENATE [ALPHA OR GAMMA; (18:3N3 OR 6)]	Lipid	Essential fatty acid	5280934	C06427	HMDB01388	CHEBI:27432
LYSINE	Amino acid	Lysine metabolism	5962	C00047|D02304	HMDB00182	CHEBI:18019
MALATE	Energy	Krebs cycle	222656	C00149	HMDB00156	CHEBI:30797
MALONYLCARNITINE	Lipid	Fatty acid synthesis	22833583		HMDB02095	
MALTOPENTAOSE	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	3710145|440949|13489094	C06218	HMDB12254	CHEBI:61952
MALTOSE	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	439341|439186|10991489	C00208|C00897|D00044	HMDB00163	CHEBI:18167|CHEBI:17306|CHEBI:47937
MALTOTETRAOSE	Carbohydrate	Oligosaccharide	446495|439639	C02052	HMDB01296	CHEBI:61988
MALTOTRIOSE	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	439586	C01835	HMDB01262	
MANNITOL	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	453|6251	C00392|D00062	HMDB00765	CHEBI:16899
MANNOSE	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	161658|18950	C00159	HMDB00169	CHEBI:37675|CHEBI:4208
MANNOSE-6-PHOSPHATE	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	65127|439198	C00275	HMDB01078	CHEBI:48066|CHEBI:49728
MARGARATE (17:0)	Lipid	Long chain fatty acid	10465		HMDB02259	CHEBI:32365
MEAD ACID (20:3N9)						
METHIONINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	6137|6992087	C00073|D00019	HMDB00696	CHEBI:16643|CHEBI:57844
METHIONYLTHREONINE						
METHIONYLVALINE						
METHYL-4-HYDROXYBENZOATE	Xenobiotics	Benzoate metabolism	23663626|7456	D02458|D01400		
METHYL-ALPHA-GLUCOPYRANOSIDE	Xenobiotics	Chemical	64947	C02603		CHEBI:320061
METHYLPHOSPHATE	Nucleotide	Purine and pyrimidine metabolism	13130			CHEBI:340824
MYO-INOSITOL	Lipid	Inositol metabolism		C00137|D08079	HMDB00211	CHEBI:17268
MYRISTATE (14:0)	Lipid	Long chain fatty acid	11005	C06424	HMDB00806	CHEBI:28875
MYRISTOLEATE (14:1N5)	Lipid	Long chain fatty acid	5281119	C08322	HMDB02000	CHEBI:27781
N-ACETYL-ASPARTYL-GLUTAMATE (NAAG)	Amino acid	Glutamate metabolism	5255|71120	C12270	HMDB01067	
N-ACETYLALANINE	Amino acid	Alanine and aspartate metabolism	88064	C02847	HMDB00766	CHEBI:40992
N-ACETYLASPARTATE (NAA)	Amino acid	Alanine and aspartate metabolism	65065	C01042	HMDB00812	CHEBI:21547
N-ACETYLGLUCOSAMINE 6-PHOSPHATE	Carbohydrate	Aminosugars metabolism	10040501|440996|439219	C00357	HMDB02817|HMDB01062	CHEBI:50565|CHEBI:15784
N-ACETYLGLYCINE	Amino acid	Glycine, serine and threonine metabolism	10972		HMDB00532	CHEBI:21501|CHEBI:40410
N-ACETYLMETHIONINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	448580|6180	C02712	HMDB11745	CHEBI:21557
N-ACETYLNEURAMINATE	Carbohydrate	Aminosugars metabolism	439197|445063	C00270|C19910	HMDB00230	CHEBI:17012|CHEBI:45744
N-ACETYLORNITHINE	Amino acid	Urea cycle; arginine-, proline-, metabolism	439232|6992102	C00437	HMDB03357	CHEBI:16543|CHEBI:57805
N-ACETYLSERINE	Amino acid	Glycine, serine and threonine metabolism	65249		HMDB02931	
N-ACETYLTHREONINE	Amino acid	Glycine, serine and threonine metabolism	4651717|439406	C01118		CHEBI:16160
N-ETHYLGLYCINEXYLIDIDE*						
N-FORMYLMETHIONINE						
N1-METHYLADENOSINE	Nucleotide	Purine metabolism, adenine containing	5460178|27476	C02494	HMDB03331	CHEBI:72817|CHEBI:16020
N1-METHYLGUANOSINE	Nucleotide	Purine metabolism, guanine containing	96373		HMDB01563	CHEBI:19062
N6-ACETYLLYSINE	Amino acid	Lysine metabolism	6991978|92832	C02727	HMDB00206	CHEBI:17752|CHEBI:58260
NICOTINAMIDE	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	936	C00153|D00036	HMDB01406	CHEBI:17154
NICOTINAMIDE ADENINE DINUCLEOTIDE (NAD+)	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	5893	C00003|D00002	HMDB00902	CHEBI:15846
NICOTINAMIDE ADENINE DINUCLEOTIDE REDUCED (NADH)	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	439153|928	C00004	HMDB01487	CHEBI:16908
NICOTINAMIDE RIBONUCLEOTIDE (NMN)	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	14180	C00455	HMDB00229	CHEBI:16171
NONADECANOATE (19:0)						
OLEATE (18:1N9)	Lipid	Long chain fatty acid	445639	C00712|D02315	HMDB00207|HMDB00573	CHEBI:16196
OLEOYLCARNITINE	Lipid	Carnitine metabolism	53477789		HMDB05065	
OPHTHALMATE	Amino acid	Glutathione metabolism	9817431|7018721		HMDB05765	
ORNITHINE	Amino acid	Urea cycle; arginine-, proline-, metabolism	6262|71082	C00077|D08302|C00515	HMDB03374|HMDB00214	CHEBI:15729|CHEBI:16176
P-ACETAMIDOPHENYLGLUCURONIDE	Xenobiotics	Drug	4022661|83944		HMDB10316	CHEBI:32636
P-CRESOL SULFATE	Amino acid	Phenylalanine & tyrosine metabolism	4615422|2879	C01468	HMDB01858	CHEBI:17847
PALMITATE (16:0)	Lipid	Long chain fatty acid	985	C00249|D05341	HMDB00220	CHEBI:15756
PALMITOLEATE (16:1N7)	Lipid	Long chain fatty acid	445638	C08362	HMDB03229	CHEBI:28716
PALMITOYL SPHINGOMYELIN	Lipid	Sphingolipid	9939941			
PALMITOYLCARNITINE	Lipid	Carnitine metabolism	11953816	C02990	HMDB00222	
PANTOTHENATE	Cofactors and vitamins	Pantothenate and CoA metabolism	6613|988	C00864|D07413	HMDB00210	CHEBI:46905|CHEBI:7916
PARAXANTHINE						
PELARGONATE (9:0)	Lipid	Medium chain fatty acid	5461016|8158	C01601	HMDB00847	CHEBI:32361|CHEBI:29019
PENTADECANOATE (15:0)	Lipid	Long chain fatty acid	13849	C16537	HMDB00826	CHEBI:42504
PENTAETHYLENE GLYCOL						
PHENOL SULFATE	Amino acid	Phenylalanine & tyrosine metabolism	74426	C02180|C00850		CHEBI:27905
PHENOLPHTHALEIN BETA-D-GLUCURONIDE						
PHENYLACETYLGLUTAMINE	Amino acid	Phenylalanine & tyrosine metabolism	306137|92258	C04148	HMDB06344	CHEBI:8087|CHEBI:17884
PHENYLALANINE	Amino acid	Phenylalanine & tyrosine metabolism	6925665|6140	C00079|D00021	HMDB00159	CHEBI:17295|CHEBI:58095
PHENYLALANYLSERINE	Peptide	Dipeptide	9859812			
PHENYLLACTATE (PLA)	Amino acid	Phenylalanine & tyrosine metabolism	643327|3848	C05607	HMDB00779|HMDB00748	CHEBI:32978|CHEBI:25998
PHENYLPYRUVATE	Amino acid	Phenylalanine & tyrosine metabolism	997	C00166	HMDB00205	CHEBI:30851
PHOSPHATE	Energy	Oxidative phosphorylation	1061|1004|22486802	C00009|D05467	HMDB01429|HMDB02142	CHEBI:18367|CHEBI:26078|CHEBI:52641|CHEBI:7794
PHOSPHOETHANOLAMINE	Lipid	Glycerolipid metabolism	1015|5232324	C00346	HMDB00224	CHEBI:17553
PHYTOSPHINGOSINE	Lipid	Sphingolipid	122121	C12144	HMDB04610	CHEBI:46961
PIPECOLATE	Amino acid	Lysine metabolism	439227|6931663|25200477|849	C00408	HMDB00070|HMDB00716	CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
PIPERINE	Xenobiotics	Food component/Plant	638024	C03882		CHEBI:28821
PREGN STEROID MONOSULFATE*						
PREGNANEDIOL-3-GLUCURONIDE	Lipid	Sterol/Steroid	123796		HMDB10318	
PRO-HYDROXY-PRO	Peptide	Dipeptide	11673055|11902892|11902893		HMDB06695	CHEBI:74767
PROLINE	Amino acid	Urea cycle; arginine-, proline-, metabolism	145742|6971047	C00148|D00035	HMDB00162	CHEBI:17203|CHEBI:60039
PROPIONYLCARNITINE	Lipid	Fatty acid metabolism (also BCAA metabolism)	107738	C03017	HMDB00824	CHEBI:28867
PSEUDOEPHEDRINE						
PSEUDOURIDINE	Nucleotide	Pyrimidine metabolism, uracil containing	15047	C02067	HMDB00767	CHEBI:17802
PUTRESCINE	Amino acid	Polyamine metabolism	1045	C00134|C02896	HMDB01414	CHEBI:17148
PYRIDOXATE	Cofactors and vitamins	Vitamin B6 metabolism	6723	C00847	HMDB00017	CHEBI:17405
PYROGLUTAMINE*	Amino acid	Glutamate metabolism	134508			
PYROPHOSPHATE (PPI)	Energy	Oxidative phosphorylation	644102|1023|21961011	C00013	HMDB00250	CHEBI:16838|CHEBI:18361|CHEBI:29888
QUEBRACHITOL	Xenobiotics	Food component/Plant		C08257		
RANITIDINE	Xenobiotics	Drug	3001055	D00422	HMDB01930	CHEBI:8776
RIBITOL	Carbohydrate	Nucleotide sugars, pentose metabolism		C00474	HMDB00508	CHEBI:15963
RIBOSE	Carbohydrate	Nucleotide sugars, pentose metabolism	5311110|5779	C00121	HMDB00283	CHEBI:47014|CHEBI:47013
RIBULOSE	Carbohydrate	Nucleotide sugars, pentose metabolism	79021|439203|151261|439204	C00309|C00310	HMDB00621|HMDB03371	CHEBI:17173
S-ADENOSYLHOMOCYSTEINE (SAH)	Amino acid	Cysteine, methionine, SAM, taurine metabolism	25246222|439155	C00021	HMDB00939	CHEBI:16680|CHEBI:57856
S-LACTOYLGLUTATHIONE						
S-METHYLCYSTEINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	7058174|24417		HMDB02108	CHEBI:45658
S-METHYLGLUTATHIONE						
SCYLLO-INOSITOL	Lipid	Inositol metabolism		C06153	HMDB06088	CHEBI:10642|CHEBI:23927
SEBACATE (DECANEDIOATE)	Lipid	Fatty acid, dicarboxylate	5192	C08277	HMDB00792	CHEBI:41865
SEDOHEPTULOSE-7-PHOSPHATE	Carbohydrate	Nucleotide sugars, pentose metabolism	165007|22833559	C05382	HMDB01068	CHEBI:15721
SERINE	Amino acid	Glycine, serine and threonine metabolism	5951|6857581|6857549|71077	C00065|D00016|C00740	HMDB03406|HMDB00187	CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
SERYLLEUCINE	Peptide	Dipeptide				
SERYLPHENYALANINE	Peptide	Dipeptide				
SORBITOL	Carbohydrate	Fructose, mannose, galactose, starch, and sucrose metabolism	107428|5780	C00794|C01452|D00096	HMDB00247	CHEBI:13022|CHEBI:17317|CHEBI:17924
SPERMIDINE	Amino acid	Polyamine metabolism	1102	C00315	HMDB01257	CHEBI:16610
SPHINGANINE	Lipid	Sphingolipid	3126|91486	C00836	HMDB00269	CHEBI:46968|CHEBI:16566
SPHINGOSINE	Lipid	Sphingolipid	5353955|5280335	C00319	HMDB00252	CHEBI:46964|CHEBI:16393|CHEBI:26743
STACHYDRINE	Xenobiotics	Food component/Plant	115244	C10172	HMDB04827	CHEBI:35280
STEARATE (18:0)	Lipid	Long chain fatty acid	5281	C01530|D00119	HMDB00827	CHEBI:28842
STEARIDONATE (18:4N3)	Lipid	Long chain fatty acid	5312508	C16300	HMDB06547	CHEBI:32389
STEAROYL SPHINGOMYELIN						
STEAROYLCARNITINE	Lipid	Carnitine metabolism	6426855		HMDB00848	CHEBI:73074
SUCCINATE	Energy	Krebs cycle	1110|21952380	C00042	HMDB00254	CHEBI:15741
SUCCINYLCARNITINE	Energy	Krebs cycle				
TAURINE	Amino acid	Cysteine, methionine, SAM, taurine metabolism	1123|4068592	C00245|D00047	HMDB00251	CHEBI:15891|CHEBI:507393
TETRAETHYLENE GLYCOL						
THEOBROMINE	Xenobiotics	Xanthine metabolism	5429	C07480	HMDB02825	CHEBI:28946
THIAMIN DIPHOSPHATE						
THREONATE	Cofactors and vitamins	Ascorbate and aldarate metabolism	151152|5460407	C01620	HMDB00943	CHEBI:49059|CHEBI:15908
THREONINE	Amino acid	Glycine, serine and threonine metabolism	6971019|6288	C00188|D00041	HMDB00167	CHEBI:16857|CHEBI:57926
THREONYLLEUCINE	Peptide	Dipeptide	4420322			
THREONYLPHENYLALANINE	Peptide	Dipeptide				
THYMIDINE 5'-MONOPHOSPHATE						
THYMINE	Nucleotide	Pyrimidine metabolism, thymine containing	1135	C00178	HMDB00262	CHEBI:17821
TIGLYL CARNITINE			22833596		HMDB02366	CHEBI:71179
TRIETHYLENEGLYCOL	Xenobiotics	Chemical				
TRYPTOPHAN	Amino acid	Tryptophan metabolism	6923516|6305	C00078|D00020	HMDB00929	CHEBI:16828|CHEBI:57912
TRYPTOPHAN BETAINE 	Amino acid	Tryptophan metabolism	442106	C09213		
TYROSINE	Amino acid	Phenylalanine & tyrosine metabolism	6057|6942100	C00082|D00022	HMDB00158	CHEBI:17895|CHEBI:58315
UDP-GLUCOSE (ISOBAR WITH UDP-GALACTOSE)						
UDP-GLUCURONATE	Carbohydrate	Nucleotide sugars, pentose metabolism	17473	C00167	HMDB00935	CHEBI:17200
UNDECANEDIOATE	Lipid	Fatty acid, dicarboxylate	15816		HMDB00888	CHEBI:73713
URACIL	Nucleotide	Pyrimidine metabolism, uracil containing	1174	C00106|D00027	HMDB00300	CHEBI:17568
URATE	Nucleotide	Purine metabolism, urate metabolism	1175	C00366	HMDB00289	CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
UREA	Amino acid	Urea cycle; arginine-, proline-, metabolism	1176	C00086|D00023	HMDB00294	CHEBI:16199|CHEBI:48376
URIDINE	Nucleotide	Pyrimidine metabolism, uracil containing	6029	C00299	HMDB00296	CHEBI:16704
URIDINE 5'-TRIPHOSPHATE (UTP)						
URIDINE MONOPHOSPHATE (5' OR 3')	Nucleotide	Pyrimidine metabolism, uracil containing				
VALERATE						
VALERYLCARNITINE	Lipid	Fatty acid metabolism	6426903|53481619		HMDB13128	
VALINE	Amino acid	Valine, leucine and isoleucine metabolism	6971018|6287	C00183|D00039	HMDB00883	CHEBI:16414|CHEBI:57762
VALYLASPARAGINE	Peptide	Dipeptide				
VALYLGLYCINE	Peptide	Dipeptide	136487			
VALYLPHENYLALANINE	Peptide	Dipeptide				
VALYLSERINE	Peptide	Dipeptide	139506			
VALYLVALINE	Peptide	Dipeptide				
VGAHAGEYGAEALER*	Peptide	Polypeptide				
XANTHINE	Nucleotide	Purine metabolism, (hypo)xanthine/inosine containing	1188	C00385	HMDB00292	CHEBI:17712|CHEBI:48517
XANTHOSINE	Nucleotide	Purine metabolism, (hypo)xanthine/inosine containing	64959	C01762	HMDB00299	CHEBI:18107
XYLITOL	Carbohydrate	Nucleotide sugars, pentose metabolism	6912|827	C00379|D00061	HMDB00568|HMDB02917	CHEBI:17151
XYLULOSE	Carbohydrate	Nucleotide sugars, pentose metabolism	5289590|439204	C00310	HMDB00654|HMDB01644|HMDB03371	CHEBI:17140
