"Pathway","Study","DifferentialAbundance","PathwaySize","KEGGID","NA"
"Pyruvate metabolism","PRADLODA",0,5,"Prostate
Priolo","hsa00620"
"Starch and sucrose metabolism","PRADLODA",-0.2,5,"Prostate
Priolo","hsa00500"
"Starch and sucrose metabolism","PAADHussain2",0,7,"Pancreatic
Zhang2","hsa00500"
"Starch and sucrose metabolism","KIRC",0.555555555555556,9,"Clear Cell
Kidney","hsa00500"
"Starch and sucrose metabolism","PRAD",-0.333333333333333,3,"Prostate
Sreekumar","hsa00500"
"Starch and sucrose metabolism","BLCA",NA,0,"Bladder","hsa00500"
"Starch and sucrose metabolism","PAADHussain1",0,5,"Pancreatic
Zhang1","hsa00500"
"Starch and sucrose metabolism","OV",0,7,"Ovarian","hsa00500"
"Starch and sucrose metabolism","PAAD",0,6,"Pancreatic
Kamphorst","hsa00500"
"Starch and sucrose metabolism","BRCA",0.875,8,"Breast
Terunuma","hsa00500"
"Starch and sucrose metabolism","BRCATang",0.714285714285714,7,"Breast
Tang","hsa00500"
"Taurine and hypotaurine metabolism","PAADHussain1",0.285714285714286,7,"Pancreatic
Zhang1","hsa00430"
"Taurine and hypotaurine metabolism","BLCA",0,2,"Bladder","hsa00430"
"Taurine and hypotaurine metabolism","OV",0,10,"Ovarian","hsa00430"
"Taurine and hypotaurine metabolism","PAADHussain2",0.166666666666667,6,"Pancreatic
Zhang2","hsa00430"
"Taurine and hypotaurine metabolism","BRCA",0.571428571428571,7,"Breast
Terunuma","hsa00430"
"Taurine and hypotaurine metabolism","KIRC",0.2,5,"Clear Cell
Kidney","hsa00430"
"Taurine and hypotaurine metabolism","PAAD",0.142857142857143,7,"Pancreatic
Kamphorst","hsa00430"
"Taurine and hypotaurine metabolism","PRAD",0.333333333333333,6,"Prostate
Sreekumar","hsa00430"
"Taurine and hypotaurine metabolism","PRADLODA",-0.142857142857143,7,"Prostate
Priolo","hsa00430"
"Taurine and hypotaurine metabolism","BRCATang",1,5,"Breast
Tang","hsa00430"
"Tyrosine metabolism","PAADHussain1",0,7,"Pancreatic
Zhang1","hsa00350"
"Tyrosine metabolism","OV",0.375,8,"Ovarian","hsa00350"
"Tyrosine metabolism","PRADLODA",0,5,"Prostate
Priolo","hsa00350"
"Tyrosine metabolism","PRAD",0.666666666666667,3,"Prostate
Sreekumar","hsa00350"
"Tyrosine metabolism","PAADHussain2",0,5,"Pancreatic
Zhang2","hsa00350"
"Tyrosine metabolism","BLCA",0,1,"Bladder","hsa00350"
"Tyrosine metabolism","KIRC",-0.375,8,"Clear Cell
Kidney","hsa00350"
"Tyrosine metabolism","PAAD",0,4,"Pancreatic
Kamphorst","hsa00350"
"Tyrosine metabolism","BRCA",0.833333333333333,6,"Breast
Terunuma","hsa00350"
"Tyrosine metabolism","BRCATang",0.6,5,"Breast
Tang","hsa00350"
"Valine, leucine and isoleucine biosynthesis","PAADHussain1",0.125,8,"Pancreatic
Zhang1","hsa00290"
"Valine, leucine and isoleucine biosynthesis","KIRC",-0.714285714285714,7,"Clear Cell
Kidney","hsa00290"
"Valine, leucine and isoleucine biosynthesis","BLCA",-0.333333333333333,3,"Bladder","hsa00290"
"Valine, leucine and isoleucine biosynthesis","OV",0,7,"Ovarian","hsa00290"
"Valine, leucine and isoleucine biosynthesis","PRADLODA",0,5,"Prostate
Priolo","hsa00290"
"Valine, leucine and isoleucine biosynthesis","PAADHussain2",0,6,"Pancreatic
Zhang2","hsa00290"
"Valine, leucine and isoleucine biosynthesis","BRCA",0.875,8,"Breast
Terunuma","hsa00290"
"Valine, leucine and isoleucine biosynthesis","PAAD",0.25,4,"Pancreatic
Kamphorst","hsa00290"
"Valine, leucine and isoleucine biosynthesis","PRAD",1,5,"Prostate
Sreekumar","hsa00290"
"Valine, leucine and isoleucine biosynthesis","BRCATang",0.333333333333333,6,"Breast
Tang","hsa00290"
