"","all.combined.adjusted","tumors.combined.adjusted","normals.combined.adjusted","Significant","Significant_Tumor","Significant_normal","SigNames"
"n-acetylthreonine",0.1187430545,0.0294293687,0.899930094,2,2,0,"KIRC.Tumor.less;BRCA.Tumor.less"
"3-dehydrocarnitine*",0.1340675109,0.0306297618,0.8534020892,2,2,0,"KIRC.Tumor.less;LGG.Tumor.less"
"arabitol",0.0837197965,0.0378067658,0.6166183192,2,1,1,"KIRC.Normal.less;LGG.Tumor.greater"
"eicosapentaenoate (epa; 20:5n3)",0.2872836244,0.0404104391,0.2997936549,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"cystathionine",0.1133456513,0.0422269112,1,2,2,0,"BRCA.Tumor.less;LGG.Tumor.greater"
"n1-methyladenosine",0.0797100855,0.0424711967,0.7575981942,2,2,0,"BRCA.Tumor.less;PRADLODA.Tumor.greater"
"glycyltyrosine",0.062441848,0.0446595033,0.5857989511,2,2,0,"KIRC.Tumor.less;PRADLODA.Tumor.less"
"1-stearoylglycerol (1-monostearin)",0.1248458498,0.0456394956,0.2248320363,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"gamma-aminobutyrate (gaba)",0.135062445,0.0457130688,0.3573534806,2,1,1,"PRADLODA.Normal.less;LGG.Tumor.greater"
"indolelactate",0.07035833,0.050212374,0.6063230423,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"stearidonate (18:4n3)",0.2388431101,0.0518634998,0.4653488477,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"phosphoenolpyruvate (pep)",0.1085326611,0.0518634998,0.9515266048,2,2,0,"LGG.Tumor.less;BRCA.Tumor.greater"
"gamma-tocopherol",0.185427001,0.0553837749,1,2,2,0,"LGG.Tumor.less;KIRC.Tumor.greater"
"isovalerylcarnitine",0.2865957599,0.0622051167,0.4372982259,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"glycylisoleucine",0.062441848,0.062518629,0.46245407,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"threonylphenylalanine",0.0301398664,0.0629319651,0.3163929386,2,1,1,"KIRC.Normal.less;PRADLODA.Tumor.less"
"maltotetraose",0.2898894275,0.0637532149,0.3573534806,2,1,1,"LGG.Tumor.less;KIRC.Normal.greater"
"pseudouridine",0.0590561764,0.0670376312,0.45212388,2,1,1,"LGG.Tumor.greater;PRADLODA.Normal.greater"
"homocysteine",0.129750371,0.0688293768,0.9108521206,2,2,0,"KIRC.Tumor.less;LGG.Tumor.greater"
"scyllo-inositol",0.049258405,0.0688293768,0.4103216437,2,1,1,"KIRC.Normal.greater;LGG.Tumor.greater"
"10-heptadecenoate (17:1n7)",0.304376188,0.0690384577,0.345473227,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"1-palmitoylplasmenylethanolamine*",0.2257403149,0.0691557273,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"sphinganine",0.2012074626,0.0699050259,1,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"benzoate",0.2388431101,0.0819285319,1,2,2,0,"LGG.Tumor.less;KIRC.Tumor.greater"
"1-arachidonoylglycerophosphocholine*",0.2100142673,0.0924474551,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"riboflavin (vitamin b2)",0.6175659572,0.0927879663,0.3573534806,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"s-methylcysteine",0.0590283092,0.1008492132,1,2,1,1,"KIRC.Normal.greater;LGG.Tumor.greater"
"n-acetyl-aspartyl-glutamate (naag)",0.0742449723,0.1100571571,0.4372982259,2,1,1,"KIRC.Normal.greater;LGG.Tumor.greater"
"gluconate",0.2224427902,0.1152973509,0.9438893991,2,2,0,"LGG.Tumor.less;PRADLODA.Tumor.greater"
"ophthalmate",0.2058890349,0.1222416392,0.9108521206,2,2,0,"LGG.Tumor.less;BRCA.Tumor.greater"
"adenosine 5'-monophosphate (amp)",0.0645183258,0.1308090737,0.3573534806,2,1,1,"BRCA.Tumor.less;PRADLODA.Normal.less"
"13-hode + 9-hode",0.0086006144,0.1309615313,0.0867685375,2,1,1,"KIRC.Tumor.greater;KIRC.Normal.greater"
"2-palmitoylglycerophosphoethanolamine*",0.207153028,0.1361789177,0.4103216437,2,1,1,"PRADLODA.Normal.less;PRADLODA.Tumor.greater"
"gamma-glutamylglutamate",0.4110374972,0.165611402,1,2,2,0,"BRCA.Tumor.less;KIRC.Tumor.greater"
"2-aminobutyrate",0.3496859128,0.1762566452,1,2,2,0,"LGG.Tumor.less;KIRC.Tumor.greater"
"1-palmitoylglycerophosphoinositol*",0.3512185135,0.1841109014,0.46245407,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"alpha-hydroxyisovalerate",0.1516509995,0.1841109014,0.5192937757,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"urea",0.2373082837,0.1877694214,0.724669172,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"betaine",0.5862764056,0.1883192016,0.6316234805,2,1,1,"BRCA.Tumor.less;PRADLODA.Normal.greater"
"2-ethylhexanoate",0.0808135762,0.1985277597,0.3573534806,2,1,1,"KIRC.Tumor.greater;KIRC.Normal.greater"
"agmatine",0.1069729238,0.2427947996,0.2997936549,2,1,1,"PRADLODA.Normal.less;PRADLODA.Tumor.greater"
"nicotinamide ribonucleotide (nmn)",0.1001549051,0.2605849202,0.3573534806,2,1,1,"KIRC.Tumor.greater;KIRC.Normal.greater"
"1-oleoylglycerophosphoinositol*",0.4705563533,0.2885893618,0.4172457967,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"1-oleoylglycerol (1-monoolein)",0.0599087303,0.2908720618,1,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"1-palmitoylglycerol (1-monopalmitin)",0.2927215306,0.3042795561,0.2997936549,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"gamma-glutamylisoleucine*",0.3880559407,0.3512092309,1,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"1-linoleoylglycerol (1-monolinolein)",0.2799004829,0.353756609,0.3573534806,2,1,1,"PRADLODA.Tumor.less;KIRC.Normal.greater"
"hippurate",0.4960276869,0.362948636,0.6803906594,2,2,0,"LGG.Tumor.less;KIRC.Tumor.greater"
"3-indoxyl sulfate",0.1634582163,0.3730378202,0.3231914776,2,1,1,"KIRC.Normal.less;KIRC.Tumor.greater"
"oleate (18:1n9)",0.1361608247,0.5446260985,0.2592100912,2,1,1,"BRCA.Tumor.less;KIRC.Normal.greater"
"n-acetylaspartate (naa)",0.4032293763,0.7295450147,0.3573534806,2,1,1,"KIRC.Normal.greater;LGG.Tumor.greater"
"1-docosahexaenoylglycerophosphocholine*",0.0297208461,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"1-heptadecanoylglycerophosphocholine",0.232224914,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"1-palmitoleoylglycerophosphocholine*",0.0645953586,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"1-pentadecanoylglycerophosphocholine*",0.1056146053,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"2-docosapentaenoylglycerophosphocholine*",0.2189419583,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.greater"
"3-ureidopropionate",0.0025126261,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"alanylglutamate",0.0069947436,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"alanylisoleucine",0.0164254799,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"alanylmethionine",0.0186277044,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"alanylphenylalanine",0.0143211024,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"alpha-glutamyltyrosine",0.0305777728,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"glycylphenylalanine",0.0247618082,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"histidyltryptophan",0.0032855333,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"homoserine",0.0039116687,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"isoleucylmethionine",0.0096659229,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"leucylphenylalanine",0.0084904754,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"leucylserine",0.0144139296,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"methionylalanine",0.0632614578,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"methionylasparagine",0.0084904754,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"methionylglycine",0.005731315,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"methionylleucine",0.0168765816,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"phenylalanylalanine",0.0025126261,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"phenylalanylaspartate",0.0091431672,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"phenylalanylglutamate",0.0030081726,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"phenylalanylglycine",0.0115233973,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"phenylalanylphenylalanine",0.0251826726,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"phenylalanylserine",0.0027387052,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"phenylalanylvaline",0.0302659155,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"serylleucine",0.0590932766,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"threonylmethionine",0.0102389219,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"tryptophylasparagine",0.0312570289,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"tryptophylglutamate",0.0012247489,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"tyrosylalanine",0.0162578575,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"tyrosylglutamine",0.0155495626,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"tyrosylglycine",0.0082445636,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"tyrosylleucine",0.0165942521,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"tyrosylvaline",0.0301279283,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"valylasparagine",0.0305777728,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"valylisoleucine",0.0343201342,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"valylphenylalanine",0.0111205791,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"valyltryptophan",0.0223758544,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"valyltyrosine",0.0613672302,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"xylose",0.0311541864,1,1,2,1,1,"KIRC.Tumor.less;KIRC.Normal.less"
"isobar 2 includes 2-aminoisobutyric acid,3-amino-isobutyrate",0.3852365279,1,1,2,1,1,"PRAD.Tumor.less;PRAD.Normal.greater"
"ergothioneine",0.0139902082,0.0038249882,0.7943605549,1,1,0,"LGG.Tumor.less"
"docosadienoate (22:2n6)",0.0272959321,0.0041182366,1,1,1,0,"BRCA.Tumor.less"
"palmitoylcarnitine",0.0731974891,0.0081998278,0.45212388,1,1,0,"BRCA.Tumor.less"
"sphingosine",0.0861214976,0.0152098789,0.6316234805,1,1,0,"BRCA.Tumor.less"
"xylonate",0.07035833,0.0200585909,1,1,1,0,"LGG.Tumor.greater"
"pro-hydroxy-pro",0.0581823827,0.0200585909,1,1,1,0,"LGG.Tumor.less"
"7-beta-hydroxycholesterol",0.0514977821,0.0253314307,0.724669172,1,1,0,"LGG.Tumor.greater"
"maltose",0.0887903028,0.0253570947,1,1,1,0,"LGG.Tumor.less"
"7-alpha-hydroxycholesterol",0.0223758544,0.0253570947,1,1,1,0,"LGG.Tumor.greater"
"ornithine",0.1010849878,0.0256578963,0.9375738305,1,1,0,"LGG.Tumor.less"
"6-phosphogluconate",0.113406258,0.0304782016,0.9225395071,1,1,0,"LGG.Tumor.less"
"1,3-dihydroxyacetone",0.1340675109,0.0314216937,0.9085028094,1,1,0,"LGG.Tumor.greater"
"isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate",0.0698236814,0.0353227589,1,1,1,0,"BRCA.Tumor.less"
"hydroxyisovaleroyl carnitine",0.07035833,0.035354177,0.724669172,1,1,0,"BRCA.Tumor.less"
"lidocaine",0.0591075602,0.040349287,0.6316234805,1,1,0,"KIRC.Tumor.less"
"3-phosphoglycerate",0.1539100095,0.0422437604,1,1,1,0,"LGG.Tumor.less"
"fructose 1-phosphate",0.0962608147,0.0451770026,1,1,1,0,"LGG.Tumor.greater"
"glycerophosphorylcholine (gpc)",0.1039618132,0.0452627499,0.8975465775,1,1,0,"LGG.Tumor.greater"
"hypotaurine",0.07035833,0.0464727136,0.666139028,1,1,0,"LGG.Tumor.less"
"guanosine",0.0557044937,0.0517831058,0.5117204972,1,1,0,"BRCA.Tumor.less"
"sorbitol",0.218528481,0.0571350199,0.7943605549,1,1,0,"LGG.Tumor.greater"
"2-docosapentaenoylglycerophosphoethanolamine*",0.2403264523,0.0571350199,0.5058615558,1,1,0,"BRCA.Tumor.less"
"maltotriose",0.1864058814,0.0585947099,1,1,1,0,"LGG.Tumor.less"
"2-myristoylglycerophosphocholine*",0.1853230082,0.062518629,1,1,1,0,"BRCA.Tumor.less"
"threonate",0.2400134093,0.06512309,0.724669172,1,1,0,"KIRC.Tumor.greater"
"2-docosahexaenoylglycerophosphoethanolamine*",0.2676167613,0.0747609941,0.724669172,1,1,0,"BRCA.Tumor.less"
"gamma-glutamylglutamine",0.1679594893,0.074919375,0.9451550386,1,1,0,"LGG.Tumor.greater"
"p-cresol sulfate",0.2134886968,0.078269572,1,1,1,0,"LGG.Tumor.less"
"isobar: ribulose 5-phosphate, xylulose 5-phosphate",0.2135632652,0.0788294544,1,1,1,0,"BRCA.Tumor.less"
"cysteine",0.1700894406,0.0819285319,0.9169211097,1,1,0,"BRCA.Tumor.less"
"oleoylcarnitine",0.2403264523,0.0846830922,0.7368883744,1,1,0,"BRCA.Tumor.less"
"androsterone sulfate",0.18262806,0.0911808577,0.7943605549,1,1,0,"BRCA.Tumor.greater"
"glucuronate",0.4670335385,0.0916113514,0.3754683411,1,1,0,"BRCA.Tumor.less"
"ribulose",0.2464458082,0.092385347,0.6166183192,1,1,0,"BRCA.Tumor.less"
"cystine",0.3757199637,0.1004900236,0.7198411937,1,1,0,"BRCA.Tumor.less"
"glycerol 3-phosphate (g3p)",0.1724660451,0.1014297729,0.8113543431,1,1,0,"LGG.Tumor.greater"
"octanoylcarnitine",0.4618622101,0.1172392211,0.6063230423,1,1,0,"BRCA.Tumor.greater"
"glutathione, oxidized (gssg)",0.3833627449,0.1204822437,0.7104918618,1,1,0,"KIRC.Tumor.less"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf)",0.1440942302,0.1321438182,0.6316234805,1,1,0,"PRADLODA.Tumor.greater"
"alanylalanine",0.1973814808,0.1369723388,0.724669172,1,1,0,"KIRC.Tumor.less"
"phenylacetylglutamine",0.3757199637,0.1383084729,1,1,1,0,"LGG.Tumor.less"
"isoleucylisoleucine",0.1248458498,0.1389027239,0.5117204972,1,0,1,"KIRC.Normal.less"
"caprylate (8:0)",0.3123491141,0.1389027239,1,1,1,0,"KIRC.Tumor.greater"
"glutarylcarnitine (c5)",0.3036295648,0.1410952942,1,1,1,0,"LGG.Tumor.greater"
"stachydrine",0.0898757708,0.1593248199,0.4047018395,1,0,1,"KIRC.Normal.less"
"cysteine-glutathione disulfide",0.3512273859,0.172149832,0.8062765265,1,1,0,"LGG.Tumor.greater"
"3-methyl-2-oxovalerate",0.5805352438,0.1762566452,0.632996737,1,1,0,"KIRC.Tumor.greater"
"4-guanidinobutanoate",0.1874509212,0.1763014489,0.6329961068,1,1,0,"LGG.Tumor.greater"
"alpha-ketoglutarate",0.3512273859,0.1841109014,0.9860490208,1,1,0,"PRAD.Tumor.less"
"palmitoleate (16:1n7)",0.3831533774,0.185906414,0.6329961068,1,1,0,"BRCA.Tumor.less"
"histamine",0.7252713698,0.1863488197,0.8006341617,1,1,0,"BRCA.Tumor.greater"
"2-hydroxystearate",0.3123491141,0.2015416319,0.8272074902,1,1,0,"BRCA.Tumor.less"
"pyruvate",0.07035833,0.2299315427,0.3096990375,1,0,1,"BRCA.Normal.less"
"dehydroisoandrosterone sulfate (dhea-s)",0.0903800917,0.2299315427,0.3573534806,1,0,1,"PRADLODA.Normal.greater"
"caproate (6:0)",0.6070026628,0.2834392521,1,1,1,0,"KIRC.Tumor.greater"
"histidine",0.5099407475,0.3042795561,0.389614866,1,0,1,"PRADLODA.Normal.greater"
"citrulline",0.1583318077,0.3208302715,0.4175448296,1,1,0,"KIRC.Tumor.greater"
"succinate",0.7154699192,0.3566757377,1,1,1,0,"PRADLODA.Tumor.greater"
"phenylacetylglycine",0.1700894406,0.4510084038,0.3573534806,1,0,1,"BRCA.Normal.less"
"methyl-alpha-glucopyranoside",0.2867315618,0.4539730023,0.4986163106,1,0,1,"PRADLODA.Normal.less"
"palmitoyl sphingomyelin",0.4144068745,0.4768126091,0.666139028,1,1,0,"PRADLODA.Tumor.greater"
"1-oleoylglycerophosphoserine",0.1442371041,0.5451827882,0.2036182302,1,0,1,"KIRC.Normal.greater"
"glycolate (hydroxyacetate)",0.0201018892,0.5994001201,1,1,0,1,"KIRC.Normal.greater"
"1-linoleoylglycerophosphoethanolamine*",0.4172691175,0.5998693253,0.3573534806,1,0,1,"KIRC.Normal.greater"
"quinate",0.07035833,0.6344668968,0.2036182302,1,0,1,"KIRC.Normal.less"
"nicotinamide riboside*",0.0942535826,0.6632527509,0.2264829692,1,0,1,"KIRC.Normal.greater"
"4-androsten-3beta,17beta-diol disulfate 1*",0.2738360028,0.6980837803,0.4103216437,1,0,1,"KIRC.Normal.less"
"pentadecanoate (15:0)",0.2566365902,0.8933523118,1,1,0,1,"KIRC.Normal.greater"
"pyridoxate",0.5334071595,1,0.5055936151,1,0,1,"PRADLODA.Normal.greater"
"16-hydroxypalmitate",0.1201521912,1,1,1,1,0,"KIRC.Tumor.greater"
"1-palmitoleoylglycerophosphoethanolamine*",1,1,1,1,0,1,"KIRC.Normal.greater"
"2'-deoxyadenosine 3'-monophosphate",0.0845406697,1,1,1,1,0,"KIRC.Tumor.less"
"2-docosahexaenoylglycerophosphocholine*",0.1864058814,1,1,1,0,1,"KIRC.Normal.greater"
"2-eicosatrienoylglycerophosphocholine*",0.0850048646,1,1,1,1,0,"KIRC.Tumor.less"
"2-hydroxyhippurate (salicylurate)",0.18262806,1,1,1,0,1,"PRADLODA.Normal.greater"
"2-isopropylmalate",0.1017763218,1,1,1,0,1,"KIRC.Normal.less"
"2-oleoylglycerophosphoserine*",0.0266370116,1,1,1,1,0,"KIRC.Tumor.less"
"3,4-dihydroxyphenethyleneglycol",1,1,1,1,0,1,"KIRC.Normal.greater"
"3-hydroxydecanoate",0.2799504236,1,1,1,0,1,"KIRC.Normal.greater"
"3-hydroxyhippurate",1,1,1,1,0,1,"KIRC.Normal.less"
"3-hydroxyoctanoate",0.2388431101,1,1,1,1,0,"KIRC.Tumor.less"
"5-aminovalerate",0.1540654761,1,1,1,1,0,"KIRC.Tumor.greater"
"5-hete",0.078818208,1,1,1,0,1,"KIRC.Normal.greater"
"5-oxoete",0.154704598,1,1,1,0,1,"KIRC.Normal.greater"
"ac-ser-asp-lys-pro-oh",0.0942535826,1,1,1,1,0,"KIRC.Tumor.less"
"adenylosuccinate",0.0323003883,1,1,1,0,1,"KIRC.Normal.greater"
"alanylglycine",0.013901043,1,1,1,1,0,"KIRC.Tumor.less"
"alanylthreonine",0.064940851,1,1,1,1,0,"KIRC.Tumor.less"
"alanyltryptophan",0.1973814808,1,1,1,0,1,"KIRC.Normal.less"
"alanylvaline",0.07035833,1,1,1,1,0,"KIRC.Tumor.less"
"alpha-glutamylglutamate",0.3123491141,1,1,1,1,0,"KIRC.Tumor.less"
"anserine",0.1464159685,1,0.8515584435,1,1,0,"PRADLODA.Tumor.less"
"arginylleucine",0.0466414421,1,1,1,0,1,"KIRC.Normal.less"
"aspartate-glutamate",0.0275134119,1,1,1,1,0,"KIRC.Tumor.less"
"aspartyltryptophan",0.0091982334,1,1,1,1,0,"KIRC.Tumor.less"
"aspartylvaline",0.0297208461,1,1,1,1,0,"KIRC.Tumor.less"
"cholate",1,1,1,1,0,1,"KIRC.Normal.greater"
"cortisone",0.153545632,1,1,1,1,0,"KIRC.Tumor.less"
"cytidine-3'-monophosphate (3'-cmp)",0.0603824623,1,1,1,1,0,"KIRC.Tumor.less"
"cytosine-2',3'-cyclic monophosphate",0.07035833,1,1,1,1,0,"KIRC.Tumor.less"
"glucarate (saccharate)",0.1184809653,1,1,1,0,1,"KIRC.Normal.less"
"glucose 1-phosphate",1,1,1,1,1,0,"KIRC.Tumor.greater"
"glycylmethionine",0.0850048646,1,1,1,1,0,"KIRC.Tumor.less"
"glycylthreonine",0.0201018892,1,1,1,1,0,"KIRC.Tumor.less"
"glycyltryptophan",0.07035833,1,1,1,1,0,"KIRC.Tumor.less"
"gulono-1,4-lactone",0.07035833,1,1,1,0,1,"KIRC.Normal.less"
"histidylphenylalanine",0.0982325752,1,1,1,0,1,"KIRC.Normal.less"
"isoleucylalanine",0.0447320469,1,1,1,1,0,"KIRC.Tumor.less"
"isoleucylarginine",0.1201521912,1,1,1,1,0,"KIRC.Tumor.less"
"isoleucylglutamate",0.0575761729,1,1,1,1,0,"KIRC.Tumor.less"
"isoleucylglycine",0.0168113633,1,1,1,1,0,"KIRC.Tumor.less"
"isoleucylhistidine",0.2400134093,1,1,1,1,0,"KIRC.Tumor.less"
"isoleucylphenylalanine",0.0707902361,1,1,1,1,0,"KIRC.Tumor.less"
"isoleucyltryptophan",0.0191114986,1,1,1,1,0,"KIRC.Tumor.less"
"isoleucyltyrosine",0.0742449723,1,1,1,0,1,"KIRC.Normal.less"
"isoleucylvaline",0.118161927,1,1,1,1,0,"KIRC.Tumor.less"
"leucylasparagine",0.1010849878,1,1,1,1,0,"KIRC.Tumor.less"
"leucylglutamate",0.0808135762,1,1,1,1,0,"KIRC.Tumor.less"
"leucylglycine",0.0887903028,1,1,1,1,0,"KIRC.Tumor.less"
"lysylleucine",0.1184809653,1,1,1,1,0,"KIRC.Tumor.less"
"methionylglutamate",0.0236053301,1,1,1,1,0,"KIRC.Tumor.less"
"methionylphenylalanine",0.2898894275,1,1,1,0,1,"KIRC.Normal.greater"
"methylglutaroylcarnitine",0.2215007836,1,1,1,1,0,"KIRC.Tumor.greater"
"myristoylcarnitine",0.4366053299,1,1,1,1,0,"KIRC.Tumor.less"
"n1-methyl-2-pyridone-5-carboxamide",0.0981727254,1,1,1,0,1,"KIRC.Normal.less"
"n2-acetyllysine",0.0957386622,1,1,1,0,1,"KIRC.Normal.greater"
"n2-methylguanosine",0.0363386431,1,1,1,1,0,"KIRC.Tumor.less"
"n6-carbamoylthreonyladenosine",0.0236496564,1,1,1,1,0,"KIRC.Tumor.less"
"n-acetylphenylalanine",0.1624795157,1,1,1,0,1,"KIRC.Normal.greater"
"n-acetylvaline",0.4327054534,1,1,1,1,0,"KIRC.Tumor.less"
"phenol red",0.2172859399,1,1,1,0,1,"BRCA.Normal.less"
"phenylalanylleucine",0.0166433292,1,1,1,0,1,"KIRC.Normal.less"
"phenylalanylmethionine",0.0667607095,1,1,1,0,1,"KIRC.Normal.less"
"phenylalanyltryptophan",0.0822694879,1,1,1,0,1,"KIRC.Normal.less"
"phenylalanyltyrosine",0.0794191456,1,1,1,1,0,"KIRC.Tumor.less"
"pregnen-diol disulfate*",0.0096500696,1,1,1,0,1,"KIRC.Normal.less"
"prolylglycine",0.1178495009,1,1,1,1,0,"KIRC.Tumor.less"
"prolylmethionine",0.1973814808,1,1,1,1,0,"KIRC.Tumor.less"
"serylisoleucine*",0.0723916604,1,1,1,1,0,"KIRC.Tumor.less"
"serylphenyalanine",0.07035833,1,1,1,0,1,"KIRC.Normal.less"
"serylvaline",0.2127669525,1,1,1,1,0,"KIRC.Tumor.less"
"sorbitol 6-phosphate",0.3620826691,1,1,1,1,0,"KIRC.Tumor.less"
"tartarate",0.1327536855,1,1,1,1,0,"KIRC.Tumor.less"
"testosterone",0.0557044937,1,1,1,1,0,"KIRC.Tumor.greater"
"threitol",0.2766422319,1,1,1,0,1,"KIRC.Normal.greater"
"threonylglutamate",0.0480075469,1,1,1,1,0,"KIRC.Tumor.less"
"threonylleucine",0.1279262559,1,1,1,1,0,"KIRC.Tumor.less"
"threonylvaline",1,1,1,1,1,0,"KIRC.Tumor.less"
"tyrosylphenylalanine",0.2388431101,1,1,1,0,1,"KIRC.Normal.less"
"valylalanine",0.07035833,1,1,1,1,0,"KIRC.Tumor.less"
"valylaspartate",0.0339293874,1,1,1,1,0,"KIRC.Tumor.less"
"valylglutamate",0.029855472,1,1,1,1,0,"KIRC.Tumor.less"
"valylglutamine",0.1643403097,1,1,1,1,0,"KIRC.Tumor.less"
"valylglycine",0.0191878885,1,1,1,1,0,"KIRC.Tumor.less"
"valylhistidine",0.1688134567,1,1,1,1,0,"KIRC.Tumor.less"
"valylleucine",0.0942535826,1,1,1,1,0,"KIRC.Tumor.less"
"valyllysine",0.0514977821,1,1,1,1,0,"KIRC.Tumor.less"
"valylmethionine",0.07035833,1,1,1,1,0,"KIRC.Tumor.less"
"valylserine",0.0305777728,1,1,1,1,0,"KIRC.Tumor.less"
"valylvaline",0.0342649757,1,1,1,1,0,"KIRC.Tumor.less"
"vanillylmandelate (vma)",1,1,1,1,0,1,"KIRC.Normal.less"
"vgahageygaealer*",1,1,1,1,1,0,"KIRC.Tumor.greater"
"1-methylnicotinamide",0.1201521912,1,1,1,1,0,"BRCA.Tumor.less"
"2-palmitoleoylglycerophosphoethanolamine*",1,1,1,1,1,0,"BRCA.Tumor.less"
"4-hydroxyphenylpyruvate",1,1,1,1,1,0,"BRCA.Tumor.less"
"adenosine 5'diphosphoribose",0.1340675109,1,1,1,0,1,"PRADLODA.Normal.less"
"gamma-glutamylmethionine*",0.2037320697,1,1,1,1,0,"BRCA.Tumor.less"
"gamma-glutamyltyrosine",0.0193363226,1,1,1,1,0,"BRCA.Tumor.less"
"glycochenodeoxycholate",0.0942535826,1,1,1,0,1,"BRCA.Normal.greater"
"n-acetylmannosamine",1,1,1,1,1,0,"BRCA.Tumor.less"
"udp-glucuronate",1,1,1,1,1,0,"BRCA.Tumor.less"
"4-acetamidobutanoate",1,1,1,1,1,0,"LGG.Tumor.greater"
"mead acid (20:3n9)",1,1,1,1,1,0,"LGG.Tumor.greater"
"1-palmitoleoyl-gpc* (16:1)*",1,1,1,1,1,0,"LGG.Tumor.greater"
"1-palmitoyl-gpi* (16:0)*",1,1,1,1,1,0,"LGG.Tumor.greater"
"1-stearoyl-gpi (18:0)",1,1,1,1,1,0,"LGG.Tumor.greater"
"2-myristoylglycerophosphoethanolamine*",1,1,1,1,1,0,"LGG.Tumor.greater"
"2-oleoyl-gpc* (18:1)*",1,1,1,1,1,0,"LGG.Tumor.greater"
"2-oleoyl-gpe* (18:1)*",1,1,1,1,1,0,"LGG.Tumor.greater"
