"","KIRC","BLCA","BRCA","BRCATang","OV","PAAD","PAADHussain1","PAADHussain2","PRAD","PRADLODA"
"maltose",1,NA,1,1,0,NA,0,0,NA,-1
"maltotetraose",1,NA,1,1,1,NA,0,0,NA,0
"maltotriose",1,NA,1,1,0,NA,0,1,NA,0
"mannose",1,NA,1,0,0,NA,0,-1,0,0
"mannose-6-phosphate",1,NA,1,1,0,NA,0,0,0,1
"margarate (17:0)",1,NA,1,0,0,NA,-1,-1,1,0
"metformin",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methionine",-1,-1,1,1,0,1,0,0,1,0
"methionylalanine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methionylasparagine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methionylaspartate",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methionylglutamate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methionylglycine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methionylleucine",1,NA,NA,NA,NA,NA,NA,1,NA,NA
"methionylphenylalanine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methyl-alpha-glucopyranoside",1,NA,NA,1,1,NA,NA,NA,NA,0
"methylglutaroylcarnitine",-1,NA,NA,NA,0,NA,0,0,NA,NA
"methylphosphate",-1,NA,1,1,0,NA,-1,NA,NA,0
"metoprolol",0,NA,0,NA,0,NA,0,0,NA,NA
"metoprolol acid metabolite*",0,NA,0,NA,0,NA,0,0,NA,NA
"myo-inositol",-1,NA,1,1,0,NA,0,-1,-1,-1
"myristate (14:0)",0,NA,1,-1,1,NA,-1,-1,1,0
"myristoleate (14:1n5)",-1,NA,1,0,0,NA,-1,-1,NA,NA
"myristoylcarnitine",1,NA,NA,NA,0,NA,NA,NA,NA,NA
"n1-methyl-2-pyridone-5-carboxamide",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n1-methyladenosine",-1,NA,1,1,0,0,0,0,NA,0
"n1-methylguanosine",-1,NA,1,1,NA,NA,0,0,NA,0
"n2,n2-dimethylguanosine",-1,NA,0,NA,0,NA,0,0,NA,NA
"n2-acetyllysine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n2-methylguanosine",-1,NA,NA,NA,0,NA,0,NA,NA,NA
"n6-acetyllysine",-1,NA,1,1,0,0,-1,0,NA,0
"n6-carbamoylthreonyladenosine",-1,NA,NA,NA,0,NA,NA,NA,NA,NA
"n-6-trimethyllysine",-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"n-acetylalanine",-1,NA,1,1,0,0,0,0,NA,0
"n-acetylarginine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n-acetylasparagine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n-acetylaspartate (naa)",-1,NA,1,1,1,NA,0,-1,1,0
"n-acetyl-aspartyl-glutamate (naag)",-1,NA,1,1,1,NA,0,-1,NA,0
"n-acetylglucosamine",0,NA,1,NA,NA,NA,0,0,1,0
"n-acetylglucosamine 6-phosphate",1,NA,1,1,0,NA,NA,0,NA,NA
"n-acetylglutamine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n-acetylglycine",0,NA,NA,1,1,NA,NA,0,NA,NA
"n-acetylisoleucine",1,NA,0,NA,NA,NA,0,NA,NA,NA
"n-acetylleucine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n-acetylmethionine",1,NA,1,1,0,NA,0,0,NA,0
"n-acetylneuraminate",1,NA,1,1,-1,NA,0,0,0,0
"n-acetylornithine",0,NA,1,0,NA,0,NA,NA,NA,NA
"n-acetylphenylalanine",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n-acetylserine",-1,NA,1,1,0,NA,-1,0,NA,0
"n-acetylthreonine",1,NA,1,1,1,NA,0,0,NA,-1
"n-acetyltryptophan",0,NA,0,NA,0,NA,0,NA,NA,0
"n-acetyltyrosine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n-acetylvaline",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"naproxen",0,NA,0,NA,NA,NA,NA,NA,NA,NA
"nervonate (24:1n9)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nicotinamide",-1,NA,1,1,0,0,0,0,0,0
"nicotinamide adenine dinucleotide (nad+)",-1,NA,1,1,0,0,0,-1,1,0
"nicotinamide adenine dinucleotide reduced (nadh)",0,NA,NA,1,NA,0,NA,NA,NA,0
"nicotinamide ribonucleotide (nmn)",-1,NA,NA,0,NA,NA,-1,-1,0,0
"nicotinamide riboside*",0,NA,NA,NA,0,NA,NA,NA,NA,1
"nicotinate",0,NA,0,NA,NA,NA,NA,NA,NA,NA
"nicotinate adenine dinucleotide (naad+)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"n-methylglutamate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"octanoylcarnitine",1,NA,1,NA,1,NA,1,1,NA,NA
"oleate (18:1n9)",1,1,1,0,0,NA,0,-1,1,0
"oleoylcarnitine",1,NA,1,0,0,NA,0,0,NA,0
"ophthalmate",1,NA,1,1,0,NA,0,1,NA,-1
"ornithine",0,NA,1,0,0,0,-1,-1,0,0
"p-acetamidophenylglucuronide",0,NA,0,0,0,NA,0,NA,NA,0
"palmitate (16:0)",1,0,1,0,0,NA,-1,-1,1,0
"palmitoleate (16:1n7)",1,NA,1,0,0,NA,-1,-1,1,0
"palmitoyl sphingomyelin",0,NA,NA,1,NA,NA,0,0,NA,-1
"palmitoylcarnitine",1,NA,1,0,0,NA,0,0,NA,NA
"pantothenate",-1,0,1,1,0,0,0,-1,1,0
"paroxetine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"p-cresol sulfate",-1,NA,1,0,0,NA,0,0,NA,0
"pelargonate (9:0)",-1,NA,NA,-1,0,NA,-1,-1,NA,NA
"penicillin g",0,NA,NA,NA,NA,NA,0,NA,NA,0
"pentadecanoate (15:0)",1,NA,NA,0,0,NA,-1,NA,NA,NA
"phenol red",0,NA,0,NA,NA,NA,0,NA,NA,NA
"phenol sulfate",-1,NA,1,0,0,NA,0,0,NA,0
"phenylacetylglutamine",-1,NA,1,0,0,NA,0,0,NA,0
"phenylalanine",-1,0,1,1,0,0,0,0,1,0
"phenylalanylalanine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylarginine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylaspartate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylglutamate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylglycine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylleucine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"phenylalanylmethionine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylphenylalanine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"phenylalanylproline",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylserine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"phenylalanyltryptophan",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanyltyrosine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenylalanylvaline",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phosphate",-1,NA,1,1,0,NA,-1,0,NA,0
"phosphoenolpyruvate (pep)",-1,NA,1,NA,0,0,NA,NA,0,NA
"phosphoethanolamine",-1,NA,1,1,0,NA,0,0,0,0
"phytosphingosine",0,NA,1,0,NA,NA,NA,NA,NA,NA
"pipecolate",0,1,1,0,0,NA,0,1,0,0
"piperine",0,NA,NA,0,NA,NA,NA,NA,NA,0
"pivaloylcarnitine",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pregnanediol-3-glucuronide",-1,NA,NA,0,NA,NA,NA,NA,NA,NA
"pregnen-diol disulfate*",-1,NA,0,NA,0,NA,0,0,NA,NA
"pro-hydroxy-pro",-1,NA,NA,1,0,NA,0,1,NA,NA
"proline",-1,0,1,1,0,0,-1,0,1,1
"prolylglycine",-1,NA,NA,NA,NA,NA,NA,0,NA,NA
"prolylmethionine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"propionylcarnitine",-1,NA,1,1,1,NA,-1,0,NA,0
"prostaglandin a2",-1,NA,NA,NA,NA,NA,NA,1,NA,NA
"prostaglandin e2",0,NA,NA,NA,NA,NA,0,1,NA,NA
"pseudouridine",-1,NA,1,0,0,NA,0,0,NA,0
"putrescine",1,NA,1,1,0,NA,0,0,-1,0
"pyridoxal",-1,NA,NA,NA,NA,NA,0,NA,NA,NA
"pyridoxate",-1,NA,0,0,0,NA,0,NA,NA,-1
"pyroglutamine*",1,NA,1,0,1,NA,0,1,NA,0
"pyrophosphate (ppi)",-1,NA,1,0,0,NA,NA,NA,1,NA
"quebrachitol",0,NA,NA,0,NA,NA,NA,NA,NA,NA
"quinate",-1,NA,NA,NA,0,NA,NA,NA,NA,0
"quinidine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quinolinate",1,NA,1,NA,0,NA,NA,NA,1,-1
"ranitidine",-1,NA,NA,0,NA,NA,0,NA,NA,NA
"ribitol",1,NA,1,1,0,NA,NA,0,NA,1
"riboflavin (vitamin b2)",-1,NA,1,NA,0,NA,0,0,1,0
"ribose",0,NA,1,1,0,NA,0,0,0,0
"ribulose",1,NA,1,1,0,NA,NA,0,NA,0
"saccharopine",1,NA,NA,NA,NA,NA,NA,NA,NA,0
"s-adenosylhomocysteine (sah)",1,NA,1,1,0,0,0,0,1,0
"s-adenosylmethionine (sam)",0,0,1,NA,NA,0,NA,NA,1,NA
"salicylate",0,NA,0,NA,NA,NA,NA,NA,NA,NA
"sarcosine (n-methylglycine)",1,0,1,NA,0,NA,0,NA,1,0
"scyllo-inositol",-1,NA,1,1,0,NA,0,-1,NA,0
"sedoheptulose-7-phosphate",1,NA,1,1,NA,NA,NA,NA,NA,NA
"serine",-1,1,1,1,0,-1,0,0,0,0
"serylisoleucine*",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"serylleucine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"serylphenyalanine",1,NA,NA,1,NA,NA,NA,1,NA,NA
"serylvaline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s-methylcysteine",-1,NA,NA,1,NA,0,NA,0,NA,NA
"sorbitol",1,NA,1,0,0,NA,NA,0,1,0
"sorbitol 6-phosphate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"spermidine",1,1,1,1,0,NA,0,0,0,0
"spermine",1,1,0,NA,0,NA,0,0,-1,0
"sphinganine",1,NA,1,0,0,NA,0,1,NA,NA
"sphingosine",1,NA,1,1,0,NA,0,0,NA,0
"squalene",-1,NA,0,NA,1,NA,0,0,NA,NA
"stachydrine",1,NA,1,0,0,NA,0,0,NA,NA
"stearate (18:0)",1,NA,1,0,0,NA,-1,-1,NA,0
"stearidonate (18:4n3)",1,NA,1,0,NA,NA,-1,NA,NA,NA
"stearoylcarnitine",0,NA,1,1,0,NA,0,0,NA,0
"streptomycin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"succinate",1,NA,1,1,0,0,0,-1,0,0
"succinylcarnitine",-1,NA,1,1,0,NA,-1,-1,NA,0
"tartarate",-1,NA,NA,NA,NA,NA,NA,NA,0,NA
"taurine",0,1,1,1,-1,1,1,1,-1,-1
"testosterone",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"theobromine",-1,NA,NA,0,NA,NA,NA,NA,NA,0
"threitol",-1,NA,NA,NA,0,NA,NA,0,NA,NA
"threonate",0,NA,1,0,-1,NA,NA,NA,NA,NA
"threonine",-1,-1,1,1,0,0,0,0,1,0
"threonylglutamate",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"threonylleucine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"threonylmethionine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"threonylphenylalanine",1,NA,NA,0,NA,NA,0,0,NA,0
"threonylvaline",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thymidine",-1,NA,NA,NA,NA,NA,-1,NA,NA,NA
"thymine",0,0,1,0,1,0,0,0,1,NA
"trans-4-hydroxyproline",-1,NA,1,NA,1,0,0,1,1,0
"trans-urocanate",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"triethyleneglycol",0,NA,NA,0,NA,NA,NA,NA,NA,0
"trigonelline (n'-methylnicotinate)",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tryptophan",-1,0,1,1,0,1,0,0,1,0
"tryptophan betaine",1,NA,1,0,0,NA,0,0,NA,0
"tryptophylasparagine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tryptophylglutamate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tryptophylleucine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosine",-1,0,1,1,0,0,0,0,1,0
"tyrosylalanine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosylglutamine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosylglycine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosylhistidine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosylleucine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"tyrosyllysine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosylphenylalanine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosyltyrosine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tyrosylvaline",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"undecanedioate",1,NA,NA,0,0,NA,0,0,NA,NA
"uracil",-1,0,1,1,0,0,0,0,1,1
"urate",-1,NA,1,-1,0,1,0,1,0,-1
"urea",-1,NA,1,1,-1,0,0,0,1,0
"uridine",-1,NA,1,1,0,0,-1,-1,0,0
"uridine monophosphate (5' or 3')",1,NA,NA,1,NA,NA,NA,0,NA,NA
"valerylcarnitine",-1,NA,1,1,1,NA,0,0,NA,0
"valine",-1,0,1,1,0,1,0,0,1,0
"valylalanine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valylarginine",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valylasparagine",0,NA,NA,1,NA,NA,NA,NA,NA,NA
"valylaspartate",0,NA,NA,NA,NA,NA,NA,1,NA,NA
"valylglutamate",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valylglutamine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valylglycine",-1,NA,NA,1,NA,NA,NA,NA,NA,NA
"valylhistidine",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valylisoleucine",0,NA,NA,NA,NA,NA,NA,0,NA,NA
"valylleucine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"valyllysine",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"valylmethionine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"valylphenylalanine",1,NA,NA,0,NA,NA,NA,1,NA,NA
"valylserine",1,NA,NA,1,NA,NA,NA,0,NA,NA
"valyltryptophan",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"valyltyrosine",1,NA,NA,NA,NA,NA,NA,0,NA,NA
"valylvaline",0,NA,NA,1,NA,NA,NA,0,NA,NA
"vanillylmandelate (vma)",-1,NA,NA,NA,0,NA,NA,NA,NA,NA
"venlafaxine",0,NA,NA,NA,NA,NA,0,NA,NA,NA
"vgahageygaealer*",1,NA,NA,0,NA,NA,0,0,NA,NA
"xanthine",-1,0,1,0,1,1,0,0,1,0
"xanthosine",-1,NA,1,0,0,1,0,0,1,0
"xylitol",-1,NA,1,1,0,NA,NA,0,0,1
"xylonate",0,NA,NA,NA,0,NA,NA,0,NA,NA
"xylose",-1,NA,NA,NA,NA,NA,NA,0,NA,NA
"xylulose",1,NA,1,0,0,NA,NA,1,NA,0
"1,7-dimethylxanthine",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"1-methyl-l-tryptophan",NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
"2-hydroxy caprylic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"3-deoxyguanosine",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxy-2-methylvalerate",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxy-3-methyl-glutaric acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxykynurenine",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"4-hydroxy phenyllacticacid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"5-hydroxyindoleaceticacid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"5-hydroxytryptophan",NA,0,NA,NA,NA,NA,NA,NA,0,NA
"allose",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"alpha-hydroxyisobutyric acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"aminobutyric acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"b-hydroxyisovaleric acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"caffeine",NA,0,NA,NA,0,NA,NA,0,0,0
"cinnamic acid",NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
"citramalic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"coumarin",NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
"dl-3-phenyllactic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"dl-indole-3-lactic acid (3-indolelactic acid)",NA,-1,NA,NA,NA,NA,NA,NA,NA,NA
"glutamine or lysine or glutamic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"glyceraldehyde-3-phosphate",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"isobutyryl carnitine",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ketoleucine",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"kynurenic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"n12-acetylthermospermidine",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"n1-acetylspermine",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"nonanedioic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"norepinephrine (noradrenaline)",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"o-succinyl-l-homoserine",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"phthalic acid mono-2-ethylhexyl ester",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"pyroglutamic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"suberic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"theophylline",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"trans-4 hydroxytamoxifen",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"urocanic acid",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"vidarabine",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"1-methylnicotinamide",NA,NA,1,NA,NA,0,NA,NA,NA,NA
"2'-o-methylguanosine",NA,NA,1,NA,NA,NA,0,NA,NA,NA
"2-hydroxystearate",NA,NA,1,0,0,NA,NA,NA,NA,0
"2-methylmalonyl carnitine",NA,NA,0,1,NA,NA,NA,NA,NA,NA
"2-palmitoleoylglycerophosphoethanolamine*",NA,NA,1,NA,0,NA,NA,0,NA,NA
"3-methyl-2-oxobutyrate",NA,NA,1,NA,NA,NA,0,NA,NA,NA
"3-phenylpropionate (hydrocinnamate)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"4-hydroxyphenylpyruvate",NA,NA,1,0,1,NA,0,0,NA,NA
"4-octenedioate",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5alpha-pregnan-3beta,20alpha-diol disulfate",NA,NA,0,NA,0,NA,NA,NA,NA,NA
"adenosine 5'diphosphoribose",NA,NA,0,0,NA,NA,NA,0,NA,0
"adsgegdfxaegggvr*",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"alanylhistidine",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"alpha-ketoglutarate",NA,NA,0,NA,0,0,0,NA,0,0
"andro steroid monosulfate 1*",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"andro steroid monosulfate 2*",NA,NA,0,NA,0,NA,NA,NA,NA,NA
"behenate (22:0)",NA,NA,1,NA,1,NA,NA,NA,NA,NA
"conjugated linoleate (18:2n7; 9z,11e)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"cystathionine",NA,NA,1,1,NA,-1,NA,NA,1,NA
"dehydroisoandrosterone sulfate (dhea-s)",NA,NA,0,-1,NA,NA,NA,NA,NA,0
"desmethylnaproxen sulfate*",NA,NA,0,NA,NA,NA,NA,NA,NA,-1
"epiandrosterone sulfate",NA,NA,0,-1,NA,NA,NA,NA,NA,NA
"fluoxitine",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"folate",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"gamma-glutamylalanine",NA,NA,1,NA,NA,NA,NA,NA,NA,0
"gamma-glutamylmethionine*",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"gamma-glutamyltyrosine",NA,NA,1,1,0,NA,0,0,NA,NA
"glycochenodeoxycholate",NA,NA,0,-1,0,NA,0,0,NA,NA
"glycocholate",NA,NA,0,-1,0,NA,0,0,1,NA
"glycodeoxycholate",NA,NA,0,NA,NA,NA,0,0,NA,NA
"homocarnosine",NA,NA,0,NA,NA,NA,NA,NA,NA,-1
"hydroxyisovaleroyl carnitine",NA,NA,1,1,NA,NA,NA,NA,NA,0
"ibuprofen",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate",NA,NA,1,NA,0,NA,0,NA,NA,0
"malonate (propanedioate)",NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"mannitol",NA,NA,1,0,0,NA,0,0,NA,0
"methionine sulfoxide",NA,NA,-1,NA,NA,NA,0,0,NA,NA
"methyl-4-hydroxybenzoate",NA,NA,0,0,NA,NA,NA,NA,NA,NA
"n-acetylmannosamine",NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"n-ethylglycinexylidide*",NA,NA,0,0,0,NA,0,0,NA,0
"n-formylmethionine",NA,NA,1,0,0,NA,NA,NA,NA,NA
"phenylacetylglycine",NA,NA,0,NA,NA,NA,0,NA,NA,0
"phenyllactate (pla)",NA,NA,1,1,1,NA,0,NA,NA,NA
"phenylpyruvate",NA,NA,1,0,1,NA,NA,NA,NA,NA
"pregn steroid monosulfate*",NA,NA,0,-1,0,NA,NA,NA,NA,NA
"pyridoxine (vitamin b6)",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"pyroglutamylvaline",NA,NA,0,NA,NA,NA,0,NA,NA,-1
"pyruvate",NA,NA,0,NA,0,0,1,NA,NA,0
"sebacate (decanedioate)",NA,NA,0,0,NA,NA,0,0,NA,-1
"stearoyl sphingomyelin",NA,NA,1,0,NA,NA,-1,-1,NA,-1
"suberylglycine",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"taurochenodeoxycholate",NA,NA,0,NA,0,NA,0,0,NA,NA
"taurocholate",NA,NA,0,NA,0,NA,0,0,NA,NA
"taurolithocholate 3-sulfate",NA,NA,0,NA,0,NA,NA,NA,NA,NA
"thymol sulfate",NA,NA,0,NA,0,NA,NA,NA,NA,NA
"udp-glucuronate",NA,NA,1,1,NA,0,NA,0,NA,NA
"ursodeoxycholate",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1-eicosatrienoylglycerophosphocholine*",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1-octadecanol",NA,NA,NA,0,0,NA,NA,NA,NA,NA
"13-methylmyristic acid",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"2-arachidonoylglycerophosphoinositol*",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"2-oleoylglycerophosphoinositol*",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"3-phosphoglycerate (isobar with 2-phosphoglycerate)",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"4-acetamidobutanoate",NA,NA,NA,0,NA,NA,0,NA,1,NA
"4-ethylphenylsulfate",NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"4-nitrophenol",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"acetyl coa",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"adenosine 3',5'-cyclic monophosphate (camp)",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"adenosine 5'-diphosphate (adp)",NA,NA,NA,1,NA,0,NA,NA,NA,-1
"aica ribonucleotide",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"beta-hydroxyisovalerate",NA,NA,NA,0,0,NA,NA,NA,NA,0
"carnosine",NA,NA,NA,0,NA,NA,NA,NA,NA,0
"cis-urocanate",NA,NA,NA,-1,NA,NA,NA,NA,NA,NA
"coenzyme a",NA,NA,NA,1,NA,NA,NA,NA,NA,0
"coproporphyrin i",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"cytidine-5'-diphosphoethanolamine",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"delta-tocopherol",NA,NA,NA,0,1,NA,NA,NA,NA,NA
"deoxycholate",NA,NA,NA,1,NA,NA,NA,NA,NA,0
"gamma-glutamylmethionine",NA,NA,NA,1,NA,NA,NA,NA,NA,0
"glutaroyl carnitine",NA,NA,NA,0,0,NA,NA,NA,NA,0
"heptaethylene glycol",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"heptanoate (7:0)",NA,NA,NA,-1,0,NA,0,0,NA,NA
"hexaethylene glycol",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"inosine 5'-monophosphate (imp)",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"isobar: udp-acetylglucosamine, udp-acetylgalactosamine",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"isoleucylglutamine",NA,NA,NA,1,NA,NA,NA,0,NA,NA
"lathosterol",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"mead acid (20:3n9)",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"methionylthreonine",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"methionylvaline",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"nonadecanoate (19:0)",NA,NA,NA,0,0,NA,-1,-1,NA,1
"paraxanthine",NA,NA,NA,0,NA,NA,NA,0,0,0
"pentaethylene glycol",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"phenolphthalein beta-d-glucuronide",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"pseudoephedrine",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"s-lactoylglutathione",NA,NA,NA,0,NA,NA,NA,0,NA,NA
"s-methylglutathione",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"tetraethylene glycol",NA,NA,NA,0,NA,NA,NA,0,NA,NA
"thiamin diphosphate",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"thymidine 5'-monophosphate",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"tiglyl carnitine",NA,NA,NA,1,NA,NA,0,NA,NA,0
"udp-glucose (isobar with udp-galactose)",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"uridine 5'-triphosphate (utp)",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"valerate",NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"1-arachidonoyl-gpi* (20:4)*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
