	MetType	SubMetType	PubChem CID	KEGG	Human Metabolome Database	ChEBI
linoleate (18:2n6)	Lipid	Essential fatty acid	5280450	C01595	HMDB00673	CHEBI:17351
linolenate [alpha or gamma; (18:3n3 or 6)]	Lipid	Essential fatty acid	5280934	C06427	HMDB01388	CHEBI:27432
lysine	Amino acid	Lysine metabolism	5962	C00047|D02304	HMDB00182	CHEBI:18019
malate	Energy	Krebs cycle	222656	C00149	HMDB00156	CHEBI:30797
maltohexaose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	5288409|439606	C01936	HMDB12253	CHEBI:61953
maltopentaose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	3710145|440949|13489094	C06218	HMDB12254	CHEBI:61952
maltose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	439341|439186|10991489	C00208|C00897|D00044	HMDB00163	CHEBI:18167|CHEBI:17306|CHEBI:47937
maltotetraose	Carbohydrate	Oligosaccharide	446495|439639	C02052	HMDB01296	CHEBI:61988
maltotriose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	439586	C01835	HMDB01262	nan
mannitol	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	453|6251	C00392|D00062	HMDB00765	CHEBI:16899
mannose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	161658|18950	C00159	HMDB00169	CHEBI:37675|CHEBI:4208
mannose-6-phosphate	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	65127|439198	C00275	HMDB01078	CHEBI:48066|CHEBI:49728
margarate (17:0)	Lipid	Long chain fatty acid	10465	nan	HMDB02259	CHEBI:32365
meprobamate*						
methionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	6137|6992087	C00073|D00019	HMDB00696	CHEBI:16643|CHEBI:57844
methyl-alpha-glucopyranoside	Xenobiotics	Chemical	64947	C02603	nan	CHEBI:320061
methylglutaroylcarnitine						
methylphosphate	Nucleotide	Purine and pyrimidine metabolism	13130	nan	nan	CHEBI:340824
metoprolol	Xenobiotics	Drug	4171	C07202|D02358	HMDB01932	CHEBI:6904
metoprolol acid metabolite*	Xenobiotics	Drug	62936	nan	nan	nan
myo-inositol	Lipid	Inositol metabolism	nan	C00137|D08079	HMDB00211	CHEBI:17268
myristate (14:0)	Lipid	Long chain fatty acid	11005	C06424	HMDB00806	CHEBI:28875
myristoleate (14:1n5)	Lipid	Long chain fatty acid	5281119	C08322	HMDB02000	CHEBI:27781
myristoylcarnitine	Lipid	Carnitine metabolism	6426854	nan	nan	CHEBI:73061
N-acetyl-aspartyl-glutamate (NAAG)	Amino acid	Glutamate metabolism	5255|71120	C12270	HMDB01067	nan
N-acetylalanine	Amino acid	Alanine and aspartate metabolism	88064	C02847	HMDB00766	CHEBI:40992
N-acetylaspartate (NAA)	Amino acid	Alanine and aspartate metabolism	65065	C01042	HMDB00812	CHEBI:21547
N-acetylglucosamine 6-phosphate	Carbohydrate	Aminosugars metabolism	10040501|440996|439219	C00357	HMDB02817|HMDB01062	CHEBI:50565|CHEBI:15784
N-acetylglutamate						
N-acetylglycine	Amino acid	"Glycine, serine and threonine metabolism"	10972	nan	HMDB00532	CHEBI:21501|CHEBI:40410
N-acetylmethionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	448580|6180	C02712	HMDB11745	CHEBI:21557
N-acetylneuraminate	Carbohydrate	Aminosugars metabolism	439197|445063	C00270|C19910	HMDB00230	CHEBI:17012|CHEBI:45744
N-acetylputrescine						
N-acetylserine	Amino acid	"Glycine, serine and threonine metabolism"	65249	nan	HMDB02931	nan
N-acetylthreonine	Amino acid	"Glycine, serine and threonine metabolism"	4651717|439406	C01118	nan	CHEBI:16160
N-acetyltryptophan	Amino acid	Tryptophan metabolism	700653|439917	C03137	nan	CHEBI:74640|CHEBI:16734
N-ethylglycinexylidide*						
N-formylmethionine						
N1-methyladenosine	Nucleotide	"Purine metabolism, adenine containing"	5460178|27476	C02494	HMDB03331	CHEBI:72817|CHEBI:16020
"N2,N2-dimethylguanosine"	Nucleotide	"Purine metabolism, guanine containing"	92919	nan	HMDB04824	CHEBI:19289
N2-methylguanosine	Nucleotide	"Purine metabolism, guanine containing"	3035422	nan	HMDB05862	CHEBI:19702
N6-acetyllysine	Amino acid	Lysine metabolism	6991978|92832	C02727	HMDB00206	CHEBI:17752|CHEBI:58260
N6-carbamoylthreonyladenosine	Nucleotide	"Purine metabolism, guanine containing"	nan	nan	nan	nan
nicotinamide	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	936	C00153|D00036	HMDB01406	CHEBI:17154
nicotinamide adenine dinucleotide (NAD+)	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	5893	C00003|D00002	HMDB00902	CHEBI:15846
nicotinamide riboside*	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	439924	C03150	HMDB00855	CHEBI:15927
nonadecanoate (19:0)						
o-cresol sulfate						
octanoylcarnitine	Lipid	Carnitine metabolism	123701	nan	nan	CHEBI:73039
ofloxacin						
oleate (18:1n9)	Lipid	Long chain fatty acid	445639	C00712|D02315	HMDB00207|HMDB00573	CHEBI:16196
oleoylcarnitine	Lipid	Carnitine metabolism	53477789	nan	HMDB05065	nan
ophthalmate	Amino acid	Glutathione metabolism	9817431|7018721	nan	HMDB05765	nan
ornithine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6262|71082	C00077|D08302|C00515	HMDB03374|HMDB00214	CHEBI:15729|CHEBI:16176
orotate						
oxamate						
p-acetamidophenylglucuronide	Xenobiotics	Drug	4022661|83944	nan	HMDB10316	CHEBI:32636
p-cresol sulfate	Amino acid	Phenylalanine & tyrosine metabolism	4615422|2879	C01468	HMDB01858	CHEBI:17847
palmitate (16:0)	Lipid	Long chain fatty acid	985	C00249|D05341	HMDB00220	CHEBI:15756
palmitoleate (16:1n7)	Lipid	Long chain fatty acid	445638	C08362	HMDB03229	CHEBI:28716
palmitoylcarnitine	Lipid	Carnitine metabolism	11953816	C02990	HMDB00222	nan
pantothenate	Cofactors and vitamins	Pantothenate and CoA metabolism	6613|988	C00864|D07413	HMDB00210	CHEBI:46905|CHEBI:7916
pelargonate (9:0)	Lipid	Medium chain fatty acid	5461016|8158	C01601	HMDB00847	CHEBI:32361|CHEBI:29019
pentadecanoate (15:0)	Lipid	Long chain fatty acid	13849	C16537	HMDB00826	CHEBI:42504
phenol sulfate	Amino acid	Phenylalanine & tyrosine metabolism	74426	C02180|C00850	nan	CHEBI:27905
phenylacetate						
phenylacetylglutamine	Amino acid	Phenylalanine & tyrosine metabolism	306137|92258	C04148	HMDB06344	CHEBI:8087|CHEBI:17884
phenylalanine	Amino acid	Phenylalanine & tyrosine metabolism	6925665|6140	C00079|D00021	HMDB00159	CHEBI:17295|CHEBI:58095
phenyllactate (PLA)	Amino acid	Phenylalanine & tyrosine metabolism	643327|3848	C05607	HMDB00779|HMDB00748	CHEBI:32978|CHEBI:25998
phenylpyruvate	Amino acid	Phenylalanine & tyrosine metabolism	997	C00166	HMDB00205	CHEBI:30851
phosphate	Energy	Oxidative phosphorylation	1061|1004|22486802	C00009|D05467	HMDB01429|HMDB02142	CHEBI:18367|CHEBI:26078|CHEBI:52641|CHEBI:7794
phosphoenolpyruvate (PEP)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	1005|58114173|59658623	C00074	HMDB00263	CHEBI:44897
phosphoethanolamine	Lipid	Glycerolipid metabolism	1015|5232324	C00346	HMDB00224	CHEBI:17553
pipecolate	Amino acid	Lysine metabolism	439227|6931663|25200477|849	C00408	HMDB00070|HMDB00716	CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
pregn steroid monosulfate*						
pregnen-diol disulfate*	Lipid	Sterol/Steroid	219833|3032822	C05484|D00189	HMDB04025	nan
pro-hydroxy-pro	Peptide	Dipeptide	11673055|11902892|11902893	nan	HMDB06695	CHEBI:74767
progesterone						
proline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	145742|6971047	C00148|D00035	HMDB00162	CHEBI:17203|CHEBI:60039
propionylcarnitine	Lipid	Fatty acid metabolism (also BCAA metabolism)	107738	C03017	HMDB00824	CHEBI:28867
pseudouridine	Nucleotide	"Pyrimidine metabolism, uracil containing"	15047	C02067	HMDB00767	CHEBI:17802
putrescine	Amino acid	Polyamine metabolism	1045	C00134|C02896	HMDB01414	CHEBI:17148
pyridoxate	Cofactors and vitamins	Vitamin B6 metabolism	6723	C00847	HMDB00017	CHEBI:17405
pyroglutamine*	Amino acid	Glutamate metabolism	134508	nan	nan	nan
pyrophosphate (PPi)	Energy	Oxidative phosphorylation	644102|1023|21961011	C00013	HMDB00250	CHEBI:16838|CHEBI:18361|CHEBI:29888
pyruvate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	1060	C00022	HMDB00243	CHEBI:32816
quinate	Xenobiotics	Food component/Plant	nan	C00296	HMDB03072	CHEBI:17521
quinolinate	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	1066	C03722	HMDB00232	CHEBI:16675
ribitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	nan	C00474	HMDB00508	CHEBI:15963
riboflavin (Vitamin B2)	Cofactors and vitamins	Riboflavin metabolism	493570	C00255|D00050	HMDB00244	CHEBI:17015
ribose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	5311110|5779	C00121	HMDB00283	CHEBI:47014|CHEBI:47013
ribulose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	79021|439203|151261|439204	C00309|C00310	HMDB00621|HMDB03371	CHEBI:17173
S-adenosylhomocysteine (SAH)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	25246222|439155	C00021	HMDB00939	CHEBI:16680|CHEBI:57856
saccharin						
sarcosine (N-Methylglycine)	Amino acid	"Glycine, serine and threonine metabolism"	7311726|1088	C00213	HMDB00271	CHEBI:15611|CHEBI:57433
scyllo-inositol	Lipid	Inositol metabolism	nan	C06153	HMDB06088	CHEBI:10642|CHEBI:23927
serine	Amino acid	"Glycine, serine and threonine metabolism"	5951|6857581|6857549|71077	C00065|D00016|C00740	HMDB03406|HMDB00187	CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
sorbitol	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	107428|5780	C00794|C01452|D00096	HMDB00247	CHEBI:13022|CHEBI:17317|CHEBI:17924
spermidine	Amino acid	Polyamine metabolism	1102	C00315	HMDB01257	CHEBI:16610
spermine	Amino acid	Polyamine metabolism	1103	C00750	HMDB01256	CHEBI:15746
sphinganine	Lipid	Sphingolipid	3126|91486	C00836	HMDB00269	CHEBI:46968|CHEBI:16566
sphingosine	Lipid	Sphingolipid	5353955|5280335	C00319	HMDB00252	CHEBI:46964|CHEBI:16393|CHEBI:26743
squalene	Lipid	Sterol/Steroid	638072|11975273	C00751	HMDB00256	CHEBI:15440
stachydrine	Xenobiotics	Food component/Plant	115244	C10172	HMDB04827	CHEBI:35280
stearate (18:0)	Lipid	Long chain fatty acid	5281	C01530|D00119	HMDB00827	CHEBI:28842
stearoylcarnitine	Lipid	Carnitine metabolism	6426855	nan	HMDB00848	CHEBI:73074
succinate	Energy	Krebs cycle	1110|21952380	C00042	HMDB00254	CHEBI:15741
succinylcarnitine	Energy	Krebs cycle	nan	nan	nan	nan
taurine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	1123|4068592	C00245|D00047	HMDB00251	CHEBI:15891|CHEBI:507393
taurochenodeoxycholate	Lipid	Bile acid metabolism	387316	C05465	HMDB00951	CHEBI:16525
taurocholate						
taurocholenate sulfate*						
taurolithocholate 3-sulfate						
threitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	169019	C16884	HMDB04136	CHEBI:48300
threonate	Cofactors and vitamins	Ascorbate and aldarate metabolism	151152|5460407	C01620	HMDB00943	CHEBI:49059|CHEBI:15908
threonine	Amino acid	"Glycine, serine and threonine metabolism"	6971019|6288	C00188|D00041	HMDB00167	CHEBI:16857|CHEBI:57926
thromboxane B2						
thymine	Nucleotide	"Pyrimidine metabolism, thymine containing"	1135	C00178	HMDB00262	CHEBI:17821
thymol sulfate						
trans-4-hydroxyproline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	6971053|5810	C01157	HMDB00725	CHEBI:18095|CHEBI:58375
tricosanoate (23:0)						
trizma acetate						
tryptophan	Amino acid	Tryptophan metabolism	6923516|6305	C00078|D00020	HMDB00929	CHEBI:16828|CHEBI:57912
tryptophan betaine 	Amino acid	Tryptophan metabolism	442106	C09213	nan	nan
tyrosine	Amino acid	Phenylalanine & tyrosine metabolism	6057|6942100	C00082|D00022	HMDB00158	CHEBI:17895|CHEBI:58315
undecanedioate	Lipid	"Fatty acid, dicarboxylate"	15816	nan	HMDB00888	CHEBI:73713
undecanoate (11:0)						
uracil	Nucleotide	"Pyrimidine metabolism, uracil containing"	1174	C00106|D00027	HMDB00300	CHEBI:17568
urate	Nucleotide	"Purine metabolism, urate metabolism"	1175	C00366	HMDB00289	CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
urea	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	1176	C00086|D00023	HMDB00294	CHEBI:16199|CHEBI:48376
uridine	Nucleotide	"Pyrimidine metabolism, uracil containing"	6029	C00299	HMDB00296	CHEBI:16704
valerylcarnitine	Lipid	Fatty acid metabolism	6426903|53481619	nan	HMDB13128	nan
valine	Amino acid	"Valine, leucine and isoleucine metabolism"	6971018|6287	C00183|D00039	HMDB00883	CHEBI:16414|CHEBI:57762
vanillylmandelate (VMA)	Amino acid	Phenylalanine & tyrosine metabolism	1245|736172	C05584	HMDB00291	CHEBI:20106
xanthine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	1188	C00385	HMDB00292	CHEBI:17712|CHEBI:48517
xanthosine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	64959	C01762	HMDB00299	CHEBI:18107
xylitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	6912|827	C00379|D00061	HMDB00568|HMDB02917	CHEBI:17151
xylonate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	6602431|6971043	C05411|C00502	nan	CHEBI:48093|CHEBI:48092
xylulose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	5289590|439204	C00310	HMDB00654|HMDB01644|HMDB03371	CHEBI:17140
