BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	PubChem CID	KEGG	Human Metabolome Database	ChEBI	
isobutyrylcarnitine (C4)	Amino acid	"Valine, leucine and isoleucine metabolism"	isobutyrylcarnitine (C4)	NA	NA	NA	NA
isoleucine	Amino acid	"Valine, leucine and isoleucine metabolism"	isoleucine	791|6306|7043901	C00407	HMDB00172	CHEBI:17191|CHEBI:58045
isovalerylcarnitine (C5)	Amino acid	"Valine, leucine and isoleucine metabolism"	isovalerylcarnitine (C5)	6426851	NA	HMDB00688	NA
kynurenine	Amino acid	Tryptophan metabolism	kynurenine	1|611|666|971|029|161166|6971029	C00328	HMDB00684	CHEBI:16946|CHEBI:57959
lactate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	lactate	612|107689	C00186	HMDB00190	CHEBI:422
laurate (12:0)	Lipid	Medium chain fatty acid	laurate (12:0)	3893	C02679	HMDB00638	CHEBI:30805
leucine	Amino acid	"Valine, leucine and isoleucine metabolism"	leucine	70|457|986|106|6106|7045798	C00123	HMDB00687	CHEBI:15603|CHEBI:57427
leucylglutamate	Peptide	Dipeptide	leucylglutamate	52|595|895|259|590	NA	NA	NA
levulinate (4-oxovalerate)	Amino acid	"Valine, leucine and isoleucine metabolism"	levulinate (4-oxovalerate)	11579	NA	HMDB00720	CHEBI:45630
lidocaine	Xenobiotics	Drug	lidocaine	3676	D00358	NA	NA
linoleate (18:2n6)	Lipid	Essential fatty acid	linoleate (18:2n6)	5280450	C01595	HMDB00673	CHEBI:17351
linolenate (18:3n3 or 3n6)	Lipid	Essential fatty acid	linolenate (18:3n3 or 3n6)	5280934	C06427	HMDB01388	CHEBI:27432
lysine	Amino acid	Lysine metabolism	lysine	5962	C00047	HMDB00182	CHEBI:18019
malate	Energy	Krebs cycle	malate	525|222656	C00149	HMDB00156	CHEBI:30797
maltose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	maltose	439341|439186|10991489	C00208	HMDB00163	CHEBI:17306|CHEBI:47937
maltotetraose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	maltotetraose	446495|439639	C02052	HMDB01296	NA
maltotriose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	maltotriose	439586	C01835	HMDB01262	NA
mannitol	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	mannitol	6251|453	C00392	HMDB00765	CHEBI:16899
mannose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	mannose	161658|18950	C00159	HMDB00169	CHEBI:4208
mannose 6-phosphate	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	mannose 6-phosphate	65127|439198	C00275	HMDB01078	CHEBI:48066|CHEBI:49728
margarate (17:0)	Lipid	Long chain fatty acid	margarate (17:0)	10465	NA	HMDB02259	CHEBI:32365
mead acid (20:3n9)	Lipid	Long chain fatty acid	mead acid (20:3n9)	5312531	NA	HMDB10378	CHEBI:72865
methionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	methionine	69|920|876|137|6137|6992087	C00073	HMDB00696	CHEBI:16643|CHEBI:57844
methyl palmitate (15 or 2)	Lipid	"Fatty acid, branched"	methyl palmitate (15 or 2)	NA	NA	NA	NA
3-methylglutaroylcarnitine (C6)	Amino acid	"Valine, leucine and isoleucine metabolism"	3-methylglutaroylcarnitine (C6)	128145	NA	HMDB00552	CHEBI:70857
methylphosphate	Nucleotide	Purine and pyrimidine metabolism	methylphosphate	13130	NA	NA	NA
metoprolol	Xenobiotics	Drug	metoprolol	4171	C07202|D02358	HMDB01932	CHEBI:6904
metoprolol acid metabolite*	Xenobiotics	Drug	metoprolol acid metabolite*	62936	NA	NA	NA
myo-inositol	Lipid	Inositol metabolism	myo-inositol	NA	C00137	HMDB00211	CHEBI:17268
myristate (14:0)	Lipid	Long chain fatty acid	myristate (14:0)	11005	C06424	HMDB00806	CHEBI:28875
myristoleate (14:1n5)	Lipid	Long chain fatty acid	myristoleate (14:1n5)	5281119	C08322	HMDB02000	CHEBI:27781
1-methyladenosine	Nucleotide	"Purine metabolism, adenine containing"	1-methyladenosine	5460178|27476	C02494	HMDB03331	CHEBI:16020
N6-acetyllysine	Amino acid	Lysine metabolism	N6-acetyllysine	699|197|892|832|6991978|92832	C02727	HMDB00206	CHEBI:17752|CHEBI:58260
N-acetylalanine	Amino acid	Alanine and aspartate metabolism	N-acetylalanine	88064	C02847	HMDB00766	CHEBI:40992
N-acetylaspartate (NAA)	Amino acid	Alanine and aspartate metabolism	N-acetylaspartate (NAA)	65065	C01042	HMDB00812	CHEBI:21547
N-acetyl-aspartyl-glutamate (NAAG)	Amino acid	Glutamate metabolism	N-acetyl-aspartyl-glutamate (NAAG)	5255|71120	C12270	HMDB01067	NA
N-acetylglucosamine 6-phosphate	Carbohydrate	Aminosugars metabolism	N-acetylglucosamine 6-phosphate	10040501|440996|439219	C00357	HMDB02817|HMDB01062	CHEBI:15784
N-acetylglutamate	Amino acid	Glutamate metabolism	N-acetylglutamate	1549099|70914|185	C00624	HMDB01138	CHEBI:17533
N-acetylglycine	Amino acid	"Glycine, serine and threonine metabolism"	N-acetylglycine	10972	NA	HMDB00532	CHEBI:21501|CHEBI:40410
N-acetylhistidine	Amino acid	Histidine metabolism	N-acetylhistidine	75619|51669405	C02997	NA	CHEBI:16437
N-acetylmethionine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	N-acetylmethionine	448580|6180	C02712	HMDB11745	CHEBI:21557
N-acetylneuraminate	Carbohydrate	Aminosugars metabolism	N-acetylneuraminate	439197|445063	C00270|C19910	HMDB00230	CHEBI:17012|CHEBI:45744
N-acetylserine	Amino acid	"Glycine, serine and threonine metabolism"	N-acetylserine	65249	NA	HMDB02931	NA
N-acetyltryptophan	Amino acid	Tryptophan metabolism	N-acetyltryptophan	700653|439917	C03137	NA	CHEBI:16734
nicotinamide	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	nicotinamide	936	C00153	HMDB01406	CHEBI:17154
NAD+	Cofactors and vitamins	Nicotinate and nicotinamide metabolism	NAD+	1|089|765|158|925|280|000|5893	C00003	HMDB00902	CHEBI:15846
oleate (18:1n9)	Lipid	Long chain fatty acid	oleate (18:1n9)	445639	C00712	HMDB00207|HMDB00573	CHEBI:16196
oleoylcarnitine (C18)	Lipid	Carnitine metabolism	oleoylcarnitine (C18)	53477789	NA	HMDB05065	NA
ophthalmate	Amino acid	Glutathione metabolism	ophthalmate	9817431|7018721	NA	HMDB05765	NA
ornithine	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	ornithine	6262|71082	C00077|C00515	HMDB03374|HMDB00214	CHEBI:15729|CHEBI:16176
p-acetamidophenylglucuronide	Xenobiotics	Drug	p-acetamidophenylglucuronide	4022661|83944	NA	HMDB10316	CHEBI:32636
palmitate (16:0)	Lipid	Long chain fatty acid	palmitate (16:0)	985	C00249	HMDB00220	CHEBI:15756
palmitoleate (16:1n7)	Lipid	Long chain fatty acid	palmitoleate (16:1n7)	445638	C08362	HMDB03229	CHEBI:28716
palmitoyl ethanolamide	Lipid	Endocannabinoid	palmitoyl ethanolamide	4671	NA	NA	NA
palmitoyl sphingomyelin	Lipid	Sphingolipid	palmitoyl sphingomyelin	9939941	NA	NA	NA
palmitoylcarnitine (C16)	Lipid	Carnitine metabolism	palmitoylcarnitine (C16)	461	NA	NA	NA
pantothenate (Vitamin B5)	Cofactors and vitamins	Pantothenate and CoA metabolism	pantothenate (Vitamin B5)	6613|988	C00864	HMDB00210	CHEBI:46905|CHEBI:7916
p-cresol sulfate	Amino acid	Phenylalanine & tyrosine metabolism	p-cresol sulfate	4615422|2879	C01468	HMDB01858	CHEBI:17847
pelargonate (9:0)	Lipid	Medium chain fatty acid	pelargonate (9:0)	5461016|8158	C01601	HMDB00847	CHEBI:29019
pentadecanoate (15:0)	Lipid	Long chain fatty acid	pentadecanoate (15:0)	13849	C16537	HMDB00826	CHEBI:42504
pentaethylene glycol	Xenobiotics	Chemical	pentaethylene glycol	62551	NA	NA	NA
phenol sulfate	Amino acid	Phenylalanine & tyrosine metabolism	phenol sulfate	74426	C02180|C00850	NA	CHEBI:27905
phenylacetylglutamine	Amino acid	Phenylalanine & tyrosine metabolism	phenylacetylglutamine	306137|92258	C05597|C04148	HMDB06344	CHEBI:17884
phenylalanine	Amino acid	Phenylalanine & tyrosine metabolism	phenylalanine	69|256|656|140|6140|6925665	C00079	HMDB00159	CHEBI:17295|CHEBI:58095
phosphate	Energy	Oxidative phosphorylation	phosphate	1061|1004|22486802	C00009	HMDB01429|HMDB02142	CHEBI:26078|CHEBI:52641|CHEBI:7794|CHEBI:18367
phosphoenolpyruvate (PEP)	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	phosphoenolpyruvate (PEP)	1005|58114173|59658623	C00074	HMDB00263	CHEBI:44897
phosphoethanolamine (PE)	Lipid	Glycerolipid metabolism	phosphoethanolamine (PE)	52|323|241|015|1015|5232324	C00346	HMDB00224	CHEBI:17553
pipecolate	Amino acid	Lysine metabolism	pipecolate	849|439227|6931663|25200477	C00408	HMDB00070|HMDB00716	CHEBI:30913|CHEBI:46876|CHEBI:61185|CHEBI:17964
prolylhydroxyproline	Peptide	Dipeptide	prolylhydroxyproline	11673055|11902892|11902893	NA	HMDB06695	CHEBI:74767
proline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	proline	1|457|426|971|047|145742|6971047	C00148	HMDB00162	CHEBI:17203|CHEBI:60039
propionylcarnitine (C3)	Lipid	Fatty acid metabolism (also BCAA metabolism)	propionylcarnitine (C3)	107738	C03017	HMDB00824	CHEBI:28867
pseudouridine	Nucleotide	"Pyrimidine metabolism, uracil containing"	pseudouridine	15047	C02067	HMDB00767	CHEBI:17802
putrescine	Amino acid	Polyamine metabolism	putrescine	1045	C00134|C02896	HMDB01414	CHEBI:17148
pyroglutamine*	Amino acid	Glutamate metabolism	pyroglutamine*	134508	NA	NA	NA
pyrophosphate (PPi)	Energy	Oxidative phosphorylation	pyrophosphate (PPi)	644102|1023|21961011	C00013	HMDB00250	CHEBI:29888|CHEBI:16838|CHEBI:18361
pyruvate	Carbohydrate	"Glycolysis, gluconeogenesis, pyruvate metabolism"	pyruvate	107735|1060	C00022	HMDB00243	CHEBI:32816
ranitidine	Xenobiotics	Drug	ranitidine	3001055	D00422	HMDB01930	CHEBI:8776
ribitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	ribitol	NA	C00474	HMDB00508	CHEBI:15963
ribose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	ribose	5311110|5779	C00121	HMDB00283	CHEBI:47013
ribose 5-phosphate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	ribose 5-phosphate	447634|439167|53477706	C00117	HMDB00618|HMDB01548	CHEBI:52742
ribulose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	ribulose	79021|439203|151261|439204	C00309|C00310	HMDB00621|HMDB03371	CHEBI:17173
S-adenosylhomocysteine (SAH)	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	S-adenosylhomocysteine (SAH)	25246222|439155	C00021	HMDB00939	CHEBI:16680|CHEBI:57856
salicylate	Xenobiotics	Drug	salicylate	338	C00805	HMDB01895	CHEBI:16914
sarcosine (N-Methylglycine)	Amino acid	"Glycine, serine and threonine metabolism"	sarcosine (N-Methylglycine)	10|887|311|726|1088|7311726	C00213	HMDB00271	CHEBI:15611|CHEBI:57433
scyllo-inositol	Lipid	Inositol metabolism	scyllo-inositol	NA	C06153	HMDB06088	CHEBI:10642|CHEBI:23927
sedoheptulose-7-phosphate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	sedoheptulose-7-phosphate	616|165007|22833559	C05382	HMDB01068	CHEBI:15721
serine	Amino acid	"Glycine, serine and threonine metabolism"	serine	59|516|857|581|5951|6857581|6857549|71077	C00065|C00740	HMDB03406|HMDB00187	CHEBI:17115|CHEBI:33384|CHEBI:16523|CHEBI:35247
serylleucine	Peptide	Dipeptide	serylleucine	NA	NA	NA	NA
S-methylcysteine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	S-methylcysteine	705|817|424|417|24417|7058174	NA	HMDB02108	CHEBI:45658
sorbitol	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	sorbitol	107428|5780	C00794	HMDB00247	CHEBI:17924
spermidine	Amino acid	Polyamine metabolism	spermidine	1102	C00315	HMDB01257	CHEBI:16610
sphinganine	Lipid	Sphingolipid	sphinganine	3126|91486	C00836	HMDB00269	CHEBI:16566
sphingosine	Lipid	Sphingolipid	sphingosine	5353955|5280335	C00319	HMDB00252	CHEBI:16393|CHEBI:26743|CHEBI:46964
stachydrine	Xenobiotics	Food component/Plant	stachydrine	115244	C10172	HMDB04827	CHEBI:35280
stearate (18:0)	Lipid	Long chain fatty acid	stearate (18:0)	5281	C01530	HMDB00827	CHEBI:28842
sphingomyelin	Lipid	Sphingolipid	sphingomyelin	6453725|5283588	C00550	HMDB01348	NA
stearoylcarnitine (C18)	Lipid	Carnitine metabolism	stearoylcarnitine (C18)	6426855	NA	HMDB00848	CHEBI:73074
succinate	Energy	Krebs cycle	succinate	1110|21952380	C00042	HMDB00254	CHEBI:15741
succinylcarnitine (C4)	Energy	Krebs cycle	succinylcarnitine (C4)	NA	NA	NA	NA
sucrose	Carbohydrate	"Fructose, mannose, galactose, starch, and sucrose metabolism"	sucrose	5988	C00089	HMDB00258	CHEBI:17992|CHEBI:65313
taurine	Amino acid	"Cysteine, methionine, SAM, taurine metabolism"	taurine	11|234|068|592|1123|4068592	C00245	HMDB00251	CHEBI:15891|CHEBI:507393
tetraethylene glycol	Xenobiotics	Chemical	tetraethylene glycol	8200	NA	NA	NA
threonine	Amino acid	"Glycine, serine and threonine metabolism"	threonine	69|710|196|288|6288|6971019	C00188	HMDB00167	CHEBI:16857|CHEBI:57926
thymine	Nucleotide	"Pyrimidine metabolism, thymine containing"	thymine	1135	C00178	HMDB00262	CHEBI:17821
tiglyl carnitine (C5)	Amino acid	"Valine, leucine and isoleucine metabolism"	tiglyl carnitine (C5)	22833596	NA	HMDB02366	CHEBI:71179
hydroxyproline	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	hydroxyproline	58|106|971|053|5810|6971053	C01157	HMDB00725	CHEBI:18095|CHEBI:58375
triethanolamine	Xenobiotics	Chemical	triethanolamine	7618	C06771	NA	CHEBI:28621
triethyleneglycol	Xenobiotics	Chemical	triethyleneglycol	NA	NA	NA	NA
trizma acetate	Xenobiotics	Chemical	trizma acetate	8|129|116|218|782|6503	C07182	NA	CHEBI:9754
tryptophan	Amino acid	Tryptophan metabolism	tryptophan	69|235|166|305|6305|6923516	C00078	HMDB00929	CHEBI:16828|CHEBI:57912
tryptophan betaine 	Amino acid	Tryptophan metabolism	tryptophan betaine 	442106	C09213	NA	NA
tyrosine	Amino acid	Phenylalanine & tyrosine metabolism	tyrosine	60|576|942|100|6057|6942100	C00082	HMDB00158	CHEBI:17895|CHEBI:58315
undecanoate (11:0)	Lipid	Medium chain fatty acid	undecanoate (11:0)	8180	C17715	HMDB00947	CHEBI:32368
uracil	Nucleotide	"Pyrimidine metabolism, uracil containing"	uracil	1174	C00106	HMDB00300	CHEBI:17568
urate	Nucleotide	"Purine metabolism, urate metabolism"	urate	1175	C00366	HMDB00289	CHEBI:17775|CHEBI:46811|CHEBI:46814|CHEBI:46817|CHEBI:46823|CHEBI:62589
urea	Amino acid	"Urea cycle; arginine-, proline-, metabolism"	urea	117|616|150|869|1176	C00086	HMDB00294	CHEBI:16199|CHEBI:48376
uridine	Nucleotide	"Pyrimidine metabolism, uracil containing"	uridine	6029	C00299	HMDB00296	CHEBI:16704
valerylcarnitine (C5)	Lipid	Fatty acid metabolism	valerylcarnitine (C5)	6426903|53481619	NA	HMDB13128	NA
valine	Amino acid	"Valine, leucine and isoleucine metabolism"	valine	69|710|186|287|6287|6971018	C00183	HMDB00883	CHEBI:16414|CHEBI:57762
xanthine	Nucleotide	"Purine metabolism, (hypo)xanthine/inosine containing"	xanthine	1188	C00385	HMDB00292	CHEBI:17712|CHEBI:48517
xylitol	Carbohydrate	"Nucleotide sugars, pentose metabolism"	xylitol	6912|827	C00379	HMDB00568	CHEBI:17151
xylonate	Carbohydrate	"Nucleotide sugars, pentose metabolism"	xylonate	6602431|6971043	C00502|C05411	NA	CHEBI:48093|CHEBI:48092
xylulose	Carbohydrate	"Nucleotide sugars, pentose metabolism"	xylulose	5289590|439204	C00310	HMDB00654|HMDB03371	NA
